# Correction factors for emissions for different engine loads
# Description of columns:
# % Partial engine load: fraction of maximum engine used
# Nox <= CCR-1: Correction factor for Nox <= CCR-1
# Nox CCR-2 / Stage IIIa: Correction factor for Nox CCR-2 / Stage IIIa
# Nox IWP/IWA-v/c-3: Correction factor for Nox IWP/IWA-v/c-3
# Nox IWP/IWA-v/c-4: Correction factor for Nox IWP/IWA-v/c-4
# CO2: Correction factor for CO2
# PM10: Correction factor for PM10
# renewable energy sources in PEMFC Fuel cell engine
# renewable energy sources in SOFC Fuel cell engine
% Partial engine load,Nox <= CCR-1,Nox CCR-2 / Stage IIIa,Nox IWP/IWA-v/c-3,Nox IWP/IWA-v/c-4,CO2,PM10,PEMFC,SOFC
0.05,1.83,2.02,3.99,4.79,1.25,2.44,1.67,1.43
0.1,1.34,1.42,2.63,3.07,1.21,1.63,1.67,1.43
0.15,1.17,1.27,2.12,2.42,1.18,1.32,1,1.06
0.2,1.1,1.19,1.85,2.08,1.15,1.19,1,1.06
0.25,1.06,1.15,1.69,1.88,1.13,1.12,1,1.06
0.3,1.04,1.13,1.58,1.73,1.11,1.08,1.03,1
0.35,1.03,1.11,1.5,1.63,1.09,1.05,1.03,1
0.4,1.02,1.09,1.44,1.56,1.07,1.03,1.07,1.04
0.45,1.01,1.08,1.39,1.5,1.05,1.01,1.07,1.04
0.5,1.0,1.07,1.35,1.45,1.04,1.01,1.07,1.04
0.55,1.0,1.07,1.32,1.41,1.03,1.0,1.12,1.06
0.6,0.99,1.06,1.29,1.37,1.02,1.0,1.12,1.06
0.65,0.99,1.06,1.27,1.35,1.01,0.99,1.12,1.06
0.7,0.98,1.05,1.25,1.32,1.01,0.99,1.19,1.09
0.75,0.98,1.05,1.24,1.3,1.0,0.98,1.19,1.09
0.8,0.97,1.05,1.22,1.28,1.0,0.98,1.19,1.09
0.85,0.97,1.04,1.21,1.27,1.0,0.97,1.19,1.09
0.9,0.97,1.04,1.2,1.25,1.01,0.97,1.25,1.14
0.95,0.97,1.04,1.19,1.24,1.02,0.97,1.25,1.14
1.0,0.97,1.04,1.18,1.23,1.02,0.97,1.25,1.14
