HalteNaam;HalteLat;HalteLon;Capacity
Amsteldijk;52,34711329;4,91124086;100
Amstelstation;52,34694717;4,91916763;100
Amstelveenseweg;52,33809407;4,85731153;100
Beethovenstraat;52,34686888;4,87632951;100
Bullewijk;52,30642205;4,95233581;100
Burg.de Vlugtlaan;52,37883833;4,83818755;100
Centraal Station;52,37771998;4,90104337;100
Cornelis Troostplein;52,3500072;4,89149871;100
Dam;52,37492885;4,89549359;100
De Boelelaan/VU;52,33534587;4,86586882;100
De Pijp;52,35272728;4,89073444;100
Europaplein;52,34185482;4,8913843;100
Gaasperplas;52,31080575;4,98468551;100
Gein;52,29627089;4,98952268;100
Gerrit v.d. Veenstraat;52,34886793;4,87720177;100
Heemstedestraat;52,3525576;4,83421208;100
Henk Sneevlietweg;52,34626699;4,83439318;100
IJsbaanpad;52,3416911;4,85773817;100
Isolatorweg;52,39523277;4,85013475;100
Jan v.Galenstraat;52,37298;4,835525;100
Keizersgracht;52,36604795;4,88666521;100
Koningsplein;52,36689188;4,8885791;100
Kraaienneststation;52,31632492;4,9796345;100
Leidseplein;52,36476406;4,88064547;100
Maasstraat;52,34706671;4,89545003;100
Marie Heinekenplein;52,35722131;4,89077224;100
Minervaplein;52,34669752;4,87204613;100
Muntplein;52,36646202;4,89323826;100
Museumplein;52,35690388;4,87950214;100
Nieuwezijds Kolk;52,37628765;4,89373093;100
Nieuwmarkt;52,37194169;4,90123885;100
Noord;52,40117202;4,93123182;100
Noorderpark;52,38855518;4,91789115;100
Olympiaplein;52,34636807;4,86659057;100
Olympiaweg;52,34528169;4,8587373;100
Olympisch stadion;52,34380875;4,85696449;100
Overamstel;52,33179879;4,91815361;100
Postjesweg;52,36468044;4,83385543;100
Prinsengracht;52,364998;4,884555;100
Reigersbos;52,29566301;4,97473728;100
Rijksmuseum;52,36017378;4,88332565;100
Roelof Hartplein;52,35263666;4,88206086;100
Rokin;52,36928023;4,89229651;100
Scheldestraat;52,34702395;4,88952142;100
Spaklerweg;52,3398625;4,9208564;100
Spui;52,369161;4,889335;100
Station Bijlmer ArenA;52,3119303;4,94713474;100
Station Diemen-Zuid;52,33042795;4,95713273;100
Station Duivendrecht;52,3232519;4,93678429;100
Station Ganzenhoef;52,32331315;4,97323379;100
Station Holendrecht;52,29780451;4,96021904;100
Station RAI;52,33739931;4,88982004;100
Station Sloterdijk;52,38880848;4,83878389;100
Strandvliet;52,31825469;4,9415282;100
Van Baerlestraat;52,35844171;4,87971942;100
Van der Madeweg;52,32945629;4,93048657;100
Venserpolder;52,32679428;4,94665009;100
Verrijn Stuartweg;52,32844093;4,96693669;100
Victorieplein;52,34645615;4,90653699;100
Vijzelgracht;52,35980061;4,8907287;100
VU medisch centrum;52,33519431;4,86006046;100
Waalstraat;52,34442762;4,90060087;100
Waterlooplein;52,36697862;4,90298171;100
Weesperplein;52,36120146;4,90787469;100
Wibautstraat;52,35428867;4,91202993;100
Station Zuid;52,33908015;4,87509853;100
Station Lelylaan;52,35669434;4,83471835;100
