station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,9.0,9.0,11.0,7.0,7.0,6.0,6.0,8.0,7.0,8.0
Amstelstation,368.0,372.0,380.0,374.0,353.0,341.0,316.0,376.0,378.0,391.0
Amstelveenseweg,117.0,107.0,102.0,109.0,117.0,121.0,105.0,128.0,110.0,116.0
Beethovenstraat,6.0,8.0,7.0,5.0,11.0,6.0,2.0,9.0,3.0,3.0
Bullewijk,155.0,132.0,173.0,140.0,143.0,157.0,148.0,170.0,146.0,166.0
Burg.de Vlugtlaan,68.0,97.0,71.0,75.0,77.0,107.0,80.0,88.0,80.0,75.0
Centraal Station,1166.0,1102.0,1072.0,1046.0,1082.0,1065.0,1096.0,1129.0,1110.0,1137.0
Cornelis Troostplein,13.0,16.0,17.0,20.0,11.0,22.0,13.0,17.0,19.0,14.0
Dam,241.0,275.0,250.0,290.0,226.0,256.0,243.0,251.0,261.0,252.0
De Boelelaan/VU,9.0,10.0,13.0,9.0,10.0,12.0,10.0,5.0,5.0,8.0
De Pijp,773.0,760.0,755.0,785.0,767.0,742.0,789.0,771.0,764.0,770.0
Europaplein,207.0,209.0,199.0,217.0,204.0,233.0,227.0,207.0,212.0,215.0
Gaasperplas,61.0,52.0,68.0,68.0,85.0,79.0,72.0,71.0,70.0,74.0
Gein,120.0,128.0,122.0,128.0,115.0,163.0,125.0,127.0,119.0,133.0
Gerrit v.d. Veenstraat,34.0,34.0,30.0,34.0,23.0,34.0,32.0,28.0,37.0,31.0
Heemstedestraat,45.0,50.0,44.0,40.0,62.0,44.0,49.0,50.0,47.0,48.0
Henk Sneevlietweg,101.0,92.0,88.0,104.0,104.0,102.0,84.0,82.0,76.0,87.0
IJsbaanpad,3.0,1.0,3.0,2.0,2.0,,7.0,4.0,4.0,2.0
Isolatorweg,23.0,29.0,29.0,26.0,30.0,32.0,35.0,35.0,26.0,25.0
Jan v.Galenstraat,84.0,100.0,93.0,95.0,104.0,90.0,100.0,81.0,90.0,106.0
Keizersgracht,30.0,27.0,37.0,26.0,32.0,22.0,27.0,33.0,32.0,35.0
Koningsplein,71.0,99.0,76.0,76.0,83.0,95.0,83.0,91.0,72.0,76.0
Kraaienneststation,208.0,199.0,203.0,199.0,196.0,205.0,210.0,204.0,185.0,200.0
Leidseplein,105.0,94.0,101.0,114.0,103.0,97.0,100.0,90.0,92.0,95.0
Maasstraat,9.0,11.0,14.0,10.0,6.0,10.0,15.0,5.0,8.0,19.0
Marie Heinekenplein,96.0,124.0,88.0,115.0,123.0,98.0,105.0,128.0,97.0,121.0
Minervaplein,9.0,8.0,13.0,6.0,13.0,14.0,10.0,9.0,11.0,9.0
Muntplein,92.0,101.0,102.0,88.0,102.0,86.0,99.0,114.0,87.0,100.0
Museumplein,70.0,60.0,75.0,77.0,62.0,68.0,62.0,60.0,74.0,69.0
Nieuwezijds Kolk,44.0,47.0,42.0,46.0,49.0,41.0,42.0,45.0,49.0,28.0
