station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,19.0,16.0,14.0,14.0,12.0,11.0,7.0,12.0,15.0,17.0
Amstelstation,699.0,635.0,624.0,643.0,635.0,679.0,619.0,671.0,639.0,668.0
Amstelveenseweg,427.0,500.0,402.0,451.0,442.0,446.0,475.0,438.0,482.0,434.0
Beethovenstraat,13.0,12.0,9.0,7.0,14.0,9.0,10.0,10.0,11.0,12.0
Bullewijk,687.0,638.0,642.0,676.0,640.0,647.0,671.0,641.0,653.0,620.0
Burg.de Vlugtlaan,64.0,66.0,64.0,64.0,75.0,55.0,66.0,63.0,77.0,63.0
Centraal Station,1364.0,1316.0,1356.0,1323.0,1304.0,1310.0,1327.0,1318.0,1333.0,1294.0
Cornelis Troostplein,19.0,27.0,17.0,29.0,23.0,24.0,12.0,22.0,11.0,25.0
Dam,351.0,350.0,348.0,349.0,365.0,345.0,324.0,340.0,385.0,356.0
De Boelelaan/VU,86.0,70.0,89.0,68.0,82.0,70.0,85.0,76.0,82.0,91.0
De Pijp,745.0,785.0,789.0,860.0,787.0,782.0,855.0,824.0,820.0,807.0
Europaplein,540.0,529.0,523.0,526.0,543.0,534.0,512.0,539.0,552.0,574.0
Gaasperplas,65.0,58.0,83.0,53.0,62.0,64.0,51.0,67.0,66.0,79.0
Gein,104.0,76.0,78.0,65.0,73.0,88.0,87.0,70.0,72.0,67.0
Gerrit v.d. Veenstraat,27.0,48.0,36.0,36.0,45.0,34.0,44.0,47.0,45.0,34.0
Heemstedestraat,138.0,153.0,166.0,136.0,139.0,142.0,148.0,151.0,156.0,138.0
Henk Sneevlietweg,450.0,431.0,451.0,402.0,416.0,390.0,393.0,384.0,420.0,398.0
IJsbaanpad,12.0,11.0,18.0,17.0,12.0,11.0,20.0,18.0,12.0,18.0
Isolatorweg,204.0,201.0,198.0,181.0,224.0,185.0,210.0,187.0,217.0,177.0
Jan v.Galenstraat,154.0,174.0,170.0,165.0,192.0,156.0,174.0,158.0,175.0,190.0
Keizersgracht,64.0,52.0,58.0,49.0,58.0,53.0,56.0,56.0,72.0,69.0
Koningsplein,148.0,158.0,145.0,162.0,182.0,165.0,172.0,164.0,170.0,159.0
Kraaienneststation,142.0,164.0,170.0,179.0,186.0,132.0,147.0,161.0,144.0,154.0
Leidseplein,166.0,170.0,188.0,173.0,178.0,166.0,153.0,170.0,172.0,171.0
Maasstraat,16.0,14.0,16.0,15.0,13.0,20.0,17.0,14.0,10.0,16.0
Marie Heinekenplein,130.0,150.0,137.0,143.0,138.0,140.0,135.0,146.0,145.0,130.0
Minervaplein,13.0,15.0,13.0,12.0,8.0,12.0,12.0,10.0,8.0,11.0
Muntplein,161.0,163.0,173.0,155.0,144.0,166.0,164.0,176.0,164.0,166.0
Museumplein,117.0,127.0,111.0,135.0,122.0,141.0,132.0,129.0,133.0,131.0
Nieuwezijds Kolk,39.0,64.0,51.0,51.0,36.0,52.0,59.0,44.0,51.0,54.0
Nieuwmarkt,167.0,167.0,157.0,149.0,168.0,159.0,157.0,178.0,161.0,172.0
Noord,541.0,586.0,507.0,561.0,536.0,529.0,552.0,531.0,511.0,529.0
Noorderpark,468.0,455.0,467.0,446.0,449.0,460.0,427.0,413.0,458.0,490.0
Olympiaplein,27.0,31.0,27.0,37.0,42.0,49.0,37.0,35.0,36.0,36.0
Olympiaweg,25.0,28.0,30.0,26.0,24.0,26.0,31.0,33.0,23.0,36.0
Olympisch stadion,34.0,32.0,24.0,28.0,38.0,35.0,34.0,43.0,27.0,31.0
Overamstel,279.0,251.0,327.0,272.0,287.0,301.0,261.0,265.0,270.0,263.0
Postjesweg,66.0,68.0,59.0,59.0,56.0,50.0,62.0,65.0,65.0,68.0
Prinsengracht,54.0,56.0,67.0,60.0,71.0,69.0,63.0,72.0,53.0,55.0
Reigersbos,103.0,124.0,106.0,119.0,101.0,122.0,124.0,123.0,108.0,100.0
Rijksmuseum,140.0,138.0,134.0,128.0,131.0,139.0,142.0,146.0,163.0,114.0
Roelof Hartplein,121.0,122.0,131.0,131.0,131.0,125.0,155.0,117.0,156.0,119.0
Rokin,1343.0,1393.0,1358.0,1363.0,1407.0,1380.0,1309.0,1361.0,1353.0,1394.0
Scheldestraat,7.0,9.0,8.0,8.0,10.0,11.0,10.0,18.0,9.0,16.0
Spaklerweg,122.0,137.0,132.0,121.0,118.0,111.0,138.0,126.0,125.0,142.0
Spui,71.0,100.0,80.0,83.0,106.0,72.0,105.0,76.0,80.0,93.0
Station Bijlmer ArenA,1473.0,1445.0,1424.0,1416.0,1496.0,1456.0,1451.0,1514.0,1428.0,1425.0
Station Diemen-Zuid,186.0,168.0,164.0,165.0,156.0,183.0,157.0,165.0,171.0,190.0
Station Duivendrecht,165.0,156.0,173.0,156.0,142.0,151.0,120.0,169.0,162.0,158.0
Station Ganzenhoef,,,,,,,,,,
Station Holendrecht,600.0,630.0,628.0,653.0,641.0,609.0,591.0,625.0,632.0,651.0
Station RAI,317.0,312.0,312.0,338.0,310.0,346.0,334.0,334.0,329.0,334.0
Station Sloterdijk,397.0,397.0,425.0,362.0,406.0,422.0,417.0,421.0,391.0,405.0
Strandvliet,89.0,98.0,90.0,85.0,99.0,94.0,101.0,95.0,95.0,90.0
Van Baerlestraat,100.0,112.0,99.0,93.0,118.0,97.0,97.0,97.0,117.0,101.0
Van der Madeweg,719.0,687.0,688.0,702.0,644.0,719.0,679.0,707.0,696.0,685.0
Venserpolder,319.0,251.0,289.0,283.0,311.0,262.0,333.0,291.0,267.0,292.0
Verrijn Stuartweg,96.0,107.0,113.0,98.0,111.0,99.0,109.0,92.0,95.0,96.0
Victorieplein,33.0,31.0,27.0,35.0,26.0,33.0,35.0,27.0,41.0,26.0
Vijzelgracht,1058.0,1028.0,1009.0,1050.0,1013.0,1020.0,1043.0,1013.0,1033.0,1013.0
VU medisch centrum,83.0,87.0,65.0,71.0,79.0,65.0,90.0,56.0,57.0,66.0
Waalstraat,8.0,12.0,13.0,10.0,12.0,15.0,25.0,13.0,11.0,16.0
Waterlooplein,518.0,542.0,517.0,548.0,543.0,497.0,504.0,519.0,487.0,505.0
Weesperplein,820.0,792.0,828.0,777.0,795.0,817.0,843.0,810.0,786.0,825.0
Wibautstraat,183.0,187.0,194.0,185.0,174.0,182.0,180.0,196.0,185.0,181.0
Station Zuid,3911.0,3926.0,4004.0,4036.0,3912.0,4075.0,3955.0,3960.0,3946.0,3994.0
