stations,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
"('Amsteldijk', 'Amstelveenseweg')",,,,,,,,,,
"('Amsteldijk', 'Beethovenstraat')",,,,,,,,,,
"('Amsteldijk', 'Bullewijk')",,,,,,,,,,
"('Amsteldijk', 'Burg.de Vlugtlaan')",,,,,,,,,,
"('Amsteldijk', 'Centraal Station')",1.0,1.0,1.0,,,1.0,,,,
"('Amsteldijk', 'Cornelis Troostplein')",,,,,,,,,,
"('Amsteldijk', 'Dam')",,,,,,,,,,
"('Amsteldijk', 'De Boelelaan/VU')",,,,,,,,,,
"('Amsteldijk', 'De Pijp')",4.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0
"('Amsteldijk', 'Europaplein')",,,,,,,,,,
"('Amsteldijk', 'Gaasperplas')",,,,,,,,,,
"('Amsteldijk', 'Gein')",,,,,,,,,,
"('Amsteldijk', 'Gerrit v.d. Veenstraat')",,,,,,,,,,
"('Amsteldijk', 'Heemstedestraat')",,,,,,,,,,
"('Amsteldijk', 'Henk Sneevlietweg')",,,,,,,,,,
"('Amsteldijk', 'IJsbaanpad')",,,,,,,,,,
"('Amsteldijk', 'Isolatorweg')",,,,,,,,,,
"('Amsteldijk', 'Jan v.Galenstraat')",,,,,,,,,,
"('Amsteldijk', 'Keizersgracht')",,,,,,,,,,
"('Amsteldijk', 'Koningsplein')",,,,,,,,,,
"('Amsteldijk', 'Kraaienneststation')",,,,,,,,,,
"('Amsteldijk', 'Leidseplein')",,,,,,,,,,
"('Amsteldijk', 'Maasstraat')",,,,,,,,,,
"('Amsteldijk', 'Marie Heinekenplein')",,,,,,,,,,
"('Amsteldijk', 'Minervaplein')",,,,,,,,,,
"('Amsteldijk', 'Muntplein')",,,,,,,,,,
"('Amsteldijk', 'Museumplein')",,,,,,,,,,
"('Amsteldijk', 'Nieuwezijds Kolk')",,,,,,,,,,
"('Amsteldijk', 'Nieuwmarkt')",,,,,,,,,,
"('Amsteldijk', 'Noord')",,,,,,,,,,
"('Amsteldijk', 'Noorderpark')",,,,,,,,,,
"('Amsteldijk', 'Olympiaplein')",,,,,,,,,,
"('Amsteldijk', 'Olympiaweg')",,,,,,,,,,
"('Amsteldijk', 'Olympisch stadion')",,,,,,,,,,
"('Amsteldijk', 'Overamstel')",,,,,,,,,,
"('Amsteldijk', 'Postjesweg')",,,,,,,,,,
"('Amsteldijk', 'Prinsengracht')",,,,,,,,,,
"('Amsteldijk', 'Reigersbos')",,,,,,,,,,
"('Amsteldijk', 'Rijksmuseum')",,,,,,,,,,
"('Amsteldijk', 'Roelof Hartplein')",,,,,,,,,,
"('Amsteldijk', 'Rokin')",,,,,,,,,,
"('Amsteldijk', 'Scheldestraat')",,,,,,,,,,
"('Amsteldijk', 'Spaklerweg')",,,,,,,,,,
"('Amsteldijk', 'Spui')",,,,,,,,,,
"('Amsteldijk', 'Station Bijlmer ArenA')",,,,,,,,,,
"('Amsteldijk', 'Station Diemen-Zuid')",,,,,,,,,,
"('Amsteldijk', 'Station Duivendrecht')",,,,,,,,,,
"('Amsteldijk', 'Station Ganzenhoef')",,,,,,,,,,
"('Amsteldijk', 'Station Holendrecht')",,,,,,,,,,
"('Amsteldijk', 'Station RAI')",,,,,,,,,,
"('Amsteldijk', 'Station Sloterdijk')",,,,,,,,,,
"('Amsteldijk', 'Strandvliet')",,,,,,,,,,
"('Amsteldijk', 'Van Baerlestraat')",,,,,,,,,,
"('Amsteldijk', 'Van der Madeweg')",,,,,,,,,,
"('Amsteldijk', 'Venserpolder')",,,,,,,,,,
"('Amsteldijk', 'Verrijn Stuartweg')",,,,,,,,,,
"('Amsteldijk', 'Victorieplein')",,,,,,,,,,
"('Amsteldijk', 'Vijzelgracht')",,,,,,,,,,
"('Amsteldijk', 'VU medisch centrum')",,,,,,,,,,
"('Amsteldijk', 'Waalstraat')",,,,,,,,,,
"('Amsteldijk', 'Waterlooplein')",,,,,,,,,,
"('Amsteldijk', 'Weesperplein')",,,,,,,,,,
"('Amsteldijk', 'Wibautstraat')",,,,,,,,,,
"('Amsteldijk', 'Station Zuid')",,,,,,,,,,
"('Amsteldijk', 'Station Lelylaan')",,,,,,,,,,
"('Amstelstation', 'Amstelveenseweg')",,,,,,,,,,
"('Amstelstation', 'Beethovenstraat')",,,,,,,,,,
"('Amstelstation', 'Bullewijk')",,,,,,,,,,
"('Amstelstation', 'Burg.de Vlugtlaan')",,,,,,,,,,
"('Amstelstation', 'Centraal Station')",48.0,51.0,55.0,54.0,58.0,47.0,55.0,57.0,65.0,49.0
"('Amstelstation', 'Cornelis Troostplein')",,2.0,1.0,1.0,,,1.0,1.0,,1.0
"('Amstelstation', 'Dam')",9.0,6.0,9.0,8.0,4.0,12.0,12.0,6.0,8.0,9.0
"('Amstelstation', 'De Boelelaan/VU')",,,,,,,,,,
"('Amstelstation', 'De Pijp')",79.0,96.0,83.0,106.0,98.0,91.0,98.0,97.0,92.0,124.0
"('Amstelstation', 'Europaplein')",,,,,,,,,,
"('Amstelstation', 'Gaasperplas')",10.0,11.0,5.0,7.0,9.0,12.0,10.0,8.0,13.0,15.0
"('Amstelstation', 'Gein')",,,,,,,,,,
"('Amstelstation', 'Gerrit v.d. Veenstraat')",,,,,,,,,,
"('Amstelstation', 'Heemstedestraat')",,,,,,,,,,
"('Amstelstation', 'Henk Sneevlietweg')",,,,,,,,,,
"('Amstelstation', 'IJsbaanpad')",,,,,,,,,,
"('Amstelstation', 'Isolatorweg')",,,,,,,,,,
"('Amstelstation', 'Jan v.Galenstraat')",,,,,,,,,,
"('Amstelstation', 'Keizersgracht')",,1.0,1.0,1.0,3.0,,1.0,,1.0,1.0
"('Amstelstation', 'Koningsplein')",1.0,2.0,2.0,1.0,,2.0,1.0,2.0,7.0,2.0
"('Amstelstation', 'Kraaienneststation')",20.0,20.0,18.0,15.0,25.0,21.0,23.0,25.0,23.0,17.0
"('Amstelstation', 'Leidseplein')",10.0,11.0,7.0,8.0,6.0,11.0,10.0,5.0,12.0,5.0
"('Amstelstation', 'Maasstraat')",1.0,,2.0,,,,,,,
"('Amstelstation', 'Marie Heinekenplein')",,,,,,,,,,
"('Amstelstation', 'Minervaplein')",,,,,,,,,,
"('Amstelstation', 'Muntplein')",,,,,,,,,,
"('Amstelstation', 'Museumplein')",4.0,5.0,3.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0
"('Amstelstation', 'Nieuwezijds Kolk')",1.0,3.0,4.0,1.0,,5.0,1.0,4.0,4.0,3.0
"('Amstelstation', 'Nieuwmarkt')",5.0,9.0,6.0,5.0,5.0,4.0,5.0,4.0,7.0,3.0
"('Amstelstation', 'Noord')",,,,,,,,,,
"('Amstelstation', 'Noorderpark')",,,,,,,,,,
"('Amstelstation', 'Olympiaplein')",,,,,,,,,,
"('Amstelstation', 'Olympiaweg')",,,,,,,,,,
"('Amstelstation', 'Olympisch stadion')",,,,,,,,,,
"('Amstelstation', 'Overamstel')",,,,,,,,,,
"('Amstelstation', 'Postjesweg')",,,,,,,,,,
"('Amstelstation', 'Prinsengracht')",1.0,1.0,4.0,1.0,1.0,,2.0,3.0,1.0,3.0
"('Amstelstation', 'Reigersbos')",,,,,,,,,,
"('Amstelstation', 'Rijksmuseum')",2.0,3.0,,3.0,1.0,2.0,2.0,1.0,4.0,5.0
"('Amstelstation', 'Roelof Hartplein')",6.0,7.0,10.0,8.0,9.0,11.0,10.0,7.0,8.0,10.0
"('Amstelstation', 'Rokin')",,,,,,,,,,
"('Amstelstation', 'Scheldestraat')",,1.0,1.0,,,,,,,1.0
"('Amstelstation', 'Spaklerweg')",6.0,7.0,3.0,7.0,8.0,4.0,6.0,2.0,5.0,8.0
"('Amstelstation', 'Spui')",1.0,4.0,1.0,1.0,,2.0,1.0,2.0,4.0,1.0
"('Amstelstation', 'Station Bijlmer ArenA')",,,,,,,,,,
"('Amstelstation', 'Station Diemen-Zuid')",11.0,13.0,20.0,12.0,12.0,17.0,21.0,21.0,14.0,16.0
"('Amstelstation', 'Station Duivendrecht')",,,,,,,,,,
"('Amstelstation', 'Station Ganzenhoef')",,,,,,,,,,
"('Amstelstation', 'Station Holendrecht')",,,,,,,,,,
"('Amstelstation', 'Station RAI')",,,,,,,,,,
"('Amstelstation', 'Station Sloterdijk')",,,,,,,,,,
"('Amstelstation', 'Strandvliet')",,,,,,,,,,
"('Amstelstation', 'Van Baerlestraat')",1.0,3.0,,1.0,1.0,3.0,1.0,1.0,3.0,1.0
"('Amstelstation', 'Van der Madeweg')",65.0,81.0,94.0,82.0,90.0,109.0,79.0,88.0,91.0,106.0
"('Amstelstation', 'Venserpolder')",14.0,3.0,9.0,6.0,13.0,9.0,15.0,7.0,9.0,6.0
"('Amstelstation', 'Verrijn Stuartweg')",2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0
"('Amstelstation', 'Victorieplein')",3.0,2.0,5.0,4.0,3.0,5.0,2.0,3.0,5.0,2.0
"('Amstelstation', 'Vijzelgracht')",,,,,,,,,,
"('Amstelstation', 'VU medisch centrum')",,,,,,,,,,
"('Amstelstation', 'Waalstraat')",1.0,1.0,,,,1.0,1.0,,2.0,
"('Amstelstation', 'Waterlooplein')",5.0,5.0,9.0,8.0,7.0,6.0,5.0,8.0,6.0,3.0
