station,iteration1_x,iteration1_y,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,,,,,,,,,,,
Amstelstation,75.0,75.0,87.0,71.0,72.0,89.0,86.0,81.0,102.0,90.0,91.0
Amstelveenseweg,86.0,56.0,81.0,69.0,73.0,81.0,54.0,71.0,71.0,69.0,75.0
Beethovenstraat,,,,,,,,,,,
Bullewijk,27.0,24.0,34.0,27.0,44.0,31.0,35.0,35.0,36.0,28.0,38.0
Burg.de Vlugtlaan,14.0,16.0,18.0,14.0,11.0,10.0,17.0,9.0,8.0,11.0,16.0
Centraal Station,400.0,401.0,397.0,379.0,393.0,401.0,385.0,382.0,406.0,407.0,401.0
Cornelis Troostplein,2.0,1.0,,,,1.0,1.0,,,,2.0
Dam,50.0,52.0,57.0,56.0,48.0,52.0,68.0,64.0,58.0,51.0,65.0
De Boelelaan/VU,1.0,,,1.0,,,,,,,
De Pijp,200.0,236.0,227.0,221.0,231.0,187.0,204.0,226.0,222.0,229.0,226.0
Europaplein,89.0,96.0,98.0,100.0,107.0,100.0,92.0,105.0,99.0,104.0,88.0
Gaasperplas,4.0,6.0,3.0,8.0,8.0,7.0,6.0,3.0,6.0,9.0,5.0
Gein,12.0,10.0,16.0,13.0,11.0,5.0,7.0,18.0,12.0,11.0,12.0
Gerrit v.d. Veenstraat,10.0,5.0,10.0,6.0,9.0,8.0,9.0,5.0,5.0,9.0,8.0
Heemstedestraat,16.0,14.0,18.0,16.0,12.0,21.0,12.0,14.0,22.0,18.0,22.0
Henk Sneevlietweg,20.0,16.0,17.0,23.0,13.0,18.0,23.0,35.0,20.0,19.0,18.0
IJsbaanpad,1.0,1.0,2.0,,1.0,1.0,,,,,
Isolatorweg,12.0,8.0,9.0,9.0,10.0,12.0,13.0,10.0,7.0,13.0,10.0
Jan v.Galenstraat,22.0,18.0,19.0,15.0,23.0,11.0,20.0,11.0,15.0,17.0,22.0
Keizersgracht,6.0,1.0,2.0,5.0,3.0,2.0,2.0,5.0,4.0,6.0,6.0
Koningsplein,16.0,16.0,17.0,13.0,18.0,14.0,17.0,13.0,13.0,14.0,13.0
Kraaienneststation,51.0,46.0,46.0,34.0,39.0,49.0,39.0,40.0,42.0,36.0,37.0
Leidseplein,17.0,17.0,14.0,18.0,15.0,9.0,25.0,17.0,14.0,12.0,17.0
Maasstraat,,,,,,,,,,,
Marie Heinekenplein,4.0,3.0,4.0,1.0,4.0,,3.0,4.0,2.0,5.0,2.0
Minervaplein,,,,,,,,,,,
Muntplein,5.0,4.0,4.0,6.0,7.0,9.0,7.0,6.0,7.0,5.0,12.0
Museumplein,22.0,22.0,19.0,23.0,15.0,16.0,15.0,30.0,21.0,20.0,25.0
Nieuwezijds Kolk,15.0,12.0,13.0,11.0,16.0,12.0,15.0,15.0,11.0,17.0,12.0
Nieuwmarkt,47.0,40.0,46.0,44.0,36.0,40.0,43.0,42.0,30.0,59.0,48.0
Noord,80.0,92.0,77.0,104.0,85.0,81.0,89.0,77.0,85.0,88.0,92.0
Noorderpark,50.0,57.0,47.0,52.0,45.0,62.0,57.0,40.0,57.0,44.0,42.0
Olympiaplein,2.0,8.0,1.0,3.0,4.0,,2.0,6.0,6.0,1.0,8.0
Olympiaweg,1.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0
Olympisch stadion,4.0,9.0,6.0,11.0,7.0,9.0,10.0,6.0,,8.0,5.0
Overamstel,20.0,26.0,19.0,19.0,35.0,21.0,28.0,26.0,24.0,26.0,21.0
Postjesweg,12.0,10.0,19.0,11.0,8.0,14.0,17.0,23.0,17.0,11.0,20.0
Prinsengracht,14.0,5.0,6.0,7.0,10.0,13.0,11.0,12.0,10.0,4.0,4.0
Reigersbos,24.0,25.0,22.0,18.0,17.0,19.0,17.0,30.0,16.0,20.0,16.0
Rijksmuseum,35.0,31.0,21.0,27.0,24.0,37.0,38.0,26.0,17.0,29.0,38.0
Roelof Hartplein,41.0,31.0,59.0,49.0,61.0,49.0,46.0,35.0,42.0,44.0,39.0
Rokin,271.0,275.0,286.0,295.0,281.0,276.0,282.0,282.0,290.0,268.0,272.0
Scheldestraat,1.0,,1.0,,,,,,,2.0,3.0
Spaklerweg,8.0,14.0,14.0,13.0,15.0,14.0,11.0,18.0,10.0,10.0,9.0
Spui,15.0,15.0,20.0,27.0,16.0,25.0,20.0,14.0,19.0,21.0,17.0
Station Bijlmer ArenA,115.0,131.0,112.0,120.0,119.0,127.0,106.0,126.0,128.0,115.0,102.0
Station Diemen-Zuid,18.0,32.0,32.0,29.0,24.0,30.0,27.0,30.0,23.0,28.0,31.0
Station Duivendrecht,32.0,30.0,38.0,37.0,34.0,27.0,36.0,36.0,37.0,33.0,33.0
Station Ganzenhoef,,,,,,,,,,,
Station Holendrecht,46.0,42.0,41.0,31.0,51.0,33.0,47.0,45.0,39.0,46.0,45.0
Station RAI,55.0,70.0,70.0,64.0,60.0,68.0,65.0,58.0,55.0,57.0,66.0
Station Sloterdijk,84.0,106.0,80.0,82.0,76.0,82.0,88.0,85.0,96.0,72.0,82.0
Strandvliet,21.0,21.0,21.0,20.0,17.0,19.0,36.0,24.0,15.0,19.0,20.0
Van Baerlestraat,32.0,26.0,25.0,32.0,34.0,34.0,21.0,39.0,38.0,32.0,31.0
Van der Madeweg,96.0,94.0,96.0,108.0,97.0,106.0,99.0,80.0,82.0,117.0,90.0
Venserpolder,20.0,20.0,16.0,11.0,20.0,14.0,19.0,19.0,22.0,17.0,26.0
Verrijn Stuartweg,1.0,2.0,1.0,,4.0,1.0,5.0,,1.0,2.0,2.0
Victorieplein,2.0,,2.0,1.0,,3.0,,1.0,,1.0,2.0
Vijzelgracht,108.0,98.0,112.0,121.0,129.0,120.0,145.0,117.0,111.0,111.0,112.0
VU medisch centrum,1.0,2.0,2.0,1.0,1.0,,1.0,3.0,,1.0,1.0
Waalstraat,,,,,,,,,,,1.0
Waterlooplein,67.0,70.0,48.0,62.0,84.0,57.0,52.0,56.0,79.0,73.0,60.0
Weesperplein,47.0,33.0,39.0,40.0,30.0,45.0,32.0,44.0,45.0,35.0,37.0
Wibautstraat,36.0,34.0,24.0,25.0,27.0,28.0,46.0,25.0,18.0,23.0,31.0
Station Zuid,604.0,584.0,575.0,590.0,548.0,596.0,535.0,563.0,578.0,575.0,560.0
Station Lelylaan,36.0,32.0,29.0,26.0,39.0,26.0,36.0,35.0,28.0,27.0,31.0
