station,iteration1_x,iteration1_y,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,,,2.0,,,1.0,1.0,,,1.0,
Amstelstation,112.0,88.0,114.0,100.0,104.0,117.0,120.0,108.0,91.0,90.0,104.0
Amstelveenseweg,18.0,18.0,24.0,17.0,16.0,19.0,28.0,21.0,16.0,25.0,25.0
Beethovenstraat,,,,,,,,,,,
Bullewijk,91.0,94.0,77.0,105.0,104.0,84.0,75.0,85.0,89.0,67.0,87.0
Burg.de Vlugtlaan,25.0,34.0,43.0,43.0,30.0,22.0,31.0,38.0,29.0,27.0,34.0
Centraal Station,254.0,219.0,236.0,234.0,228.0,252.0,218.0,230.0,248.0,250.0,252.0
Cornelis Troostplein,,,2.0,2.0,1.0,1.0,1.0,,,,1.0
Dam,11.0,17.0,5.0,17.0,12.0,13.0,13.0,12.0,6.0,10.0,14.0
De Boelelaan/VU,,,,,,,,,,,
De Pijp,182.0,165.0,184.0,159.0,189.0,169.0,164.0,150.0,197.0,177.0,200.0
Europaplein,82.0,68.0,65.0,80.0,76.0,60.0,92.0,69.0,67.0,79.0,78.0
Gaasperplas,50.0,52.0,57.0,60.0,48.0,52.0,63.0,57.0,57.0,64.0,61.0
Gein,54.0,58.0,77.0,76.0,62.0,68.0,67.0,62.0,60.0,62.0,63.0
Gerrit v.d. Veenstraat,4.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,6.0
Heemstedestraat,24.0,16.0,20.0,20.0,12.0,21.0,18.0,19.0,23.0,24.0,13.0
Henk Sneevlietweg,46.0,33.0,43.0,37.0,33.0,32.0,18.0,32.0,37.0,35.0,42.0
IJsbaanpad,,,,,,,,,,,
Isolatorweg,12.0,11.0,10.0,13.0,10.0,8.0,14.0,10.0,8.0,12.0,7.0
Jan v.Galenstraat,36.0,35.0,39.0,37.0,33.0,40.0,34.0,37.0,27.0,46.0,28.0
Keizersgracht,4.0,1.0,4.0,1.0,3.0,5.0,,1.0,1.0,6.0,3.0
Koningsplein,1.0,1.0,,2.0,1.0,1.0,3.0,,,,1.0
Kraaienneststation,154.0,148.0,151.0,112.0,137.0,140.0,135.0,161.0,150.0,157.0,145.0
Leidseplein,23.0,27.0,21.0,19.0,17.0,24.0,18.0,26.0,17.0,22.0,16.0
Maasstraat,,,,1.0,,,1.0,,,,
Marie Heinekenplein,3.0,9.0,7.0,4.0,5.0,14.0,8.0,6.0,7.0,5.0,4.0
Minervaplein,,,,,,,,,,,
Muntplein,,,,,,,,,,,
Museumplein,14.0,9.0,5.0,6.0,9.0,11.0,8.0,9.0,5.0,10.0,4.0
Nieuwezijds Kolk,7.0,4.0,4.0,3.0,2.0,12.0,3.0,5.0,9.0,3.0,4.0
Nieuwmarkt,15.0,22.0,17.0,23.0,17.0,21.0,19.0,20.0,28.0,21.0,15.0
Noord,554.0,522.0,483.0,526.0,552.0,522.0,522.0,460.0,517.0,509.0,518.0
Noorderpark,104.0,131.0,144.0,120.0,158.0,133.0,144.0,138.0,131.0,128.0,108.0
Olympiaplein,4.0,8.0,3.0,5.0,6.0,8.0,7.0,6.0,8.0,8.0,9.0
Olympiaweg,2.0,1.0,6.0,10.0,3.0,6.0,7.0,5.0,5.0,8.0,2.0
Olympisch stadion,5.0,9.0,11.0,11.0,13.0,8.0,6.0,4.0,10.0,7.0,12.0
Overamstel,25.0,24.0,19.0,29.0,13.0,25.0,27.0,21.0,22.0,21.0,23.0
Postjesweg,21.0,16.0,19.0,25.0,30.0,22.0,27.0,18.0,27.0,28.0,28.0
Prinsengracht,4.0,7.0,8.0,7.0,6.0,10.0,6.0,11.0,5.0,9.0,8.0
Reigersbos,92.0,87.0,77.0,81.0,87.0,76.0,107.0,96.0,86.0,91.0,92.0
Rijksmuseum,8.0,13.0,9.0,8.0,8.0,4.0,11.0,8.0,11.0,8.0,10.0
Roelof Hartplein,18.0,11.0,11.0,12.0,15.0,11.0,13.0,9.0,14.0,14.0,12.0
Rokin,51.0,54.0,50.0,48.0,54.0,62.0,48.0,74.0,48.0,66.0,42.0
Scheldestraat,,,,,,,,,,,
Spaklerweg,24.0,17.0,31.0,26.0,22.0,20.0,28.0,35.0,28.0,29.0,15.0
Spui,3.0,8.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,5.0
Station Bijlmer ArenA,99.0,117.0,109.0,95.0,102.0,109.0,110.0,104.0,104.0,88.0,110.0
Station Diemen-Zuid,77.0,74.0,78.0,77.0,73.0,75.0,62.0,70.0,70.0,74.0,68.0
Station Duivendrecht,40.0,49.0,38.0,36.0,45.0,45.0,49.0,51.0,45.0,43.0,48.0
Station Ganzenhoef,,,,,,,,,,,
Station Holendrecht,53.0,66.0,56.0,56.0,53.0,69.0,61.0,57.0,69.0,61.0,62.0
Station RAI,27.0,32.0,24.0,26.0,22.0,26.0,31.0,22.0,35.0,24.0,32.0
Station Sloterdijk,93.0,103.0,89.0,95.0,99.0,77.0,79.0,105.0,87.0,102.0,105.0
Strandvliet,34.0,41.0,54.0,49.0,50.0,49.0,50.0,45.0,41.0,49.0,36.0
Van Baerlestraat,6.0,13.0,5.0,12.0,4.0,8.0,5.0,5.0,8.0,8.0,5.0
Van der Madeweg,67.0,63.0,70.0,69.0,57.0,62.0,75.0,83.0,71.0,70.0,72.0
Venserpolder,65.0,64.0,64.0,51.0,61.0,49.0,60.0,52.0,53.0,56.0,62.0
Verrijn Stuartweg,10.0,13.0,18.0,13.0,9.0,13.0,14.0,7.0,16.0,10.0,15.0
Victorieplein,3.0,9.0,11.0,4.0,5.0,11.0,6.0,5.0,8.0,7.0,9.0
Vijzelgracht,65.0,52.0,74.0,72.0,54.0,72.0,63.0,77.0,65.0,68.0,54.0
VU medisch centrum,1.0,,3.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,
Waalstraat,2.0,2.0,,1.0,4.0,4.0,2.0,2.0,,1.0,3.0
Waterlooplein,35.0,43.0,15.0,32.0,32.0,26.0,33.0,24.0,24.0,21.0,25.0
Weesperplein,34.0,41.0,30.0,32.0,22.0,22.0,21.0,33.0,29.0,22.0,25.0
Wibautstraat,47.0,60.0,51.0,42.0,60.0,46.0,49.0,47.0,58.0,56.0,65.0
Station Zuid,286.0,302.0,325.0,325.0,314.0,312.0,310.0,352.0,305.0,300.0,297.0
Station Lelylaan,42.0,37.0,28.0,46.0,28.0,45.0,32.0,32.0,43.0,39.0,39.0
