station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,2.0,,3.0,,3.0,,,4.0,2.0,2.0
Amstelstation,152.0,163.0,149.0,178.0,167.0,167.0,183.0,148.0,155.0,162.0
Amstelveenseweg,75.0,83.0,42.0,55.0,61.0,58.0,78.0,68.0,51.0,65.0
Beethovenstraat,2.0,6.0,4.0,10.0,3.0,4.0,4.0,3.0,3.0,3.0
Bullewijk,69.0,81.0,86.0,105.0,76.0,82.0,69.0,80.0,72.0,74.0
Burg.de Vlugtlaan,31.0,28.0,29.0,23.0,35.0,29.0,23.0,31.0,25.0,28.0
Centraal Station,1273.0,1243.0,1262.0,1222.0,1228.0,1254.0,1276.0,1247.0,1234.0,1214.0
Cornelis Troostplein,10.0,9.0,11.0,8.0,16.0,7.0,9.0,16.0,5.0,7.0
Dam,268.0,264.0,221.0,273.0,258.0,291.0,251.0,268.0,271.0,262.0
De Boelelaan/VU,1.0,1.0,,1.0,,,,2.0,,1.0
De Pijp,938.0,925.0,836.0,932.0,925.0,848.0,919.0,935.0,966.0,929.0
Europaplein,175.0,192.0,180.0,179.0,177.0,188.0,182.0,169.0,167.0,179.0
Gaasperplas,24.0,22.0,22.0,21.0,39.0,29.0,22.0,28.0,32.0,29.0
Gein,50.0,56.0,46.0,39.0,47.0,39.0,51.0,52.0,49.0,46.0
Gerrit v.d. Veenstraat,23.0,14.0,23.0,16.0,22.0,19.0,14.0,20.0,12.0,12.0
Heemstedestraat,18.0,16.0,22.0,19.0,15.0,23.0,20.0,17.0,12.0,14.0
Henk Sneevlietweg,30.0,27.0,21.0,31.0,34.0,23.0,14.0,24.0,25.0,29.0
IJsbaanpad,,1.0,1.0,,4.0,2.0,2.0,1.0,4.0,2.0
Isolatorweg,17.0,23.0,18.0,16.0,11.0,22.0,21.0,21.0,15.0,13.0
Jan v.Galenstraat,30.0,33.0,32.0,19.0,26.0,36.0,33.0,24.0,30.0,28.0
Keizersgracht,31.0,41.0,33.0,32.0,39.0,47.0,40.0,28.0,29.0,29.0
Koningsplein,78.0,86.0,83.0,80.0,75.0,88.0,89.0,93.0,74.0,83.0
Kraaienneststation,72.0,70.0,82.0,89.0,93.0,72.0,77.0,70.0,76.0,77.0
Leidseplein,80.0,84.0,90.0,80.0,83.0,93.0,91.0,91.0,91.0,86.0
Maasstraat,2.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0
Marie Heinekenplein,172.0,153.0,181.0,164.0,157.0,157.0,168.0,173.0,151.0,152.0
Minervaplein,4.0,,1.0,,,,,1.0,1.0,3.0
Muntplein,92.0,91.0,104.0,105.0,110.0,98.0,94.0,105.0,106.0,95.0
