stations,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
"('Amsteldijk', 'Amstelveenseweg')",,,,,,,,,,
"('Amsteldijk', 'Beethovenstraat')",,,,,,,,,,
"('Amsteldijk', 'Bullewijk')",,,,,,,,,,
"('Amsteldijk', 'Burg.de Vlugtlaan')",,,,,,,,,,
"('Amsteldijk', 'Centraal Station')",1.0,,1.0,,,,1.0,,,1.0
"('Amsteldijk', 'Cornelis Troostplein')",,,,,,,,,,
"('Amsteldijk', 'Dam')",,,,,,,,,,
"('Amsteldijk', 'De Boelelaan/VU')",,,,,,,,,,
"('Amsteldijk', 'De Pijp')",1.0,3.0,2.0,5.0,6.0,2.0,2.0,2.0,1.0,4.0
"('Amsteldijk', 'Europaplein')",,,,,,,,,,
"('Amsteldijk', 'Gaasperplas')",,,,,,,,,,
"('Amsteldijk', 'Gein')",,,,,,,,,,
"('Amsteldijk', 'Gerrit v.d. Veenstraat')",,,,,,,,,,
"('Amsteldijk', 'Heemstedestraat')",,,,,,,,,,
"('Amsteldijk', 'Henk Sneevlietweg')",,,,,,,,,,
"('Amsteldijk', 'IJsbaanpad')",,,,,,,,,,
"('Amsteldijk', 'Isolatorweg')",,,,,,,,,,
"('Amsteldijk', 'Jan v.Galenstraat')",,,,,,,,,,
"('Amsteldijk', 'Keizersgracht')",,,,,,,,,,
"('Amsteldijk', 'Koningsplein')",,,,,,,,,,
"('Amsteldijk', 'Kraaienneststation')",,,,,,,,,,
"('Amsteldijk', 'Leidseplein')",,,,,,,,,,
"('Amsteldijk', 'Maasstraat')",,,,,,,,,,
"('Amsteldijk', 'Marie Heinekenplein')",,,,,,,,,,
"('Amsteldijk', 'Minervaplein')",,,,,,,,,,
"('Amsteldijk', 'Muntplein')",,,,,,,,,,
"('Amsteldijk', 'Museumplein')",,,,,,,,,,
"('Amsteldijk', 'Nieuwezijds Kolk')",,,,,,,,,,
"('Amsteldijk', 'Nieuwmarkt')",,,,,,,,,,
"('Amsteldijk', 'Noord')",,,,,,,,,,
"('Amsteldijk', 'Noorderpark')",,,,,,,,,,
"('Amsteldijk', 'Olympiaplein')",,,,,,,,,,
"('Amsteldijk', 'Olympiaweg')",,,,,,,,,,
"('Amsteldijk', 'Olympisch stadion')",,,,,,,,,,
"('Amsteldijk', 'Overamstel')",,,,,,,,,,
"('Amsteldijk', 'Postjesweg')",,,,,,,,,,
"('Amsteldijk', 'Prinsengracht')",,,,,,,,,,
"('Amsteldijk', 'Reigersbos')",,,,,,,,,,
"('Amsteldijk', 'Rijksmuseum')",,,,,,,,,,
"('Amsteldijk', 'Roelof Hartplein')",,,,,,,1.0,,,
"('Amsteldijk', 'Rokin')",,,,,,,,,,
"('Amsteldijk', 'Scheldestraat')",,,,,,,,,,
"('Amsteldijk', 'Spaklerweg')",,,,,,,,,,
"('Amsteldijk', 'Spui')",,,,,,,,,,
"('Amsteldijk', 'Station Bijlmer ArenA')",,,,,,,,,,
"('Amsteldijk', 'Station Diemen-Zuid')",,,,,,,,,,
"('Amsteldijk', 'Station Duivendrecht')",,,,,,,,,,
"('Amsteldijk', 'Station Ganzenhoef')",,,,,,,,,,
"('Amsteldijk', 'Station Holendrecht')",,,,,,,,,,
"('Amsteldijk', 'Station RAI')",,,,,,,,,,
"('Amsteldijk', 'Station Sloterdijk')",,,,,,,,,,
"('Amsteldijk', 'Strandvliet')",,,,,,,,,,
"('Amsteldijk', 'Van Baerlestraat')",,,,,,,,,,
"('Amsteldijk', 'Van der Madeweg')",,,,,,,,,,
"('Amsteldijk', 'Venserpolder')",,,,,,,,,,
"('Amsteldijk', 'Verrijn Stuartweg')",,,,,,,,,,
"('Amsteldijk', 'Victorieplein')",,,,,,,,,,
"('Amsteldijk', 'Vijzelgracht')",,,,,,,,,,
"('Amsteldijk', 'VU medisch centrum')",,,,,,,,,,
"('Amsteldijk', 'Waalstraat')",,,,,,,,,,
"('Amsteldijk', 'Waterlooplein')",,,,,,,,,,
"('Amsteldijk', 'Weesperplein')",,,,,,,,,,
"('Amsteldijk', 'Wibautstraat')",,,,,,,,,,
"('Amsteldijk', 'Station Zuid')",,,,,,,,,,
"('Amsteldijk', 'Station Lelylaan')",,,,,,,,,,
"('Amstelstation', 'Amstelveenseweg')",,,,,,,,,,
"('Amstelstation', 'Beethovenstraat')",,,,,,,,,,
"('Amstelstation', 'Bullewijk')",,,,,,,,,,
"('Amstelstation', 'Burg.de Vlugtlaan')",,,,,,,,,,
"('Amstelstation', 'Centraal Station')",108.0,86.0,97.0,91.0,94.0,99.0,100.0,88.0,96.0,105.0
"('Amstelstation', 'Cornelis Troostplein')",2.0,,3.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0
"('Amstelstation', 'Dam')",26.0,18.0,18.0,21.0,17.0,23.0,20.0,30.0,25.0,16.0
"('Amstelstation', 'De Boelelaan/VU')",,,,,,,,,,
"('Amstelstation', 'De Pijp')",179.0,186.0,151.0,161.0,179.0,157.0,162.0,189.0,162.0,169.0
"('Amstelstation', 'Europaplein')",,,,,,,,,,
"('Amstelstation', 'Gaasperplas')",4.0,,,1.0,2.0,,1.0,3.0,,1.0
"('Amstelstation', 'Gein')",,,,,,,,,,
"('Amstelstation', 'Gerrit v.d. Veenstraat')",,,,,,,,,,
"('Amstelstation', 'Heemstedestraat')",,,,,,,,,,
"('Amstelstation', 'Henk Sneevlietweg')",,,,,,,,,,
"('Amstelstation', 'IJsbaanpad')",,,,,,,,,,
"('Amstelstation', 'Isolatorweg')",,,,,,,,,,
"('Amstelstation', 'Jan v.Galenstraat')",,,,,,,,,,
"('Amstelstation', 'Keizersgracht')",2.0,4.0,4.0,3.0,1.0,2.0,5.0,2.0,4.0,3.0
"('Amstelstation', 'Koningsplein')",7.0,6.0,6.0,8.0,6.0,8.0,11.0,9.0,2.0,7.0
"('Amstelstation', 'Kraaienneststation')",5.0,4.0,4.0,5.0,8.0,5.0,5.0,3.0,4.0,10.0
"('Amstelstation', 'Leidseplein')",12.0,9.0,11.0,11.0,12.0,9.0,12.0,9.0,9.0,14.0
"('Amstelstation', 'Maasstraat')",,,,1.0,,,,,,
"('Amstelstation', 'Marie Heinekenplein')",,,,,,,,,,
"('Amstelstation', 'Minervaplein')",,,,,,,,,,
"('Amstelstation', 'Muntplein')",,,,,,,,,,
"('Amstelstation', 'Museumplein')",10.0,10.0,17.0,11.0,12.0,13.0,16.0,16.0,14.0,12.0
"('Amstelstation', 'Nieuwezijds Kolk')",4.0,4.0,2.0,1.0,6.0,3.0,3.0,3.0,3.0,6.0
"('Amstelstation', 'Nieuwmarkt')",6.0,4.0,3.0,2.0,3.0,7.0,5.0,6.0,4.0,4.0
"('Amstelstation', 'Noord')",,,,,,,,,,
"('Amstelstation', 'Noorderpark')",,,,,,,,,,
"('Amstelstation', 'Olympiaplein')",,,,,,,,,,
"('Amstelstation', 'Olympiaweg')",,,,,,,,,,
"('Amstelstation', 'Olympisch stadion')",,,,,,,,,,
"('Amstelstation', 'Overamstel')",,,,,,,,,,
"('Amstelstation', 'Postjesweg')",,,,,,,,,,
"('Amstelstation', 'Prinsengracht')",2.0,4.0,4.0,1.0,5.0,1.0,3.0,4.0,2.0,2.0
"('Amstelstation', 'Reigersbos')",,,,,,,,,,
"('Amstelstation', 'Rijksmuseum')",22.0,27.0,14.0,17.0,16.0,24.0,20.0,17.0,15.0,16.0
"('Amstelstation', 'Roelof Hartplein')",13.0,12.0,19.0,18.0,11.0,21.0,13.0,25.0,15.0,15.0
"('Amstelstation', 'Rokin')",,,,,,,,,,
"('Amstelstation', 'Scheldestraat')",1.0,,1.0,,2.0,2.0,1.0,,,1.0
"('Amstelstation', 'Spaklerweg')",,2.0,1.0,2.0,2.0,5.0,2.0,2.0,,3.0
"('Amstelstation', 'Spui')",2.0,7.0,9.0,1.0,2.0,4.0,11.0,4.0,7.0,3.0
"('Amstelstation', 'Station Bijlmer ArenA')",,,,,,,,,,
"('Amstelstation', 'Station Diemen-Zuid')",2.0,4.0,6.0,2.0,5.0,2.0,2.0,,2.0,4.0
"('Amstelstation', 'Station Duivendrecht')",,,,,,,,,,
"('Amstelstation', 'Station Ganzenhoef')",,,,,,,,,,
"('Amstelstation', 'Station Holendrecht')",,,,,,,,,,
"('Amstelstation', 'Station RAI')",,,,,,,,,,
"('Amstelstation', 'Station Sloterdijk')",,,,,,,,,,
"('Amstelstation', 'Strandvliet')",,,,,,,,,,
"('Amstelstation', 'Van Baerlestraat')",6.0,8.0,14.0,7.0,9.0,8.0,15.0,6.0,11.0,13.0
"('Amstelstation', 'Van der Madeweg')",93.0,82.0,112.0,104.0,112.0,99.0,127.0,109.0,101.0,105.0
"('Amstelstation', 'Venserpolder')",2.0,5.0,3.0,2.0,1.0,1.0,6.0,,2.0,4.0
"('Amstelstation', 'Verrijn Stuartweg')",,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,
"('Amstelstation', 'Victorieplein')",,3.0,2.0,9.0,3.0,4.0,6.0,5.0,4.0,5.0
"('Amstelstation', 'Vijzelgracht')",,,,,,,,,,
"('Amstelstation', 'VU medisch centrum')",,,,,,,,,,
"('Amstelstation', 'Waalstraat')",1.0,,1.0,,,1.0,,1.0,,
"('Amstelstation', 'Waterlooplein')",8.0,6.0,6.0,6.0,7.0,8.0,4.0,9.0,12.0,6.0
