station,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10
Amsteldijk,6.0,4.0,4.0,7.0,10.0,6.0,7.0,4.0,3.0,10.0
Amstelstation,325.0,302.0,308.0,311.0,322.0,307.0,335.0,322.0,336.0,292.0
Amstelveenseweg,53.0,48.0,51.0,64.0,52.0,55.0,68.0,58.0,61.0,57.0
Beethovenstraat,4.0,3.0,3.0,2.0,6.0,9.0,5.0,5.0,3.0,5.0
Bullewijk,215.0,208.0,202.0,201.0,200.0,199.0,177.0,213.0,214.0,201.0
Burg.de Vlugtlaan,47.0,48.0,42.0,40.0,48.0,45.0,46.0,37.0,40.0,54.0
Centraal Station,685.0,678.0,657.0,650.0,687.0,692.0,638.0,691.0,685.0,660.0
Cornelis Troostplein,16.0,26.0,21.0,19.0,20.0,20.0,17.0,18.0,22.0,15.0
Dam,100.0,122.0,121.0,108.0,111.0,126.0,96.0,110.0,119.0,120.0
De Boelelaan/VU,11.0,11.0,12.0,9.0,11.0,9.0,17.0,12.0,10.0,11.0
De Pijp,623.0,665.0,651.0,639.0,678.0,640.0,658.0,663.0,616.0,640.0
Europaplein,442.0,383.0,425.0,408.0,443.0,417.0,432.0,387.0,405.0,423.0
Gaasperplas,123.0,128.0,128.0,118.0,114.0,134.0,137.0,146.0,127.0,166.0
Gein,116.0,95.0,123.0,99.0,119.0,103.0,102.0,114.0,105.0,135.0
Gerrit v.d. Veenstraat,26.0,40.0,35.0,45.0,35.0,37.0,35.0,33.0,30.0,43.0
Heemstedestraat,49.0,44.0,47.0,40.0,48.0,36.0,27.0,32.0,42.0,35.0
Henk Sneevlietweg,68.0,73.0,65.0,60.0,86.0,67.0,77.0,60.0,83.0,63.0
IJsbaanpad,6.0,4.0,2.0,8.0,8.0,2.0,2.0,5.0,2.0,2.0
Isolatorweg,10.0,7.0,13.0,6.0,6.0,13.0,12.0,10.0,10.0,13.0
Jan v.Galenstraat,49.0,55.0,59.0,58.0,51.0,54.0,59.0,64.0,56.0,50.0
Keizersgracht,16.0,24.0,30.0,24.0,12.0,26.0,14.0,13.0,20.0,11.0
Koningsplein,35.0,46.0,44.0,39.0,37.0,39.0,41.0,51.0,40.0,40.0
Kraaienneststation,157.0,188.0,168.0,179.0,171.0,157.0,161.0,150.0,164.0,168.0
Leidseplein,79.0,61.0,86.0,72.0,70.0,78.0,75.0,64.0,71.0,73.0
Maasstraat,8.0,14.0,12.0,10.0,14.0,11.0,11.0,15.0,18.0,7.0
Marie Heinekenplein,84.0,75.0,83.0,83.0,89.0,71.0,83.0,94.0,86.0,98.0
Minervaplein,15.0,8.0,8.0,12.0,15.0,13.0,12.0,10.0,12.0,13.0
Muntplein,56.0,52.0,44.0,38.0,40.0,44.0,47.0,47.0,34.0,44.0
Museumplein,43.0,41.0,40.0,40.0,44.0,51.0,44.0,49.0,49.0,49.0
Nieuwezijds Kolk,30.0,27.0,21.0,23.0,17.0,25.0,24.0,12.0,15.0,15.0
Nieuwmarkt,51.0,50.0,43.0,46.0,46.0,50.0,57.0,38.0,44.0,54.0
Noord,901.0,906.0,917.0,874.0,914.0,847.0,905.0,896.0,912.0,952.0
Noorderpark,292.0,301.0,272.0,289.0,303.0,307.0,273.0,266.0,292.0,270.0
Olympiaplein,43.0,31.0,30.0,30.0,32.0,33.0,19.0,34.0,36.0,29.0
Olympiaweg,25.0,30.0,23.0,27.0,23.0,17.0,21.0,22.0,24.0,19.0
Olympisch stadion,37.0,50.0,35.0,58.0,36.0,49.0,61.0,49.0,47.0,41.0
Overamstel,101.0,109.0,93.0,113.0,95.0,89.0,90.0,110.0,90.0,97.0
Postjesweg,51.0,45.0,42.0,57.0,52.0,60.0,56.0,53.0,45.0,35.0
Prinsengracht,18.0,28.0,35.0,19.0,28.0,29.0,34.0,27.0,24.0,24.0
Reigersbos,120.0,132.0,125.0,141.0,105.0,134.0,115.0,153.0,125.0,119.0
Rijksmuseum,63.0,56.0,59.0,43.0,59.0,57.0,58.0,68.0,62.0,82.0
Roelof Hartplein,92.0,95.0,82.0,110.0,72.0,94.0,107.0,84.0,106.0,95.0
Rokin,204.0,200.0,235.0,231.0,218.0,196.0,232.0,220.0,219.0,194.0
Scheldestraat,11.0,9.0,16.0,14.0,16.0,8.0,12.0,10.0,12.0,6.0
Spaklerweg,63.0,78.0,88.0,74.0,62.0,61.0,74.0,70.0,71.0,60.0
Spui,16.0,24.0,26.0,19.0,17.0,23.0,26.0,28.0,24.0,16.0
Station Bijlmer ArenA,390.0,439.0,382.0,419.0,433.0,438.0,403.0,377.0,396.0,381.0
Station Diemen-Zuid,176.0,202.0,217.0,175.0,182.0,184.0,193.0,182.0,164.0,198.0
Station Duivendrecht,65.0,56.0,76.0,69.0,63.0,74.0,72.0,53.0,62.0,65.0
Station Ganzenhoef,,,,,,,,,,
Station Holendrecht,108.0,93.0,87.0,116.0,119.0,105.0,110.0,110.0,109.0,107.0
Station RAI,79.0,77.0,79.0,96.0,88.0,76.0,111.0,108.0,84.0,99.0
Station Sloterdijk,128.0,140.0,101.0,121.0,130.0,109.0,122.0,121.0,117.0,132.0
Strandvliet,71.0,65.0,73.0,81.0,74.0,60.0,71.0,66.0,82.0,75.0
Van Baerlestraat,60.0,56.0,62.0,43.0,52.0,54.0,55.0,41.0,48.0,51.0
