,class_id,destination,duration,lines,origin,route,timestamps,transfers,transferstations,waiting_time
1e1c19d8-8dda-11e9-9aa9-7831c1d08f6a,3,Koningsplein,30.0,"['metro50_1', 'metro52_1', 'tram12_0']",Station Bijlmer ArenA,"['Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station', 'Nieuwezijds Kolk', 'Dam', 'Spui', 'Koningsplein']","['14:00:00', '14:07:00', '14:07:00', '14:18:00', '14:18:00', '14:23:00', '14:23:00', '14:33:00', '14:33:00', '14:35:00', '14:35:00', '14:42:00']",2,"['Station Zuid', 'Centraal Station']",7.0
1e1ce0d2-8dda-11e9-ab4c-7831c1d08f6a,3,Centraal Station,6,['metro52_1'],De Pijp,"['De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station']","['14:00:00', '14:09:00', '14:09:00', '14:15:00']",0,[],8.983333333333333
1e1e4a9e-8dda-11e9-b6db-7831c1d08f6a,3,Nieuwmarkt,6.0,"['metro52_1', 'metro53_1']",Rokin,"['Rokin', 'Centraal Station', 'Nieuwmarkt']","['14:00:00', '14:13:00', '14:13:00', '14:15:00', '14:15:00', '14:23:00', '14:23:00', '14:24:00']",1,['Centraal Station'],12.983333333333333
1e1ec962-8dda-11e9-a7c0-7831c1d08f6a,1,Centraal Station,6,['metro52_1'],De Pijp,"['De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station']","['14:00:00', '14:09:00', '14:09:00', '14:15:00']",0,[],8.983333333333333
1e1eda9a-8dda-11e9-a335-7831c1d08f6a,1,Centraal Station,4,['metro52_0'],Noord,"['Noord', 'Noorderpark', 'Centraal Station']","['14:00:01', '14:06:00', '14:06:00', '14:10:00']",0,[],5.966666666666667
1e20ddc2-8dda-11e9-864d-7831c1d08f6a,1,Muntplein,9.0,"['metro52_1', 'tram24_1']",Station Zuid,"['Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin', 'Muntplein']","['14:00:01', '14:05:00', '14:05:00', '14:13:00', '14:13:00', '14:18:00', '14:18:00', '14:19:00']",1,['Rokin'],4.966666666666667
1e2161f4-8dda-11e9-818d-7831c1d08f6a,1,Centraal Station,6,['metro52_1'],De Pijp,"['De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station']","['14:00:01', '14:09:00', '14:09:00', '14:15:00']",0,[],8.966666666666667
1e2405c6-8dda-11e9-9992-7831c1d08f6a,2,Waterlooplein,20.0,"['tram24_1', 'metro52_1', 'metro53_1']",Marie Heinekenplein,"['Marie Heinekenplein', 'De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station', 'Nieuwmarkt', 'Waterlooplein']","['14:00:02', '14:11:00', '14:11:00', '14:13:00', '14:13:00', '14:15:00', '14:15:00', '14:21:00', '14:21:00', '14:23:00', '14:23:00', '14:26:00']",2,"['De Pijp', 'Centraal Station']",10.95
1e267d40-8dda-11e9-8e64-7831c1d08f6a,3,Van Baerlestraat,10,['tram12_0'],Dam,"['Dam', 'Spui', 'Koningsplein', 'Keizersgracht', 'Prinsengracht', 'Leidseplein', 'Rijksmuseum', 'Van Baerlestraat']","['14:00:02', '14:39:00', '14:39:00', '14:49:00']",0,[],38.95
1e2930e4-8dda-11e9-93c0-7831c1d08f6a,2,Station Bijlmer ArenA,11,['metro50_0'],Station RAI,"['Station RAI', 'Overamstel', 'Van der Madeweg', 'Station Duivendrecht', 'Strandvliet', 'Station Bijlmer ArenA']","['14:00:02', '14:19:00', '14:19:00', '14:30:00']",0,[],18.95
1e2998e2-8dda-11e9-8a1a-7831c1d08f6a,2,De Pijp,36.0,"['metro53_1', 'tram12_1']",Centraal Station,"['Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Amsteldijk', 'Victorieplein', 'Waalstraat', 'Maasstraat', 'Scheldestraat', 'Cornelis Troostplein', 'De Pijp']","['14:00:03', '14:03:00', '14:03:00', '14:10:00', '14:10:00', '14:33:00', '14:33:00', '14:44:00']",1,['Amstelstation'],2.933333333333333
1e2bf18a-8dda-11e9-b4ce-7831c1d08f6a,1,Overamstel,19.0,"['tram24_1', 'metro52_0', 'metro50_0']",Rokin,"['Rokin', 'Muntplein', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid', 'Station RAI', 'Overamstel']","['14:00:03', '14:08:00', '14:08:00', '14:10:00', '14:10:00', '14:14:00', '14:14:00', '14:21:00', '14:21:00', '14:27:00', '14:27:00', '14:32:00']",2,"['Vijzelgracht', 'Station Zuid']",7.933333333333334
1e2dff48-8dda-11e9-8faa-7831c1d08f6a,2,Marie Heinekenplein,47.0,"['metro53_1', 'tram12_1', 'tram24_0']",Centraal Station,"['Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Amsteldijk', 'Victorieplein', 'Waalstraat', 'Maasstraat', 'Scheldestraat', 'Cornelis Troostplein', 'De Pijp', 'Marie Heinekenplein']","['14:00:03', '14:03:00', '14:03:00', '14:10:00', '14:10:00', '14:33:00', '14:33:00', '14:44:00', '14:44:00', '14:53:00', '14:53:00', '14:55:00']",2,"['Amstelstation', 'De Pijp']",2.933333333333333
1e30955a-8dda-11e9-8930-7831c1d08f6a,1,Gaasperplas,27.0,"['metro52_0', 'metro53_1']",Noorderpark,"['Noorderpark', 'Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Venserpolder', 'Station Diemen-Zuid', 'Verrijn Stuartweg', 'Station Ganzenhoef', 'Kraaienneststation', 'Gaasperplas']","['14:00:04', '14:02:00', '14:02:00', '14:04:00', '14:04:00', '14:13:00', '14:13:00', '14:34:00']",1,['Centraal Station'],1.9166666666666667
1e325200-8dda-11e9-9db5-7831c1d08f6a,3,Station Zuid,20.0,"['metro53_0', 'metro50_1']",Gaasperplas,"['Gaasperplas', 'Kraaienneststation', 'Station Ganzenhoef', 'Verrijn Stuartweg', 'Station Diemen-Zuid', 'Venserpolder', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid']","['14:00:04', '14:03:00', '14:03:00', '14:13:00', '14:13:00', '14:21:00', '14:21:00', '14:28:00']",1,['Van der Madeweg'],2.9166666666666665
1e34a578-8dda-11e9-8e5f-7831c1d08f6a,1,Van Baerlestraat,28.0,"['metro50_0', 'metro52_1', 'tram12_1']",Amstelveenseweg,"['Amstelveenseweg', 'Station Zuid', 'Europaplein', 'De Pijp', 'Roelof Hartplein', 'Museumplein', 'Van Baerlestraat']","['14:00:04', '14:15:00', '14:15:00', '14:17:00', '14:17:00', '14:23:00', '14:23:00', '14:27:00', '14:27:00', '14:44:00', '14:44:00', '14:48:00']",2,"['Station Zuid', 'De Pijp']",14.916666666666666
1e353428-8dda-11e9-9966-7831c1d08f6a,2,De Pijp,35.0,"['metro53_0', 'tram12_1']",Kraaienneststation,"['Kraaienneststation', 'Station Ganzenhoef', 'Verrijn Stuartweg', 'Station Diemen-Zuid', 'Venserpolder', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Amsteldijk', 'Victorieplein', 'Waalstraat', 'Maasstraat', 'Scheldestraat', 'Cornelis Troostplein', 'De Pijp']","['14:00:05', '14:04:00', '14:04:00', '14:16:00', '14:16:00', '14:33:00', '14:33:00', '14:44:00']",1,['Amstelstation'],3.9
1e36b066-8dda-11e9-bcb8-7831c1d08f6a,1,Station Zuid,16.0,"['metro53_1', 'metro50_1']",Weesperplein,"['Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid']","['14:00:05', '14:07:00', '14:07:00', '14:15:00', '14:15:00', '14:21:00', '14:21:00', '14:28:00']",1,['Van der Madeweg'],6.9
1e382068-8dda-11e9-b789-7831c1d08f6a,1,Vijzelgracht,26.0,"['metro53_0', 'metro50_1', 'metro52_1']",Kraaienneststation,"['Kraaienneststation', 'Station Ganzenhoef', 'Verrijn Stuartweg', 'Station Diemen-Zuid', 'Venserpolder', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht']","['14:00:05', '14:04:00', '14:04:00', '14:13:00', '14:13:00', '14:21:00', '14:21:00', '14:28:00', '14:28:00', '14:29:00', '14:29:00', '14:35:00']",2,"['Van der Madeweg', 'Station Zuid']",3.9
1e3a1aa8-8dda-11e9-aae2-7831c1d08f6a,1,Wibautstraat,5,['metro53_1'],Centraal Station,"['Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat']","['14:00:06', '14:03:00', '14:03:00', '14:08:00']",0,[],2.8833333333333333
1e3c8286-8dda-11e9-9d18-7831c1d08f6a,1,Station RAI,18.0,"['metro53_1', 'metro50_1']",Centraal Station,"['Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Overamstel', 'Station RAI']","['14:00:06', '14:03:00', '14:03:00', '14:15:00', '14:15:00', '14:21:00', '14:21:00', '14:26:00']",1,['Van der Madeweg'],2.8833333333333333
1e3e706c-8dda-11e9-b5ab-7831c1d08f6a,1,Rijksmuseum,40.0,"['metro52_0', 'tram24_0', 'tram12_0']",Noorderpark,"['Noorderpark', 'Centraal Station', 'Rokin', 'Dam', 'Spui', 'Koningsplein', 'Keizersgracht', 'Prinsengracht', 'Leidseplein', 'Rijksmuseum']","['14:00:06', '14:02:00', '14:02:00', '14:06:00', '14:06:00', '14:30:00', '14:30:00', '14:32:00', '14:32:00', '14:39:00', '14:39:00', '14:47:00']",2,"['Rokin', 'Dam']",1.8833333333333333
1e410c50-8dda-11e9-b764-7831c1d08f6a,2,Noord,26.0,"['metro50_1', 'metro52_1']",Station Bijlmer ArenA,"['Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station', 'Noorderpark', 'Noord']","['14:00:07', '14:07:00', '14:07:00', '14:18:00', '14:18:00', '14:23:00', '14:23:00', '14:38:00']",1,['Station Zuid'],6.866666666666666
1e41e546-8dda-11e9-b7c1-7831c1d08f6a,3,De Pijp,2,['metro52_0'],Vijzelgracht,"['Vijzelgracht', 'De Pijp']","['14:00:07', '14:08:00', '14:08:00', '14:10:00']",0,[],7.866666666666666
1e43a76c-8dda-11e9-bb4b-7831c1d08f6a,2,Leidseplein,21.0,"['tram24_0', 'tram12_0']",Roelof Hartplein,"['Roelof Hartplein', 'De Pijp', 'Marie Heinekenplein', 'Vijzelgracht', 'Muntplein', 'Rokin', 'Dam', 'Spui', 'Koningsplein', 'Keizersgracht', 'Prinsengracht', 'Leidseplein']","['14:00:07', '14:20:00', '14:20:00', '14:32:00', '14:32:00', '14:39:00', '14:39:00', '14:46:00']",1,['Dam'],19.866666666666667
1e45a102-8dda-11e9-8e1e-7831c1d08f6a,1,Spui,33.0,"['metro50_1', 'metro52_1', 'tram12_0']",Reigersbos,"['Reigersbos', 'Station Holendrecht', 'Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station', 'Nieuwezijds Kolk', 'Dam', 'Spui']","['14:00:07', '14:03:00', '14:03:00', '14:18:00', '14:18:00', '14:23:00', '14:23:00', '14:33:00', '14:33:00', '14:35:00', '14:35:00', '14:41:00']",2,"['Station Zuid', 'Centraal Station']",2.8666666666666667
1e46377a-8dda-11e9-9cc5-7831c1d08f6a,3,De Pijp,12,['tram12_0'],Koningsplein,"['Koningsplein', 'Keizersgracht', 'Prinsengracht', 'Leidseplein', 'Rijksmuseum', 'Van Baerlestraat', 'Museumplein', 'Roelof Hartplein', 'De Pijp']","['14:00:08', '14:42:00', '14:42:00', '14:54:00']",0,[],41.85
1e46c1b8-8dda-11e9-8b78-7831c1d08f6a,2,De Pijp,4,['metro52_1'],Station Zuid,"['Station Zuid', 'Europaplein', 'De Pijp']","['14:00:08', '14:05:00', '14:05:00', '14:09:00']",0,[],4.85
1e47e110-8dda-11e9-b540-7831c1d08f6a,3,Dam,6,['tram24_0'],Vijzelgracht,"['Vijzelgracht', 'Muntplein', 'Rokin', 'Dam']","['14:00:08', '14:26:00', '14:26:00', '14:32:00']",0,[],25.85
1e485050-8dda-11e9-94b3-7831c1d08f6a,2,De Pijp,36.0,"['metro53_1', 'tram12_1']",Centraal Station,"['Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Amsteldijk', 'Victorieplein', 'Waalstraat', 'Maasstraat', 'Scheldestraat', 'Cornelis Troostplein', 'De Pijp']","['14:00:09', '14:03:00', '14:03:00', '14:10:00', '14:10:00', '14:33:00', '14:33:00', '14:44:00']",1,['Amstelstation'],2.8333333333333335
1e4b43a8-8dda-11e9-908c-7831c1d08f6a,2,Waterlooplein,18,['metro53_0'],Kraaienneststation,"['Kraaienneststation', 'Station Ganzenhoef', 'Verrijn Stuartweg', 'Station Diemen-Zuid', 'Venserpolder', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation', 'Wibautstraat', 'Weesperplein', 'Waterlooplein']","['14:00:09', '14:04:00', '14:04:00', '14:22:00']",0,[],3.8333333333333335
1e4c26a8-8dda-11e9-8dfa-7831c1d08f6a,1,Rokin,8,['metro52_1'],Station Zuid,"['Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin']","['14:00:09', '14:05:00', '14:05:00', '14:13:00']",0,[],4.833333333333333
1e4cacb8-8dda-11e9-9b06-7831c1d08f6a,2,De Pijp,7,['tram12_0'],Rijksmuseum,"['Rijksmuseum', 'Van Baerlestraat', 'Museumplein', 'Roelof Hartplein', 'De Pijp']","['14:00:10', '14:47:00', '14:47:00', '14:54:00']",0,[],46.81666666666667
1e4eab9e-8dda-11e9-bf00-7831c1d08f6a,1,Noord,3,['metro52_1'],Noorderpark,"['Noorderpark', 'Noord']","['14:00:10', '14:17:00', '14:17:00', '14:20:00']",0,[],16.816666666666666
1e50363a-8dda-11e9-9649-7831c1d08f6a,1,Station Zuid,20.0,"['tram12_1', 'tram24_1', 'metro52_0']",Spui,"['Spui', 'Dam', 'Rokin', 'Vijzelgracht', 'De Pijp', 'Europaplein', 'Station Zuid']","['14:00:10', '14:56:00', '14:56:00', '14:58:00', '14:58:00']",2,"['Dam', 'Rokin']",55.81666666666667
1e539410-8dda-11e9-bd60-7831c1d08f6a,3,Europaplein,14.0,"['metro50_1', 'metro52_1']",Bullewijk,"['Bullewijk', 'Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Overamstel', 'Station RAI', 'Station Zuid', 'Europaplein']","['14:00:11', '14:06:00', '14:06:00', '14:18:00', '14:18:00', '14:23:00', '14:23:00', '14:25:00']",1,['Station Zuid'],5.8
1e568698-8dda-11e9-8194-7831c1d08f6a,2,Station Diemen-Zuid,27.0,"['tram24_1', 'metro50_0', 'metro53_1']",Gerrit v.d. Veenstraat,"['Gerrit v.d. Veenstraat', 'Beethovenstraat', 'Minervaplein', 'Olympiaplein', 'Olympiaweg', 'Olympisch stadion', 'IJsbaanpad', 'Amstelveenseweg', 'Station Zuid', 'Station RAI', 'Overamstel', 'Van der Madeweg', 'Venserpolder', 'Station Diemen-Zuid']","['14:00:11', '14:15:00', '14:15:00', '14:28:00', '14:28:00', '14:35:00', '14:35:00', '14:45:00', '14:45:00', '14:45:00', '14:45:00', '14:48:00']",2,"['Amstelveenseweg', 'Van der Madeweg']",15.8
