,destination,lines,origin,route,transfers,transferstations
8f049322-7e25-11e9-b90a-7831c1d08f6a,Amstelstation,['metro54'],Nieuwmarkt,"['Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation']",0,[]
8f085778-7e25-11e9-9535-7831c1d08f6a,Station Holendrecht,['metro54'],Centraal Station,"['Centraal Station', 'Nieuwmarkt', 'Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Station Duivendrecht', 'Strandvliet', 'Station Bijlmer ArenA', 'Bullewijk', 'Station Holendrecht']",0,[]
8f0b4082-7e25-11e9-997d-7831c1d08f6a,Station Duivendrecht,['metro54'],Amstelstation,"['Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Station Duivendrecht']",0,[]
8f0b6dbe-7e25-11e9-8459-7831c1d08f6a,Centraal Station,['metro52'],Noord,"['Noord', 'Noorderpark', 'Centraal Station']",0,[]
8f0fd246-7e25-11e9-90ca-7831c1d08f6a,Station Diemen-Zuid,"['metro54', 'metro53']",Waterlooplein,"['Waterlooplein', 'Weesperplein', 'Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Venserpolder', 'Station Diemen-Zuid']",1,['Van der Madeweg']
8f111246-7e25-11e9-a6c6-7831c1d08f6a,Station Zuid,['metro51'],Amstelveenseweg,"['Amstelveenseweg', 'Station Zuid']",0,[]
8f11f40c-7e25-11e9-8407-7831c1d08f6a,Centraal Station,"['metro51', 'metro52']",Postjesweg,"['Postjesweg', 'Station Lelylaan', 'Heemstedestraat', 'Henk Sneevlietweg', 'Amstelveenseweg', 'Station Zuid', 'Europaplein', 'De Pijp', 'Vijzelgracht', 'Rokin', 'Centraal Station']",1,['Station Zuid']
8f13ba3a-7e25-11e9-aaba-7831c1d08f6a,Amstelstation,['metro54'],Station Bijlmer ArenA,"['Station Bijlmer ArenA', 'Strandvliet', 'Station Duivendrecht', 'Van der Madeweg', 'Spaklerweg', 'Amstelstation']",0,[]
8f15595a-7e25-11e9-8d37-7831c1d08f6a,Spaklerweg,"['metro53', 'metro54']",Venserpolder,"['Venserpolder', 'Van der Madeweg', 'Spaklerweg']",1,['Van der Madeweg']
8f15c8a4-7e25-11e9-bfcd-7831c1d08f6a,De Pijp,['metro52'],Noorderpark,"['Noorderpark', 'Centraal Station', 'Rokin', 'Vijzelgracht', 'De Pijp']",0,[]
8f17d21e-7e25-11e9-86fa-7831c1d08f6a,Weesperplein,['metro54'],Wibautstraat,"['Wibautstraat', 'Weesperplein']",0,[]
8f1c57a8-7e25-11e9-ad90-7831c1d08f6a,Verrijn Stuartweg,"['metro54', 'metro53']",Wibautstraat,"['Wibautstraat', 'Amstelstation', 'Spaklerweg', 'Van der Madeweg', 'Venserpolder', 'Station Diemen-Zuid', 'Verrijn Stuartweg']",1,['Van der Madeweg']
