,arrival,date,departure,line,route
9535a97a-7b9b-11e9-8606-7831c1d08f6a,05:48:00,2019-01-01,05:30:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
9536eaa6-7b9b-11e9-a686-7831c1d08f6a,05:53:06,2019-01-01,05:35:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
95376258-7b9b-11e9-98ce-7831c1d08f6a,05:54:00,2019-01-01,05:36:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
9538c48c-7b9b-11e9-8da9-7831c1d08f6a,05:59:06,2019-01-01,05:41:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
9538e5b8-7b9b-11e9-bd36-7831c1d08f6a,06:00:00,2019-01-01,05:42:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
953a5722-7b9b-11e9-9135-7831c1d08f6a,06:05:06,2019-01-01,05:47:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
953a8238-7b9b-11e9-be79-7831c1d08f6a,06:06:00,2019-01-01,05:48:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
953b52e4-7b9b-11e9-8aa2-7831c1d08f6a,06:11:06,2019-01-01,05:53:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
953b7436-7b9b-11e9-9bbd-7831c1d08f6a,06:12:00,2019-01-01,05:54:00,metro52,"['Noord', 'Noorderpark', 'CentraalStation', 'Rokin', 'Vijzelgracht', 'DePijp', 'Europaplein', 'Zuid']"
953c8326-7b9b-11e9-9ee0-7831c1d08f6a,06:17:06,2019-01-01,05:59:06,metro52,"['Zuid', 'Europaplein', 'DePijp', 'Vijzelgracht', 'Rokin', 'CentraalStation', 'Noorderpark', 'Noord']"
