;;;Coordinates;
Canal;Km;Señal;N;E
Punta Indio;48,0;BRL;6159636;6420700
Punta Indio;52,0;BRL;6158226;6425445
Punta Indio;56,0;BVL;6156905;6428708
Punta Indio;56,0;BRL;6157263;6428751
Punta Indio;ZP1;BAmL;6156673;6429130
Punta Indio;ZP2;BAmL;6156416;6431135
Punta Indio;59,0;BVL;6156476;6431570
Punta Indio;60,0;BVL;6156215;6434321
Punta Indio;60,0;BRL;6156573;6434343
Punta Indio;64,6;BVL;6155926;6437070
Punta Indio;64,6;BRL;6156301;6437135
Punta Indio;66,0;BVL;6155311;6439775
Punta Indio;70,0;BVL;6154521;6443180
Punta Indio;73,6;BVL;6153871;6445945
Punta Indio;73,6;BRL;6154241;6446040
Punta Indio;77,0;BRBL;6153070;6449640
Punta Indio;81,0;BRBL;6151106;6454030
Punta Indio;87,0;BRBL;6148021;6458980
Punta Indio;93,0;BRBL;6144756;6464140
Punta Indio;B;BAmL;6144866;6465460
Punta Indio;B1;BAmL;6143510;6464600
Punta Indio;C;BAmL;6143276;6467960
Punta Indio;C1;BAmL;6141931;6467100
Punta Indio;99,2;BRBL;6142006;6468450
Punta Indio;105,0;BRBL;6137716;6472430
Punta Indio;112,7;BRBL;6132839;6476583
Punta Indio;115,1;BVL;6129963;6478748
Punta Indio;118,5;BVL;6127651;6480765
Punta Indio;118,5;BRL;6127906;6481050
Punta Indio;121,0;BVL;6125531;6482620
Punta Indio;121,0;BRL;6125781;6482910
Punta Indio;123,6;BVL;6123536;6484350
Punta Indio;123,6;BRL;6123781;6484640
Punta Indio;126,4;BVL;6121426;6486150
Punta Indio;126,4;BRL;6121666;6486440
Punta Indio;128,1;BVL;6120116;6487250
Punta Indio;128,1;BRL;6120356;6487540
Punta Indio;129,8;BVL;6118866;6488330
Punta Indio;129,8;BRL;6119140;6488600
Punta Indio;133,0;BVL;6116686;6490730
Punta Indio;133,0;BRL;6116965;6490980
Punta Indio;138,0;BVL;6113926;6493810
Punta Indio;138,0;BRL;6114216;6494055
Punta Indio;140,8;BVL;6111711;6496380
Punta Indio;140,8;BRL;6111996;6496630
Punta Indio;143,9;BVL;6109613;6499052
Punta Indio;143,9;BRL;6109916;6499170
Punta Indio;145,0;BVL;6109216;6500280
Punta Indio;145,0;BRL;6109590;6500335
Punta Indio;147,0;BVL;6108991;6501920
Punta Indio;147,0;BRL;6109370;6501960
Punta Indio;150,0;BVL;6108901;6504765
Punta Indio;150,0;BRL;6109286;6504780
Punta Indio;153,0;BVL;6108823;6507406
Punta Indio;153,0;BRL;6109201;6507410
Punta Indio;155,0;BVL;6108811;6510077
Punta Indio;155,0;BRL;6109186;6510080
Punta Indio;158,0;BVL;6108781;6512950
Punta Indio;158,0;BRL;6109161;6512950
Punta Indio;161,0;BVL;6108756;6515790
Punta Indio;161,0;BRL;6109136;6515790
Punta Indio;164,0;BVL;6108636;6518785
Punta Indio;164,0;BRL;6109014;6518790
Punta Indio;166,0;BVL;6108511;6521785
Punta Indio;166,0;BRL;6108891;6521800
Punta Indio;169,0;BVL;6108386;6524786
Punta Indio;169,0;BRL;6108766;6524780
Punta Indio;172,0;BVL;6108396;6526950
Punta Indio;172,0;BRL;6108776;6526945
Punta Indio;174,3;BVL;6108406;6529215
Punta Indio;174,3;BRL;6108786;6529215
Punta Indio;177,0;BVL;6108416;6531450
Punta Indio;177,0;BRL;6108796;6531450
Punta Indio;180,2;BVL;6108426;6534080
Punta Indio;180,2;BRL;6108806;6534080
Punta Indio;Brasil N;BNRNL;6108063;6535463
Punta Indio;Brasil S;BNRNL;6107940;6535471
Punta Indio;182,7;BVL;6108436;6536950
Punta Indio;182,7;BRL;6108810;6536950
Punta Indio;185,6;BVL;6108422;6540053
Punta Indio;185,6;BRL;6108857;6540050
Punta Indio;188,5;BVL;6108421;6543050
Punta Indio;188,5;BRL;6108858;6543050
Punta Indio;191,4;BVL;6108421;6546030
Punta Indio;191,4;BRL;6108866;6546035
Punta Indio;194,4;BVL;6108501;6549760
Punta Indio;194,4;BRL;6108881;6549760
Punta Indio;197,4;BVL;6108590;6553290
Punta Indio;197,4;BRL;6108966;6553275
Punta Indio;201,6;BVL;6108536;6557490
Punta Indio;201,6;BRL;6108916;6557490
Punta Indio;204,4;BVL;6108286;6559510
Punta Indio;204,4;BRL;6108666;6559560
Punta Indio; ChacoE;BNRNL;6108586;6561160
Punta Indio; ChacoO;BNRNL;6108571;6561010
Punta Indio;207,2;BVL;6107946;6562260
Punta Indio;207,2;BRL;6108331;6562280
Punta Indio;210,0;BVL;6108006;6565110
Punta Indio;210,0;BRL;6108386;6565100
Punta Indio;213,0;BVL;6108146;6568150
Punta Indio;213,0;BRL;6108515;6568070
Punta Indio;216,0;BVL;6109231;6570950
Punta Indio;216,0;BRL;6109576;6570800
Punta Indio;220,0;BVL;6110760;6574662
Punta Indio;220,0;BRL;6111106;6574520
Punta Indio;223,5;BVL;6112091;6577900
Punta Indio;223,5;BRL;6112446;6577752
Punta Indio;227,0;BVL;6113426;6581115
Punta Indio;227,0;BRL;6113770;6580970
Punta Indio;230,0;BVL;6114571;6583890
Punta Indio;230,0;BRL;6114916;6583745
Punta Indio;233,0;BVL;6115706;6586650
Punta Indio;233,0;BRL;6116056;6586510
Punta Indio;236,0;BVL;6116830;6589380
Punta Indio;236,0;BRL;6117196;6589280
Punta Indio;239,1;BRBL;6118230;6592300
Punta Indio;239,1;BNRNL;6118201;6592220
Brown;12,0;BVL;6169566;6386650
Brown;12,0;BRL;6169776;6386862
Brown;13,0;BVL;6169376;6387610
Brown;13,0;BRL;6169608;6387640
Brown;14,0;BVL;6169201;6388588
Brown;14,0;BRL;6169438;6388629
Brown;15,0;BVL;6169031;6389570
Brown;15,0;BRL;6169266;6389613
Brown;16,0;BVL;6168854;6390555
Brown;16,0;BRL;6169091;6390595
Brown;17,0;BVL;6168676;6391560
Brown;17,0;BRL;6168902;6391599
Brown;19,0;BVL;6168334;6393500
Brown;19,0;BRL;6168571;6393545
Brown;DORA;BNRNL;6166597;6394762
Brown;DORA;BNRNC;6166503;6394697
Brown;DG7;BNRNL;6168171;6394259
Brown;DG7;BNRNC;6168074;6394240
Brown;20,0;BVL;6168166;6394470
Brown;21,0;BVL;6167981;6395508
Brown;21,0;BRL;6168216;6395550
Brown;22,0;BNRNL;6168066;6396649
Brown;22,0;BNRNC;6168086;6396582
Brown;22,2;BVL;6167766;6396640
Brown;22,2;BRL;6167987;6396733
Brown;242-B;BNRNL;6166046;6396240
Brown;242-B;BNRNC;6165986;6396309
Brown;23,0;BVL;6167461;6397335
Brown;23,0;BRL;6167676;6397440
Brown;25,0;BVL;6166584;6399190
Brown;25,0;BRL;6166801;6399292
Brown;Speranza;BNRNL;6166451;6399998
Brown;Speranza;BNRNC;6166576;6400040
Brown;26,0;BRL;6166386;6400165
Brown;27,0;BVL;6165698;6401045
Brown;27,0;BRL;6165926;6401150
Brown;28,7;BVL;6165115;6402557
Brown;28,7;BRL;6165323;6402627
Brown;31,0;BVL;6164381;6404780
Brown;31,0;BRL;6164611;6404850
Brown;33,0;BVL;6163771;6406670
Brown;33,0;BRL;6164001;6406740
Brown;35,0;BVL;6163156;6408560
Brown;35,0;BRL;6163391;6408630
Brown;35,0;BNRNL;6163460;6408664
Brown;35,0;BNRNC;6163661;6408725
Brown;37,0;BVL;6162511;6410460
Brown;37,0;BRL;6162796;6410550
Emilio Mitre;12,3;BNAmNL;6169836;6386393
Emilio Mitre;12,4;BRL;6170046;6386450
Emilio Mitre;13,6;BVL;6170786;6385450
