Canal;Km;Senal;N;E
Rada exterior;48;BRL;6159636;6420700
Rada exterior;52;BRL;6158226;6425445
Rada exterior;56;BVL;6156905;6428708
Rada exterior;56;BRL;6157263;6428751
Paso Banco Chico;ZP1;BAmL;6156673;6429130
Paso Banco Chico;ZP2;BAmL;6156416;6431135
Paso Banco Chico;59;BVL;6156476;6431570
Paso Banco Chico;60;BVL;6156215;6434321
Paso Banco Chico;60;BRL;6156573;6434343
Paso Banco Chico;64,6;BVL;6155926;6437070
Paso Banco Chico;64,6;BRL;6156301;6437135
Paso Banco Chico;66;BVL;6155311;6439775
Paso Banco Chico;70;BVL;6154521;6443180
Paso Banco Chico;73,6;BVL;6153871;6445945
Paso Banco Chico;73,6;BRL;6154241;6446040
Paso Banco Chico;77;BRBL;6153070;6449640
Intermedio;81;BRBL;6151106;6454030
Intermedio;87;BRBL;6148021;6458980
Intermedio;93;BRBL;6144756;6464140
Intermedio;B;BAmL;6144866;6465460
Intermedio;B1;BAmL;6143510;6464600
Intermedio;C;BAmL;6143276;6467960
Intermedio;C1;BAmL;6141931;6467100
Intermedio;99,2;BRBL;6142006;6468450
Intermedio;105;BRBL;6137716;6472430
Intermedio;112,7;BRBL;6132839;6476583
Intermedio;115,1;BVL;6129963;6478748
Intermedio;118,5;BVL;6127651;6480765
Intermedio;118,5;BRL;6127906;6481050
Punta Indio;121;BVL;6125531;6482620
Punta Indio;121;BRL;6125781;6482910
Punta Indio;123,6;BVL;6123536;6484350
Punta Indio;123,6;BRL;6123781;6484640
Punta Indio;126,4;BVL;6121426;6486150
Punta Indio;126,4;BRL;6121666;6486440
Punta Indio;128,1;BVL;6120116;6487250
Punta Indio;128,1;BRL;6120356;6487540
Punta Indio;129,8;BVL;6118866;6488330
Punta Indio;129,8;BRL;6119140;6488600
Punta Indio;133;BVL;6116686;6490730
Punta Indio;133;BRL;6116965;6490980
Punta Indio;138;BVL;6113926;6493810
Punta Indio;138;BRL;6114216;6494055
Punta Indio;140,8;BVL;6111711;6496380
Punta Indio;140,8;BRL;6111996;6496630
Punta Indio;143,9;BVL;6109613;6499052
Punta Indio;143,9;BRL;6109916;6499170
Punta Indio;145;BVL;6109216;6500280
Punta Indio;145;BRL;6109590;6500335
Punta Indio;147;BVL;6108991;6501920
Punta Indio;147;BRL;6109370;6501960
Punta Indio;150;BVL;6108901;6504765
Punta Indio;150;BRL;6109286;6504780
Punta Indio;153;BVL;6108823;6507406
Punta Indio;153;BRL;6109201;6507410
Punta Indio;155;BVL;6108811;6510077
Punta Indio;155;BRL;6109186;6510080
Punta Indio;158;BVL;6108781;6512950
Punta Indio;158;BRL;6109161;6512950
Punta Indio;161;BVL;6108756;6515790
Punta Indio;161;BRL;6109136;6515790
Punta Indio;164;BVL;6108636;6518785
Punta Indio;164;BRL;6109014;6518790
Punta Indio;166;BVL;6108511;6521785
Punta Indio;166;BRL;6108891;6521800
Punta Indio;169;BVL;6108386;6524786
Punta Indio;169;BRL;6108766;6524780
Punta Indio;172;BVL;6108396;6526950
Punta Indio;172;BRL;6108776;6526945
Punta Indio;174,3;BVL;6108406;6529215
Punta Indio;174,3;BRL;6108786;6529215
Punta Indio;177;BVL;6108416;6531450
Punta Indio;177;BRL;6108796;6531450
Punta Indio;180,2;BVL;6108426;6534080
Punta Indio;180,2;BRL;6108806;6534080
Punta Indio;Brasil N;BNRNL;6108063;6535463
Punta Indio;Brasil S;BNRNL;6107940;6535471
Punta Indio;182,7;BVL;6108436;6536950
Punta Indio;182,7;BRL;6108810;6536950
Punta Indio;185,6;BVL;6108422;6540053
Punta Indio;185,6;BRL;6108857;6540050
Punta Indio;188,5;BVL;6108421;6543050
Punta Indio;188,5;BRL;6108858;6543050
Punta Indio;191,4;BVL;6108421;6546030
Punta Indio;191,4;BRL;6108866;6546035
Punta Indio;194,4;BVL;6108501;6549760
Punta Indio;194,4;BRL;6108881;6549760
Punta Indio;197,4;BVL;6108590;6553290
Punta Indio;197,4;BRL;6108966;6553275
Punta Indio;201,6;BVL;6108536;6557490
Punta Indio;201,6;BRL;6108916;6557490
Punta Indio;204,4;BVL;6108286;6559510
Punta Indio;204,4;BRL;6108666;6559560
Punta Indio; ChacoE;BNRNL;6108586;6561160
Punta Indio; ChacoO;BNRNL;6108571;6561010
Punta Indio;207,2;BVL;6107946;6562260
Punta Indio;207,2;BRL;6108331;6562280
Punta Indio;210;BVL;6108006;6565110
Punta Indio;210;BRL;6108386;6565100
