MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD;LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;LAT;LON;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE;PROCES_TYPE
"";Sas van Gent, grens;sasvangent.grens;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;07-01-2026;11:15:00;;5.39;5.39;00;2026000168#710VP002'T0001735771#003;;;Ongecontroleerd;RIZAMON_LAN;;;Emmer;33;-30;WATSGL;ETRS89;51.210291;3.802218;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:00:00;;7.1;7.1;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:00:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:10:00;;7.3;7.3;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:10:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:20:00;;7.1;7.1;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:20:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:30:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:30:00;;7.0;7;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;-450;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
"";Terneuzen, Sluiskilbrug;terneuzen.sluiskilbrug;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;Rek. gem. watertemperatuur over vorige 5 en volgende 5 min.;other:F077;Steekbemonstering;SB;01-01-2026;00:40:00;;6.9;6.9;00;;;;Ongecontroleerd;ZLXXREG_ZEGE;other:NKE Smart Conductivity + Temperature (CT) sensor;10298;;;25;NAP;ETRS89;51.294;3.8354;;;;;;;;meting
