MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Geulhaven Radarpost 10;RP10;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;01-01-2026;00:00:00;;120;;Normale waarde;;;;Ongecontroleerd;LMW_WATERSTANDEN;Vlotter;127;;;;;-999999999;NVT;25831;590321,143000125;5749819,65457646;;;;;;;
;Geulhaven Radarpost 10;RP10;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;01-01-2026;00:10:00;;124;;Normale waarde;;;;Ongecontroleerd;LMW_WATERSTANDEN;Vlotter;127;;;;;-999999999;NVT;25831;590321,143000125;5749819,65457646;;;;;;;
;Geulhaven Radarpost 10;RP10;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;01-01-2026;00:20:00;;127;;Normale waarde;;;;Ongecontroleerd;LMW_WATERSTANDEN;Vlotter;127;;;;;-999999999;NVT;25831;590321,143000125;5749819,65457646;;;;;;;
;Geulhaven Radarpost 10;RP10;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;01-01-2026;00:30:00;;131;;Normale waarde;;;;Ongecontroleerd;LMW_WATERSTANDEN;Vlotter;127;;;;;-999999999;NVT;25831;590321,143000125;5749819,65457646;;;;;;;
;Geulhaven Radarpost 10;RP10;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;01-01-2026;00:40:00;;136;;Normale waarde;;;;Ongecontroleerd;LMW_WATERSTANDEN;Vlotter;127;;;;;-999999999;NVT;25831;590321,143000125;5749819,65457646;;;;;;;
;Geulhaven Radarpost 10;RP10;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;01-01-2026;00:50:00;;137;;Normale waarde;;;;Ongecontroleerd;LMW_WATERSTANDEN;Vlotter;127;;;;;-999999999;NVT;25831;590321,143000125;5749819,65457646;;;;;;;
;Geulhaven Radarpost 10;RP10;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;01-01-2026;01:00:00;;138;;Normale waarde;;;;Ongecontroleerd;LMW_WATERSTANDEN;Vlotter;127;;;;;-999999999;NVT;25831;590321,143000125;5749819,65457646;;;;;;;
;Geulhaven Radarpost 10;RP10;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;01-01-2026;01:10:00;;139;;Normale waarde;;;;Ongecontroleerd;LMW_WATERSTANDEN;Vlotter;127;;;;;-999999999;NVT;25831;590321,143000125;5749819,65457646;;;;;;;
;Geulhaven Radarpost 10;RP10;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;01-01-2026;01:20:00;;138;;Normale waarde;;;;Ongecontroleerd;LMW_WATERSTANDEN;Vlotter;127;;;;;-999999999;NVT;25831;590321,143000125;5749819,65457646;;;;;;;
;Geulhaven Radarpost 10;RP10;;;Waterhoogte;WATHTE;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Rekenkundig gemiddelde waarde over vorige 5 en volgende 5 minuten;other:F007;Steekbemonstering;SB;01-01-2026;01:30:00;;136;;Normale waarde;;;;Ongecontroleerd;LMW_WATERSTANDEN;Vlotter;127;;;;;-999999999;NVT;25831;590321,143000125;5749819,65457646;;;;;;;
