date and time,angle of horizontal velocity (station) (radians) - 6e Pet Beerkanaal - layer 4
2014-05-12 00:00:00,       0.466992
2014-05-12 00:10:00,        3.49224
2014-05-12 00:20:00,        3.10702
2014-05-12 00:30:00,        3.45047
2014-05-12 00:40:00,        3.24345
2014-05-12 00:50:00,         3.1789
2014-05-12 01:00:00,        3.16726
2014-05-12 01:10:00,        3.73249
2014-05-12 01:20:00,        3.35102
2014-05-12 01:30:00,        3.59319
2014-05-12 01:40:00,        5.05884
2014-05-12 01:50:00,        5.82398
2014-05-12 02:00:00,        6.08449
2014-05-12 02:10:00,      0.0860522
2014-05-12 02:20:00,       0.615445
2014-05-12 02:30:00,      0.0907326
2014-05-12 02:40:00,       0.236569
2014-05-12 02:50:00,         2.5996
2014-05-12 03:00:00,       0.431643
2014-05-12 03:10:00,        3.20983
2014-05-12 03:20:00,        3.86494
2014-05-12 03:30:00,        4.94873
2014-05-12 03:40:00,        5.56602
2014-05-12 03:50:00,        5.76939
2014-05-12 04:00:00,            6.2
2014-05-12 04:10:00,       0.114808
2014-05-12 04:20:00,       0.156164
2014-05-12 04:30:00,        6.16337
2014-05-12 04:40:00,        5.78005
2014-05-12 04:50:00,        5.49751
2014-05-12 05:00:00,        5.90058
2014-05-12 05:10:00,        5.24013
2014-05-12 05:20:00,        5.50036
2014-05-12 05:30:00,       0.661886
2014-05-12 05:40:00,        1.79259
2014-05-12 05:50:00,        2.33676
2014-05-12 06:00:00,        1.79798
2014-05-12 06:10:00,        2.15984
2014-05-12 06:20:00,        2.82227
2014-05-12 06:30:00,        2.61237
2014-05-12 06:40:00,        2.80178
2014-05-12 06:50:00,        3.07805
2014-05-12 07:00:00,        2.79106
2014-05-12 07:10:00,        3.05899
2014-05-12 07:20:00,        3.21461
2014-05-12 07:30:00,        3.30271
2014-05-12 07:40:00,        3.56802
2014-05-12 07:50:00,        3.66196
2014-05-12 08:00:00,        4.06514
2014-05-12 08:10:00,        4.14196
2014-05-12 08:20:00,        3.65588
2014-05-12 08:30:00,         3.1816
2014-05-12 08:40:00,        2.79328
2014-05-12 08:50:00,        2.86092
2014-05-12 09:00:00,        2.96788
2014-05-12 09:10:00,        2.99993
2014-05-12 09:20:00,        3.08845
2014-05-12 09:30:00,        3.16268
2014-05-12 09:40:00,        3.23216
2014-05-12 09:50:00,        3.34006
2014-05-12 10:00:00,        3.42104
2014-05-12 10:10:00,        3.40174
2014-05-12 10:20:00,        3.40387
2014-05-12 10:30:00,        3.44527
2014-05-12 10:40:00,        3.40184
2014-05-12 10:50:00,        3.35271
2014-05-12 11:00:00,        3.16772
2014-05-12 11:10:00,        3.12343
2014-05-12 11:20:00,        3.18622
2014-05-12 11:30:00,        3.14329
2014-05-12 11:40:00,         3.0634
2014-05-12 11:50:00,        3.23335
2014-05-12 12:00:00,        3.36328
2014-05-12 12:10:00,         3.1722
2014-05-12 12:20:00,        2.94625
2014-05-12 12:30:00,        2.86015
2014-05-12 12:40:00,        2.92521
2014-05-12 12:50:00,        3.00523
2014-05-12 13:00:00,        2.84396
2014-05-12 13:10:00,        2.41225
2014-05-12 13:20:00,        2.18886
2014-05-12 13:30:00,        2.38519
2014-05-12 13:40:00,        2.79515
2014-05-12 13:50:00,        3.16302
2014-05-12 14:00:00,        3.44218
2014-05-12 14:10:00,        3.63632
2014-05-12 14:20:00,        3.97309
2014-05-12 14:30:00,        4.51394
2014-05-12 14:40:00,        4.81906
2014-05-12 14:50:00,        5.12742
2014-05-12 15:00:00,        5.24277
2014-05-12 15:10:00,        5.32338
2014-05-12 15:20:00,        5.59902
2014-05-12 15:30:00,        5.77503
2014-05-12 15:40:00,        5.73436
2014-05-12 15:50:00,        5.61023
2014-05-12 16:00:00,        5.54298
2014-05-12 16:10:00,        5.50681
2014-05-12 16:20:00,         5.4441
2014-05-12 16:30:00,        5.30451
2014-05-12 16:40:00,        5.10663
2014-05-12 16:50:00,        4.95376
2014-05-12 17:00:00,        4.81061
2014-05-12 17:10:00,        4.70858
2014-05-12 17:20:00,        4.65992
2014-05-12 17:30:00,        4.72889
2014-05-12 17:40:00,        4.60297
2014-05-12 17:50:00,        4.25249
2014-05-12 18:00:00,        4.00413
2014-05-12 18:10:00,        3.85068
2014-05-12 18:20:00,        3.69955
2014-05-12 18:30:00,        3.48394
2014-05-12 18:40:00,        3.27681
2014-05-12 18:50:00,        3.08756
2014-05-12 19:00:00,        3.05806
2014-05-12 19:10:00,        3.13985
2014-05-12 19:20:00,         3.2005
2014-05-12 19:30:00,        3.28423
2014-05-12 19:40:00,        3.37352
2014-05-12 19:50:00,        3.49144
2014-05-12 20:00:00,        3.61312
2014-05-12 20:10:00,        3.69463
2014-05-12 20:20:00,        3.72687
2014-05-12 20:30:00,        3.60293
2014-05-12 20:40:00,        3.50322
2014-05-12 20:50:00,        3.33722
2014-05-12 21:00:00,         3.1906
2014-05-12 21:10:00,        3.13293
2014-05-12 21:20:00,        3.10287
2014-05-12 21:30:00,        3.07539
2014-05-12 21:40:00,        3.03777
2014-05-12 21:50:00,        3.04272
2014-05-12 22:00:00,        3.07376
2014-05-12 22:10:00,        3.10345
2014-05-12 22:20:00,        3.13976
2014-05-12 22:30:00,        3.16798
2014-05-12 22:40:00,        3.16503
2014-05-12 22:50:00,        3.11725
2014-05-12 23:00:00,         2.9963
2014-05-12 23:10:00,         2.7925
2014-05-12 23:20:00,        2.66033
2014-05-12 23:30:00,        2.55283
2014-05-12 23:40:00,        2.52577
2014-05-12 23:50:00,        2.69311
2014-05-13 00:00:00,        2.85458
2014-05-13 00:10:00,        3.02929
2014-05-13 00:20:00,        3.12353
2014-05-13 00:30:00,        3.08556
2014-05-13 00:40:00,        3.38213
2014-05-13 00:50:00,        3.46147
2014-05-13 01:00:00,        3.40786
2014-05-13 01:10:00,        3.23277
2014-05-13 01:20:00,        2.92488
2014-05-13 01:30:00,        3.01792
2014-05-13 01:40:00,        3.17867
2014-05-13 01:50:00,        3.21628
2014-05-13 02:00:00,        3.34521
2014-05-13 02:10:00,        3.74892
2014-05-13 02:20:00,        4.11818
2014-05-13 02:30:00,        4.38257
2014-05-13 02:40:00,        4.51011
2014-05-13 02:50:00,        4.62642
2014-05-13 03:00:00,        4.83919
