date and time,magnitude of horizontal velocity (station) (m/s) - 6e Pet Beerkanaal - layer 4
2014-05-12 00:00:00,      0.0381906
2014-05-12 00:10:00,      0.0448912
2014-05-12 00:20:00,       0.120006
2014-05-12 00:30:00,      0.0307853
2014-05-12 00:40:00,       0.172956
2014-05-12 00:50:00,       0.454116
2014-05-12 01:00:00,       0.106505
2014-05-12 01:10:00,       0.073882
2014-05-12 01:20:00,       0.389346
2014-05-12 01:30:00,       0.533235
2014-05-12 01:40:00,        0.14814
2014-05-12 01:50:00,       0.257249
2014-05-12 02:00:00,       0.204351
2014-05-12 02:10:00,       0.267577
2014-05-12 02:20:00,       0.130734
2014-05-12 02:30:00,       0.272316
2014-05-12 02:40:00,       0.179569
2014-05-12 02:50:00,      0.0822853
2014-05-12 03:00:00,      0.0174451
2014-05-12 03:10:00,      0.0223715
2014-05-12 03:20:00,      0.0380025
2014-05-12 03:30:00,      0.0270071
2014-05-12 03:40:00,      0.0525974
2014-05-12 03:50:00,      0.0907073
2014-05-12 04:00:00,       0.212635
2014-05-12 04:10:00,       0.220974
2014-05-12 04:20:00,       0.110595
2014-05-12 04:30:00,       0.247823
2014-05-12 04:40:00,       0.145315
2014-05-12 04:50:00,      0.0710412
2014-05-12 05:00:00,      0.0895958
2014-05-12 05:10:00,      0.0793628
2014-05-12 05:20:00,      0.0343635
2014-05-12 05:30:00,      0.0291039
2014-05-12 05:40:00,      0.0408817
2014-05-12 05:50:00,      0.0708766
2014-05-12 06:00:00,      0.0397291
2014-05-12 06:10:00,      0.0253292
2014-05-12 06:20:00,      0.0819741
2014-05-12 06:30:00,      0.0633118
2014-05-12 06:40:00,      0.0745386
2014-05-12 06:50:00,      0.0658896
2014-05-12 07:00:00,      0.0456742
2014-05-12 07:10:00,      0.0998097
2014-05-12 07:20:00,        0.12713
2014-05-12 07:30:00,        0.11116
2014-05-12 07:40:00,       0.082315
2014-05-12 07:50:00,      0.0804623
2014-05-12 08:00:00,      0.0521713
2014-05-12 08:10:00,      0.0486662
2014-05-12 08:20:00,      0.0560155
2014-05-12 08:30:00,      0.0340055
2014-05-12 08:40:00,      0.0782555
2014-05-12 08:50:00,       0.112499
2014-05-12 09:00:00,       0.115183
2014-05-12 09:10:00,       0.129545
2014-05-12 09:20:00,       0.149904
2014-05-12 09:30:00,         0.1362
2014-05-12 09:40:00,       0.117924
2014-05-12 09:50:00,       0.134505
2014-05-12 10:00:00,        0.14749
2014-05-12 10:10:00,        0.17515
2014-05-12 10:20:00,       0.204172
2014-05-12 10:30:00,       0.214198
2014-05-12 10:40:00,       0.241804
2014-05-12 10:50:00,       0.246426
2014-05-12 11:00:00,       0.196126
2014-05-12 11:10:00,       0.187122
2014-05-12 11:20:00,       0.204043
2014-05-12 11:30:00,       0.205156
2014-05-12 11:40:00,       0.219419
2014-05-12 11:50:00,       0.264507
2014-05-12 12:00:00,       0.259514
2014-05-12 12:10:00,        0.20859
2014-05-12 12:20:00,       0.178401
2014-05-12 12:30:00,       0.163014
2014-05-12 12:40:00,         0.1684
2014-05-12 12:50:00,       0.156069
2014-05-12 13:00:00,       0.130162
2014-05-12 13:10:00,       0.129451
2014-05-12 13:20:00,       0.133138
2014-05-12 13:30:00,       0.116613
2014-05-12 13:40:00,       0.126799
2014-05-12 13:50:00,       0.139756
2014-05-12 14:00:00,       0.127602
2014-05-12 14:10:00,       0.116117
2014-05-12 14:20:00,      0.0875165
2014-05-12 14:30:00,      0.0746328
2014-05-12 14:40:00,      0.0760251
2014-05-12 14:50:00,       0.087786
2014-05-12 15:00:00,       0.133768
2014-05-12 15:10:00,       0.202835
2014-05-12 15:20:00,       0.213107
2014-05-12 15:30:00,       0.195044
2014-05-12 15:40:00,        0.16844
2014-05-12 15:50:00,       0.159617
2014-05-12 16:00:00,       0.157754
2014-05-12 16:10:00,       0.159138
2014-05-12 16:20:00,       0.168206
2014-05-12 16:30:00,       0.166451
2014-05-12 16:40:00,        0.16561
2014-05-12 16:50:00,       0.164414
2014-05-12 17:00:00,       0.148436
2014-05-12 17:10:00,       0.124367
2014-05-12 17:20:00,       0.095997
2014-05-12 17:30:00,      0.0659979
2014-05-12 17:40:00,      0.0563211
2014-05-12 17:50:00,      0.0748602
2014-05-12 18:00:00,       0.101334
2014-05-12 18:10:00,       0.110864
2014-05-12 18:20:00,       0.109369
2014-05-12 18:30:00,       0.116936
2014-05-12 18:40:00,       0.121719
2014-05-12 18:50:00,       0.125601
2014-05-12 19:00:00,       0.135122
2014-05-12 19:10:00,       0.153232
2014-05-12 19:20:00,       0.169189
2014-05-12 19:30:00,       0.171634
2014-05-12 19:40:00,       0.155487
2014-05-12 19:50:00,       0.129173
2014-05-12 20:00:00,       0.107062
2014-05-12 20:10:00,      0.0926461
2014-05-12 20:20:00,      0.0837673
2014-05-12 20:30:00,      0.0906498
2014-05-12 20:40:00,       0.106663
2014-05-12 20:50:00,       0.118998
2014-05-12 21:00:00,       0.131516
2014-05-12 21:10:00,       0.134843
2014-05-12 21:20:00,       0.129739
2014-05-12 21:30:00,       0.135439
2014-05-12 21:40:00,       0.151005
2014-05-12 21:50:00,       0.174359
2014-05-12 22:00:00,       0.194761
2014-05-12 22:10:00,       0.203693
2014-05-12 22:20:00,       0.196497
2014-05-12 22:30:00,         0.1848
2014-05-12 22:40:00,       0.182324
2014-05-12 22:50:00,       0.196234
2014-05-12 23:00:00,       0.196419
2014-05-12 23:10:00,       0.179295
2014-05-12 23:20:00,       0.172981
2014-05-12 23:30:00,       0.183349
