date and time,angle of horizontal velocity (station) (radians) - OM   zandoverslag - layer 4
2014-05-12 00:00:00,        6.11334
2014-05-12 00:10:00,          5.956
2014-05-12 00:20:00,         5.9774
2014-05-12 00:30:00,        5.97275
2014-05-12 00:40:00,        5.95414
2014-05-12 00:50:00,        5.99083
2014-05-12 01:00:00,        5.97676
2014-05-12 01:10:00,        5.94007
2014-05-12 01:20:00,        2.89908
2014-05-12 01:30:00,        2.87867
2014-05-12 01:40:00,        1.82892
2014-05-12 01:50:00,        1.87134
2014-05-12 02:00:00,        2.54976
2014-05-12 02:10:00,        2.42973
2014-05-12 02:20:00,         1.5493
2014-05-12 02:30:00,        2.29918
2014-05-12 02:40:00,        2.79963
2014-05-12 02:50:00,        2.87741
2014-05-12 03:00:00,        2.68802
2014-05-12 03:10:00,        2.40504
2014-05-12 03:20:00,        2.64393
2014-05-12 03:30:00,        2.82963
2014-05-12 03:40:00,        2.77195
2014-05-12 03:50:00,        2.71529
2014-05-12 04:00:00,        2.85402
2014-05-12 04:10:00,         5.5492
2014-05-12 04:20:00,        6.06519
2014-05-12 04:30:00,        5.99778
2014-05-12 04:40:00,        6.07295
2014-05-12 04:50:00,        5.98174
2014-05-12 05:00:00,        5.96584
2014-05-12 05:10:00,        5.98185
2014-05-12 05:20:00,        5.97858
2014-05-12 05:30:00,        5.90176
2014-05-12 05:40:00,        5.88834
2014-05-12 05:50:00,        5.93215
2014-05-12 06:00:00,        5.93873
2014-05-12 06:10:00,        5.92371
2014-05-12 06:20:00,        5.90321
2014-05-12 06:30:00,        5.87019
2014-05-12 06:40:00,        5.87293
2014-05-12 06:50:00,        5.92443
2014-05-12 07:00:00,        5.96128
2014-05-12 07:10:00,        5.99375
2014-05-12 07:20:00,        6.00535
2014-05-12 07:30:00,        5.99755
2014-05-12 07:40:00,         6.0063
2014-05-12 07:50:00,        5.98824
2014-05-12 08:00:00,        5.99209
2014-05-12 08:10:00,        5.99575
2014-05-12 08:20:00,        5.99547
2014-05-12 08:30:00,        5.99614
2014-05-12 08:40:00,        5.99552
2014-05-12 08:50:00,        5.99329
2014-05-12 09:00:00,        5.99415
2014-05-12 09:10:00,        5.99657
2014-05-12 09:20:00,        5.99658
2014-05-12 09:30:00,        5.99512
2014-05-12 09:40:00,        5.99479
2014-05-12 09:50:00,        5.99532
2014-05-12 10:00:00,        5.99546
2014-05-12 10:10:00,        5.99533
2014-05-12 10:20:00,        5.99529
2014-05-12 10:30:00,        5.99555
2014-05-12 10:40:00,        5.99576
2014-05-12 10:50:00,        5.99562
2014-05-12 11:00:00,        5.99505
2014-05-12 11:10:00,         5.9949
2014-05-12 11:20:00,        5.99524
2014-05-12 11:30:00,        5.99583
2014-05-12 11:40:00,         5.9967
2014-05-12 11:50:00,        5.99824
2014-05-12 12:00:00,        6.00123
2014-05-12 12:10:00,        6.00874
2014-05-12 12:20:00,        6.09084
2014-05-12 12:30:00,        2.84231
2014-05-12 12:40:00,        2.85398
2014-05-12 12:50:00,        2.73533
2014-05-12 13:00:00,         2.7184
2014-05-12 13:10:00,        2.73058
2014-05-12 13:20:00,        2.76619
2014-05-12 13:30:00,        2.90746
2014-05-12 13:40:00,        2.94412
2014-05-12 13:50:00,        2.87634
2014-05-12 14:00:00,        2.99772
2014-05-12 14:10:00,        3.02372
2014-05-12 14:20:00,        3.03428
2014-05-12 14:30:00,         2.9105
2014-05-12 14:40:00,        2.86134
2014-05-12 14:50:00,        2.87144
2014-05-12 15:00:00,        2.86201
2014-05-12 15:10:00,         2.8349
2014-05-12 15:20:00,        2.85261
2014-05-12 15:30:00,        2.87775
2014-05-12 15:40:00,         2.8891
2014-05-12 15:50:00,        2.87438
2014-05-12 16:00:00,        2.84479
2014-05-12 16:10:00,        2.82134
2014-05-12 16:20:00,        2.67527
2014-05-12 16:30:00,         2.6393
