date and time,magnitude of horizontal velocity (station) (m/s) - OM   zandoverslag - layer 4
2014-05-12 00:00:00,       0.421099
2014-05-12 00:10:00,        0.45763
2014-05-12 00:20:00,        0.51104
2014-05-12 00:30:00,        0.41497
2014-05-12 00:40:00,       0.359795
2014-05-12 00:50:00,       0.376641
2014-05-12 01:00:00,       0.459212
2014-05-12 01:10:00,       0.143988
2014-05-12 01:20:00,       0.132204
2014-05-12 01:30:00,       0.424781
2014-05-12 01:40:00,      0.0657932
2014-05-12 01:50:00,       0.041243
2014-05-12 02:00:00,       0.111308
2014-05-12 02:10:00,       0.143099
2014-05-12 02:20:00,      0.0505127
2014-05-12 02:30:00,       0.100163
2014-05-12 02:40:00,       0.215897
2014-05-12 02:50:00,       0.259846
2014-05-12 03:00:00,       0.241052
2014-05-12 03:10:00,       0.145494
2014-05-12 03:20:00,       0.145111
2014-05-12 03:30:00,       0.236257
2014-05-12 03:40:00,        0.21196
2014-05-12 03:50:00,        0.19439
2014-05-12 04:00:00,      0.0473406
2014-05-12 04:10:00,      0.0925896
2014-05-12 04:20:00,       0.153001
2014-05-12 04:30:00,       0.210295
2014-05-12 04:40:00,       0.282268
2014-05-12 04:50:00,        0.30769
2014-05-12 05:00:00,       0.284589
2014-05-12 05:10:00,       0.344365
2014-05-12 05:20:00,         0.5153
2014-05-12 05:30:00,       0.624786
2014-05-12 05:40:00,       0.666108
2014-05-12 05:50:00,       0.791928
2014-05-12 06:00:00,       0.879021
2014-05-12 06:10:00,       0.979899
2014-05-12 06:20:00,       0.989466
2014-05-12 06:30:00,        1.00686
2014-05-12 06:40:00,         1.0169
2014-05-12 06:50:00,         1.0991
2014-05-12 07:00:00,         1.1002
2014-05-12 07:10:00,        1.02352
2014-05-12 07:20:00,        0.97781
2014-05-12 07:30:00,       0.857021
2014-05-12 07:40:00,       0.817728
2014-05-12 07:50:00,       0.808995
2014-05-12 08:00:00,       0.838334
2014-05-12 08:10:00,       0.879041
2014-05-12 08:20:00,       0.890858
2014-05-12 08:30:00,        0.86133
2014-05-12 08:40:00,        0.85593
2014-05-12 08:50:00,       0.847997
2014-05-12 09:00:00,       0.852669
2014-05-12 09:10:00,       0.853515
2014-05-12 09:20:00,       0.857536
2014-05-12 09:30:00,       0.850705
2014-05-12 09:40:00,       0.839037
2014-05-12 09:50:00,       0.826449
2014-05-12 10:00:00,       0.804544
2014-05-12 10:10:00,       0.788806
2014-05-12 10:20:00,       0.779889
2014-05-12 10:30:00,       0.772285
2014-05-12 10:40:00,       0.745778
2014-05-12 10:50:00,       0.710559
2014-05-12 11:00:00,       0.653679
2014-05-12 11:10:00,       0.591192
2014-05-12 11:20:00,       0.523057
2014-05-12 11:30:00,       0.447644
2014-05-12 11:40:00,       0.374183
2014-05-12 11:50:00,       0.308628
2014-05-12 12:00:00,       0.226844
2014-05-12 12:10:00,       0.122809
2014-05-12 12:20:00,      0.0148186
2014-05-12 12:30:00,      0.0916833
2014-05-12 12:40:00,       0.200372
2014-05-12 12:50:00,       0.185093
2014-05-12 13:00:00,       0.251887
2014-05-12 13:10:00,       0.321196
2014-05-12 13:20:00,       0.447726
2014-05-12 13:30:00,       0.586939
2014-05-12 13:40:00,       0.742468
2014-05-12 13:50:00,       0.728705
2014-05-12 14:00:00,        0.89831
2014-05-12 14:10:00,       0.885419
2014-05-12 14:20:00,       0.823382
2014-05-12 14:30:00,       0.867725
2014-05-12 14:40:00,       0.856484
2014-05-12 14:50:00,       0.814091
2014-05-12 15:00:00,        0.82755
2014-05-12 15:10:00,       0.829348
2014-05-12 15:20:00,       0.801257
2014-05-12 15:30:00,        0.74461
2014-05-12 15:40:00,         0.6915
2014-05-12 15:50:00,       0.648427
2014-05-12 16:00:00,       0.595648
2014-05-12 16:10:00,       0.533772
2014-05-12 16:20:00,       0.447025
2014-05-12 16:30:00,       0.390688
2014-05-12 16:40:00,        0.34641
2014-05-12 16:50:00,       0.265448
2014-05-12 17:00:00,       0.217321
2014-05-12 17:10:00,       0.127188
2014-05-12 17:20:00,      0.0396069
2014-05-12 17:30:00,      0.0611031
2014-05-12 17:40:00,       0.183097
2014-05-12 17:50:00,       0.273513
2014-05-12 18:00:00,       0.360122
2014-05-12 18:10:00,       0.545248
2014-05-12 18:20:00,        0.57909
2014-05-12 18:30:00,       0.579926
2014-05-12 18:40:00,       0.677888
2014-05-12 18:50:00,       0.915998
2014-05-12 19:00:00,       0.993994
2014-05-12 19:10:00,       0.958387
2014-05-12 19:20:00,       0.959356
2014-05-12 19:30:00,       0.946866
2014-05-12 19:40:00,        0.92081
2014-05-12 19:50:00,       0.961191
2014-05-12 20:00:00,       0.948782
2014-05-12 20:10:00,       0.885567
2014-05-12 20:20:00,       0.845613
2014-05-12 20:30:00,         0.8637
2014-05-12 20:40:00,       0.902382
2014-05-12 20:50:00,       0.902675
2014-05-12 21:00:00,       0.891824
2014-05-12 21:10:00,       0.875405
2014-05-12 21:20:00,       0.879338
2014-05-12 21:30:00,       0.888145
2014-05-12 21:40:00,       0.881245
2014-05-12 21:50:00,       0.867634
2014-05-12 22:00:00,        0.86639
2014-05-12 22:10:00,       0.870762
2014-05-12 22:20:00,       0.870091
2014-05-12 22:30:00,        0.86349
2014-05-12 22:40:00,       0.853777
2014-05-12 22:50:00,       0.835658
2014-05-12 23:00:00,       0.811239
2014-05-12 23:10:00,        0.78091
2014-05-12 23:20:00,        0.74287
2014-05-12 23:30:00,       0.697111
2014-05-12 23:40:00,       0.642054
2014-05-12 23:50:00,        0.57683
2014-05-13 00:00:00,       0.504247
2014-05-13 00:10:00,       0.426126
2014-05-13 00:20:00,        0.34476
2014-05-13 00:30:00,       0.260728
2014-05-13 00:40:00,       0.160457
2014-05-13 00:50:00,      0.0547684
2014-05-13 01:00:00,      0.0540971
2014-05-13 01:10:00,       0.164169
2014-05-13 01:20:00,       0.285966
2014-05-13 01:30:00,       0.190723
2014-05-13 01:40:00,       0.280339
2014-05-13 01:50:00,       0.373844
2014-05-13 02:00:00,       0.484223
2014-05-13 02:10:00,       0.570389
2014-05-13 02:20:00,       0.637598
2014-05-13 02:30:00,       0.688965
2014-05-13 02:40:00,       0.740591
2014-05-13 02:50:00,       0.829684
2014-05-13 03:00:00,       0.829547
2014-05-13 03:10:00,       0.740396
2014-05-13 03:20:00,       0.732584
2014-05-13 03:30:00,       0.749544
2014-05-13 03:40:00,       0.694576
2014-05-13 03:50:00,       0.666226
2014-05-13 04:00:00,       0.633946
2014-05-13 04:10:00,       0.588502
2014-05-13 04:20:00,       0.539303
2014-05-13 04:30:00,       0.480652
2014-05-13 04:40:00,       0.412569
2014-05-13 04:50:00,       0.372068
2014-05-13 05:00:00,       0.316732
2014-05-13 05:10:00,       0.237932
2014-05-13 05:20:00,       0.157898
2014-05-13 05:30:00,      0.0670593
2014-05-13 05:40:00,       0.025418
2014-05-13 05:50:00,       0.121174
2014-05-13 06:00:00,       0.190649
2014-05-13 06:10:00,       0.295864
2014-05-13 06:20:00,       0.522549
2014-05-13 06:30:00,       0.536946
2014-05-13 06:40:00,       0.652665
2014-05-13 06:50:00,       0.782515
2014-05-13 07:00:00,       0.861618
2014-05-13 07:10:00,       0.812937
2014-05-13 07:20:00,       0.899643
2014-05-13 07:30:00,       0.948866
2014-05-13 07:40:00,       0.903722
2014-05-13 07:50:00,        0.89137
2014-05-13 08:00:00,       0.899179
2014-05-13 08:10:00,       0.858111
2014-05-13 08:20:00,       0.829725
2014-05-13 08:30:00,       0.848516
2014-05-13 08:40:00,       0.805671
2014-05-13 08:50:00,       0.802924
2014-05-13 09:00:00,       0.840663
2014-05-13 09:10:00,       0.855363
2014-05-13 09:20:00,       0.851078
2014-05-13 09:30:00,       0.818837
2014-05-13 09:40:00,        0.80907
2014-05-13 09:50:00,       0.824019
2014-05-13 10:00:00,       0.815616
2014-05-13 10:10:00,       0.799709
2014-05-13 10:20:00,       0.795362
2014-05-13 10:30:00,       0.799293
2014-05-13 10:40:00,       0.799443
2014-05-13 10:50:00,       0.790593
2014-05-13 11:00:00,       0.774417
2014-05-13 11:10:00,       0.755112
2014-05-13 11:20:00,       0.729284
2014-05-13 11:30:00,       0.697322
2014-05-13 11:40:00,       0.653927
2014-05-13 11:50:00,       0.601405
2014-05-13 12:00:00,       0.538538
2014-05-13 12:10:00,       0.467482
2014-05-13 12:20:00,       0.386766
2014-05-13 12:30:00,       0.300737
2014-05-13 12:40:00,       0.212011
2014-05-13 12:50:00,        0.11409
2014-05-13 13:00:00,     0.00156005
2014-05-13 13:10:00,       0.121418
2014-05-13 13:20:00,       0.251429
2014-05-13 13:30:00,       0.281728
2014-05-13 13:40:00,       0.323817
2014-05-13 13:50:00,       0.414086
2014-05-13 14:00:00,       0.545387
2014-05-13 14:10:00,       0.735315
2014-05-13 14:20:00,       0.796552
2014-05-13 14:30:00,       0.950167
2014-05-13 14:40:00,       0.948384
2014-05-13 14:50:00,       0.912576
2014-05-13 15:00:00,       0.976479
2014-05-13 15:10:00,        1.04156
2014-05-13 15:20:00,        1.01563
2014-05-13 15:30:00,        1.02221
2014-05-13 15:40:00,       0.940785
2014-05-13 15:50:00,        0.82794
2014-05-13 16:00:00,       0.764464
2014-05-13 16:10:00,       0.838598
2014-05-13 16:20:00,       0.738538
2014-05-13 16:30:00,       0.662601
2014-05-13 16:40:00,       0.648503
2014-05-13 16:50:00,       0.592278
2014-05-13 17:00:00,       0.488641
2014-05-13 17:10:00,       0.436761
2014-05-13 17:20:00,       0.386558
2014-05-13 17:30:00,       0.290036
2014-05-13 17:40:00,       0.228808
2014-05-13 17:50:00,         0.1415
2014-05-13 18:00:00,      0.0592178
2014-05-13 18:10:00,      0.0288135
2014-05-13 18:20:00,       0.115563
2014-05-13 18:30:00,       0.250402
2014-05-13 18:40:00,       0.315549
2014-05-13 18:50:00,       0.459788
2014-05-13 19:00:00,       0.510876
2014-05-13 19:10:00,       0.596268
2014-05-13 19:20:00,       0.690842
2014-05-13 19:30:00,       0.740593
2014-05-13 19:40:00,       0.731749
2014-05-13 19:50:00,       0.893942
2014-05-13 20:00:00,        1.01218
2014-05-13 20:10:00,        0.93047
2014-05-13 20:20:00,       0.940996
2014-05-13 20:30:00,        0.93185
2014-05-13 20:40:00,       0.877986
2014-05-13 20:50:00,       0.886313
2014-05-13 21:00:00,       0.939768
2014-05-13 21:10:00,       0.889191
2014-05-13 21:20:00,       0.826484
2014-05-13 21:30:00,       0.853269
2014-05-13 21:40:00,       0.887032
2014-05-13 21:50:00,       0.903505
2014-05-13 22:00:00,       0.892541
2014-05-13 22:10:00,        0.86536
2014-05-13 22:20:00,       0.848021
2014-05-13 22:30:00,       0.843127
2014-05-13 22:40:00,       0.858424
2014-05-13 22:50:00,       0.848435
2014-05-13 23:00:00,       0.836793
2014-05-13 23:10:00,       0.831915
2014-05-13 23:20:00,       0.829272
2014-05-13 23:30:00,       0.820243
2014-05-13 23:40:00,       0.803074
2014-05-13 23:50:00,       0.779098
2014-05-14 00:00:00,       0.747786
2014-05-14 00:10:00,       0.707474
2014-05-14 00:20:00,       0.656397
2014-05-14 00:30:00,       0.595356
2014-05-14 00:40:00,       0.522629
2014-05-14 00:50:00,       0.439846
