date and time,water level (station) (m)
2014-05-12 00:00:00,      -0.263726
2014-05-12 00:10:00,     -0.0601446
2014-05-12 00:20:00,      -0.190148
2014-05-12 00:30:00,      0.0239114
2014-05-12 00:40:00,     -0.0190514
2014-05-12 00:50:00,      0.0864076
2014-05-12 01:00:00,       0.114727
2014-05-12 01:10:00,       0.492144
2014-05-12 01:20:00,       0.700278
2014-05-12 01:30:00,        1.02384
2014-05-12 01:40:00,        1.08326
2014-05-12 01:50:00,         1.1499
2014-05-12 02:00:00,        1.30185
2014-05-12 02:10:00,        1.43732
2014-05-12 02:20:00,        1.30845
2014-05-12 02:30:00,        1.24033
2014-05-12 02:40:00,        1.13576
2014-05-12 02:50:00,        1.09582
2014-05-12 03:00:00,       0.967839
2014-05-12 03:10:00,       0.702606
2014-05-12 03:20:00,       0.536235
2014-05-12 03:30:00,       0.469018
2014-05-12 03:40:00,       0.570776
2014-05-12 03:50:00,       0.554471
2014-05-12 04:00:00,       0.474027
2014-05-12 04:10:00,       0.404094
2014-05-12 04:20:00,       0.298888
2014-05-12 04:30:00,       0.284592
2014-05-12 04:40:00,       0.114234
2014-05-12 04:50:00,     -0.0135916
2014-05-12 05:00:00,      -0.132274
2014-05-12 05:10:00,      -0.148678
2014-05-12 05:20:00,      -0.256808
2014-05-12 05:30:00,      -0.331418
2014-05-12 05:40:00,      -0.450137
2014-05-12 05:50:00,      -0.482306
2014-05-12 06:00:00,      -0.482676
2014-05-12 06:10:00,      -0.491618
2014-05-12 06:20:00,      -0.513974
2014-05-12 06:30:00,       -0.52034
2014-05-12 06:40:00,      -0.523516
2014-05-12 06:50:00,      -0.554129
2014-05-12 07:00:00,      -0.559004
2014-05-12 07:10:00,      -0.563755
2014-05-12 07:20:00,      -0.529136
2014-05-12 07:30:00,      -0.496418
2014-05-12 07:40:00,       -0.48033
2014-05-12 07:50:00,      -0.465704
2014-05-12 08:00:00,      -0.465432
2014-05-12 08:10:00,      -0.457919
2014-05-12 08:20:00,       -0.45924
2014-05-12 08:30:00,      -0.451744
2014-05-12 08:40:00,      -0.454027
2014-05-12 08:50:00,      -0.440783
2014-05-12 09:00:00,      -0.450055
2014-05-12 09:10:00,      -0.448377
2014-05-12 09:20:00,      -0.462834
2014-05-12 09:30:00,      -0.459749
2014-05-12 09:40:00,      -0.457165
2014-05-12 09:50:00,      -0.449512
2014-05-12 10:00:00,      -0.437533
2014-05-12 10:10:00,      -0.420063
2014-05-12 10:20:00,       -0.40409
2014-05-12 10:30:00,       -0.38852
2014-05-12 10:40:00,      -0.359201
2014-05-12 10:50:00,      -0.321636
2014-05-12 11:00:00,      -0.259982
2014-05-12 11:10:00,      -0.191887
2014-05-12 11:20:00,      -0.112615
2014-05-12 11:30:00,     -0.0225156
2014-05-12 11:40:00,      0.0822555
2014-05-12 11:50:00,       0.193762
2014-05-12 12:00:00,       0.324126
2014-05-12 12:10:00,       0.458316
2014-05-12 12:20:00,        0.59893
2014-05-12 12:30:00,       0.726392
2014-05-12 12:40:00,       0.843967
2014-05-12 12:50:00,       0.948662
2014-05-12 13:00:00,          1.048
2014-05-12 13:10:00,        1.12647
2014-05-12 13:20:00,        1.19522
2014-05-12 13:30:00,        1.23608
2014-05-12 13:40:00,         1.2615
2014-05-12 13:50:00,        1.26578
