date and time,angle of horizontal velocity (station) (radians) - Weserhaven Calandknl - layer 4
2014-05-12 00:00:00,        2.11288
2014-05-12 00:10:00,        1.76778
2014-05-12 00:20:00,        1.45426
2014-05-12 00:30:00,        2.22893
2014-05-12 00:40:00,        5.99604
2014-05-12 00:50:00,        2.32395
2014-05-12 01:00:00,        2.28748
2014-05-12 01:10:00,        2.59521
2014-05-12 01:20:00,        4.63141
2014-05-12 01:30:00,        5.36353
2014-05-12 01:40:00,        5.42018
2014-05-12 01:50:00,        2.07705
2014-05-12 02:00:00,        2.15064
2014-05-12 02:10:00,        5.46753
2014-05-12 02:20:00,        5.57228
2014-05-12 02:30:00,        5.45814
2014-05-12 02:40:00,        5.58426
2014-05-12 02:50:00,        2.21267
2014-05-12 03:00:00,        1.83462
2014-05-12 03:10:00,        2.00698
2014-05-12 03:20:00,        2.16956
2014-05-12 03:30:00,        5.41312
2014-05-12 03:40:00,        5.38906
2014-05-12 03:50:00,        5.39006
2014-05-12 04:00:00,        5.40405
2014-05-12 04:10:00,         5.4569
2014-05-12 04:20:00,        5.88567
2014-05-12 04:30:00,        5.42362
2014-05-12 04:40:00,         5.4302
2014-05-12 04:50:00,        5.38244
2014-05-12 05:00:00,        5.38123
2014-05-12 05:10:00,        5.31799
2014-05-12 05:20:00,        5.27736
2014-05-12 05:30:00,        5.31313
2014-05-12 05:40:00,        5.11543
2014-05-12 05:50:00,        5.03532
2014-05-12 06:00:00,        5.26736
2014-05-12 06:10:00,        5.31594
2014-05-12 06:20:00,        5.36427
2014-05-12 06:30:00,         5.4163
2014-05-12 06:40:00,        5.52772
2014-05-12 06:50:00,          5.746
2014-05-12 07:00:00,        5.44074
2014-05-12 07:10:00,        5.36937
2014-05-12 07:20:00,        5.41241
2014-05-12 07:30:00,        5.42808
2014-05-12 07:40:00,        5.45651
2014-05-12 07:50:00,        5.58653
2014-05-12 08:00:00,        5.62483
2014-05-12 08:10:00,        5.65137
2014-05-12 08:20:00,        5.56181
2014-05-12 08:30:00,        5.46494
2014-05-12 08:40:00,        5.42469
2014-05-12 08:50:00,        5.43308
2014-05-12 09:00:00,        5.44514
2014-05-12 09:10:00,        5.44978
2014-05-12 09:20:00,        5.44976
2014-05-12 09:30:00,        5.40718
2014-05-12 09:40:00,        5.39681
2014-05-12 09:50:00,        5.41764
2014-05-12 10:00:00,        5.45838
2014-05-12 10:10:00,         5.5394
2014-05-12 10:20:00,        5.74086
2014-05-12 10:30:00,        5.85436
2014-05-12 10:40:00,        6.22796
2014-05-12 10:50:00,         5.9043
2014-05-12 11:00:00,        5.55464
