date and time,magnitude of horizontal velocity (station) (m/s) - Weserhaven Calandknl - layer 4
2014-05-12 00:00:00,      0.0853895
2014-05-12 00:10:00,      0.0224125
2014-05-12 00:20:00,      0.0440408
2014-05-12 00:30:00,       0.164221
2014-05-12 00:40:00,      0.0177974
2014-05-12 00:50:00,       0.513804
2014-05-12 01:00:00,       0.573908
2014-05-12 01:10:00,       0.324945
2014-05-12 01:20:00,       0.102788
2014-05-12 01:30:00,       0.516266
2014-05-12 01:40:00,       0.267475
2014-05-12 01:50:00,       0.111495
2014-05-12 02:00:00,       0.089904
2014-05-12 02:10:00,       0.237974
2014-05-12 02:20:00,       0.203463
2014-05-12 02:30:00,       0.257264
2014-05-12 02:40:00,      0.0698302
2014-05-12 02:50:00,      0.0732357
2014-05-12 03:00:00,      0.0351232
2014-05-12 03:10:00,      0.0706326
2014-05-12 03:20:00,        0.10912
2014-05-12 03:30:00,       0.133628
2014-05-12 03:40:00,       0.212919
2014-05-12 03:50:00,       0.262851
2014-05-12 04:00:00,       0.294487
2014-05-12 04:10:00,       0.152486
2014-05-12 04:20:00,     0.00931072
2014-05-12 04:30:00,        0.09861
2014-05-12 04:40:00,      0.0936177
2014-05-12 04:50:00,        0.11365
2014-05-12 05:00:00,        0.18543
2014-05-12 05:10:00,       0.116054
2014-05-12 05:20:00,      0.0698464
2014-05-12 05:30:00,      0.0795371
2014-05-12 05:40:00,      0.0470011
2014-05-12 05:50:00,      0.0466408
2014-05-12 06:00:00,       0.131218
2014-05-12 06:10:00,       0.154996
2014-05-12 06:20:00,       0.134743
2014-05-12 06:30:00,       0.128094
2014-05-12 06:40:00,       0.050269
2014-05-12 06:50:00,      0.0191708
2014-05-12 07:00:00,      0.0382991
2014-05-12 07:10:00,      0.0850816
2014-05-12 07:20:00,      0.0967852
2014-05-12 07:30:00,       0.142769
2014-05-12 07:40:00,       0.115455
2014-05-12 07:50:00,      0.0737111
2014-05-12 08:00:00,      0.0698704
2014-05-12 08:10:00,      0.0592961
2014-05-12 08:20:00,      0.0606222
2014-05-12 08:30:00,      0.0889621
2014-05-12 08:40:00,       0.116952
2014-05-12 08:50:00,       0.100064
2014-05-12 09:00:00,       0.100856
2014-05-12 09:10:00,      0.0689819
2014-05-12 09:20:00,      0.0486175
2014-05-12 09:30:00,      0.0685891
2014-05-12 09:40:00,      0.0771545
2014-05-12 09:50:00,      0.0735011
2014-05-12 10:00:00,      0.0792178
2014-05-12 10:10:00,      0.0675413
2014-05-12 10:20:00,      0.0337185
2014-05-12 10:30:00,      0.0192115
2014-05-12 10:40:00,     0.00981522
2014-05-12 10:50:00,      0.0122365
2014-05-12 11:00:00,      0.0203432
2014-05-12 11:10:00,      0.0246408
2014-05-12 11:20:00,      0.0113968
2014-05-12 11:30:00,     0.00800333
2014-05-12 11:40:00,     0.00621154
2014-05-12 11:50:00,       0.014829
2014-05-12 12:00:00,     0.00775282
2014-05-12 12:10:00,      0.0167174
2014-05-12 12:20:00,      0.0311627
2014-05-12 12:30:00,      0.0248977
2014-05-12 12:40:00,      0.0427461
2014-05-12 12:50:00,       0.018388
2014-05-12 13:00:00,      0.0638481
2014-05-12 13:10:00,      0.0801812
2014-05-12 13:20:00,       0.103795
2014-05-12 13:30:00,       0.106641
2014-05-12 13:40:00,      0.0943539
2014-05-12 13:50:00,       0.114606
2014-05-12 14:00:00,       0.137088
2014-05-12 14:10:00,       0.134451
2014-05-12 14:20:00,       0.125032
2014-05-12 14:30:00,       0.122942
2014-05-12 14:40:00,       0.112896
2014-05-12 14:50:00,       0.106878
2014-05-12 15:00:00,       0.106692
2014-05-12 15:10:00,        0.10613
2014-05-12 15:20:00,       0.128725
2014-05-12 15:30:00,       0.139394
2014-05-12 15:40:00,       0.137939
2014-05-12 15:50:00,       0.151009
2014-05-12 16:00:00,       0.156519
2014-05-12 16:10:00,       0.162095
2014-05-12 16:20:00,       0.172176
2014-05-12 16:30:00,       0.178159
2014-05-12 16:40:00,       0.181692
2014-05-12 16:50:00,       0.194759
2014-05-12 17:00:00,       0.205256
2014-05-12 17:10:00,       0.209509
2014-05-12 17:20:00,       0.209766
2014-05-12 17:30:00,       0.206254
2014-05-12 17:40:00,       0.207775
2014-05-12 17:50:00,       0.208802
2014-05-12 18:00:00,       0.196794
2014-05-12 18:10:00,       0.194309
2014-05-12 18:20:00,       0.188022
2014-05-12 18:30:00,       0.183393
2014-05-12 18:40:00,       0.173975
2014-05-12 18:50:00,       0.165962
2014-05-12 19:00:00,       0.160741
2014-05-12 19:10:00,       0.165276
2014-05-12 19:20:00,       0.170668
2014-05-12 19:30:00,       0.169314
2014-05-12 19:40:00,        0.16172
2014-05-12 19:50:00,       0.168452
2014-05-12 20:00:00,       0.171064
2014-05-12 20:10:00,       0.177908
2014-05-12 20:20:00,       0.182455
2014-05-12 20:30:00,       0.181045
2014-05-12 20:40:00,       0.177003
2014-05-12 20:50:00,       0.177268
2014-05-12 21:00:00,       0.180383
2014-05-12 21:10:00,       0.184753
2014-05-12 21:20:00,       0.188656
2014-05-12 21:30:00,       0.192394
2014-05-12 21:40:00,       0.193328
2014-05-12 21:50:00,       0.191579
2014-05-12 22:00:00,       0.188629
2014-05-12 22:10:00,       0.181802
2014-05-12 22:20:00,       0.175999
2014-05-12 22:30:00,       0.171107
2014-05-12 22:40:00,       0.160517
2014-05-12 22:50:00,       0.154836
2014-05-12 23:00:00,       0.145117
2014-05-12 23:10:00,       0.131403
2014-05-12 23:20:00,       0.119141
2014-05-12 23:30:00,       0.107735
2014-05-12 23:40:00,      0.0924111
2014-05-12 23:50:00,      0.0800575
2014-05-13 00:00:00,       0.072346
2014-05-13 00:10:00,      0.0712879
2014-05-13 00:20:00,      0.0842653
2014-05-13 00:30:00,      0.0804656
2014-05-13 00:40:00,      0.0917323
2014-05-13 00:50:00,      0.0999642
2014-05-13 01:00:00,       0.120545
2014-05-13 01:10:00,       0.142944
2014-05-13 01:20:00,       0.169949
2014-05-13 01:30:00,       0.193941
2014-05-13 01:40:00,       0.207917
2014-05-13 01:50:00,       0.230051
2014-05-13 02:00:00,       0.242764
2014-05-13 02:10:00,       0.241884
2014-05-13 02:20:00,       0.240126
2014-05-13 02:30:00,       0.242715
2014-05-13 02:40:00,       0.252373
2014-05-13 02:50:00,        0.24829
2014-05-13 03:00:00,       0.237763
2014-05-13 03:10:00,       0.232315
2014-05-13 03:20:00,       0.230177
2014-05-13 03:30:00,       0.240076
2014-05-13 03:40:00,       0.248129
2014-05-13 03:50:00,        0.25015
2014-05-13 04:00:00,       0.246321
2014-05-13 04:10:00,       0.233168
2014-05-13 04:20:00,       0.229483
2014-05-13 04:30:00,       0.241031
2014-05-13 04:40:00,         0.2541
2014-05-13 04:50:00,       0.264889
2014-05-13 05:00:00,       0.274502
2014-05-13 05:10:00,       0.277841
2014-05-13 05:20:00,       0.269477
2014-05-13 05:30:00,       0.257118
2014-05-13 05:40:00,        0.24574
2014-05-13 05:50:00,       0.238966
2014-05-13 06:00:00,       0.238832
2014-05-13 06:10:00,       0.236502
2014-05-13 06:20:00,       0.228023
2014-05-13 06:30:00,       0.219033
2014-05-13 06:40:00,       0.207269
2014-05-13 06:50:00,       0.194582
2014-05-13 07:00:00,        0.18675
2014-05-13 07:10:00,        0.18006
2014-05-13 07:20:00,       0.182126
2014-05-13 07:30:00,       0.183382
2014-05-13 07:40:00,       0.185254
2014-05-13 07:50:00,       0.185241
2014-05-13 08:00:00,       0.184829
2014-05-13 08:10:00,       0.191303
2014-05-13 08:20:00,       0.198855
2014-05-13 08:30:00,       0.205118
2014-05-13 08:40:00,       0.202984
2014-05-13 08:50:00,        0.20064
2014-05-13 09:00:00,       0.195347
2014-05-13 09:10:00,       0.192696
2014-05-13 09:20:00,       0.193728
2014-05-13 09:30:00,       0.193991
2014-05-13 09:40:00,       0.192578
2014-05-13 09:50:00,       0.197437
2014-05-13 10:00:00,       0.202473
2014-05-13 10:10:00,       0.198826
2014-05-13 10:20:00,       0.189153
2014-05-13 10:30:00,       0.176752
2014-05-13 10:40:00,       0.169376
2014-05-13 10:50:00,        0.16328
2014-05-13 11:00:00,       0.158617
2014-05-13 11:10:00,       0.148662
2014-05-13 11:20:00,       0.133663
2014-05-13 11:30:00,       0.121413
2014-05-13 11:40:00,        0.11612
2014-05-13 11:50:00,       0.111449
2014-05-13 12:00:00,       0.107181
2014-05-13 12:10:00,       0.104808
2014-05-13 12:20:00,       0.101271
2014-05-13 12:30:00,       0.101184
2014-05-13 12:40:00,       0.102188
2014-05-13 12:50:00,      0.0993059
2014-05-13 13:00:00,       0.109294
2014-05-13 13:10:00,       0.129232
2014-05-13 13:20:00,       0.150067
2014-05-13 13:30:00,       0.166236
2014-05-13 13:40:00,        0.19362
2014-05-13 13:50:00,       0.219127
2014-05-13 14:00:00,       0.244095
2014-05-13 14:10:00,       0.273888
2014-05-13 14:20:00,       0.290422
