date and time,water level (station) (m)
2014-05-12 00:00:00,      -0.512292
2014-05-12 00:10:00,      -0.476456
2014-05-12 00:20:00,      -0.401708
2014-05-12 00:30:00,      -0.215062
2014-05-12 00:40:00,      -0.184468
2014-05-12 00:50:00,       0.405568
2014-05-12 01:00:00,        0.94691
2014-05-12 01:10:00,        1.73894
2014-05-12 01:20:00,        1.85447
2014-05-12 01:30:00,        1.43931
2014-05-12 01:40:00,        1.00599
2014-05-12 01:50:00,       0.825557
2014-05-12 02:00:00,       0.873422
2014-05-12 02:10:00,       0.950404
2014-05-12 02:20:00,       0.587848
2014-05-12 02:30:00,       0.361851
2014-05-12 02:40:00,      0.0550289
2014-05-12 02:50:00,       0.167235
2014-05-12 03:00:00,       0.209077
2014-05-12 03:10:00,        0.48654
2014-05-12 03:20:00,        0.57738
2014-05-12 03:30:00,       0.635642
2014-05-12 03:40:00,       0.521651
2014-05-12 03:50:00,       0.205184
2014-05-12 04:00:00,     -0.0974525
2014-05-12 04:10:00,      -0.297683
2014-05-12 04:20:00,      -0.370091
2014-05-12 04:30:00,      -0.345069
2014-05-12 04:40:00,      -0.328303
2014-05-12 04:50:00,      -0.421366
2014-05-12 05:00:00,      -0.541476
2014-05-12 05:10:00,      -0.624623
2014-05-12 05:20:00,      -0.673072
2014-05-12 05:30:00,      -0.680624
2014-05-12 05:40:00,      -0.636542
2014-05-12 05:50:00,      -0.659715
2014-05-12 06:00:00,      -0.629093
2014-05-12 06:10:00,        -0.7315
2014-05-12 06:20:00,      -0.814891
2014-05-12 06:30:00,      -0.870238
2014-05-12 06:40:00,      -0.850113
2014-05-12 06:50:00,      -0.757171
2014-05-12 07:00:00,      -0.708677
2014-05-12 07:10:00,      -0.644382
2014-05-12 07:20:00,      -0.684902
2014-05-12 07:30:00,      -0.722306
2014-05-12 07:40:00,      -0.776682
2014-05-12 07:50:00,      -0.818633
2014-05-12 08:00:00,      -0.804019
2014-05-12 08:10:00,      -0.760778
2014-05-12 08:20:00,      -0.734715
2014-05-12 08:30:00,      -0.727744
2014-05-12 08:40:00,      -0.762806
2014-05-12 08:50:00,      -0.788257
2014-05-12 09:00:00,      -0.817067
2014-05-12 09:10:00,      -0.800929
2014-05-12 09:20:00,      -0.766738
2014-05-12 09:30:00,      -0.723186
2014-05-12 09:40:00,      -0.671901
2014-05-12 09:50:00,      -0.665318
2014-05-12 10:00:00,      -0.648058
2014-05-12 10:10:00,      -0.619251
2014-05-12 10:20:00,       -0.56035
2014-05-12 10:30:00,      -0.471874
2014-05-12 10:40:00,      -0.357263
2014-05-12 10:50:00,      -0.234058
2014-05-12 11:00:00,      -0.126393
2014-05-12 11:10:00,     -0.0302698
2014-05-12 11:20:00,      0.0752138
2014-05-12 11:30:00,       0.212012
2014-05-12 11:40:00,       0.363773
2014-05-12 11:50:00,       0.523549
2014-05-12 12:00:00,       0.695683
2014-05-12 12:10:00,       0.847843
2014-05-12 12:20:00,       0.959827
2014-05-12 12:30:00,        1.05144
2014-05-12 12:40:00,        1.13853
2014-05-12 12:50:00,        1.20052
2014-05-12 13:00:00,        1.25813
2014-05-12 13:10:00,        1.26974
2014-05-12 13:20:00,        1.24708
2014-05-12 13:30:00,        1.20721
2014-05-12 13:40:00,        1.14027
2014-05-12 13:50:00,        1.07756
2014-05-12 14:00:00,        1.02184
2014-05-12 14:10:00,       0.966827
2014-05-12 14:20:00,       0.923372
2014-05-12 14:30:00,       0.876468
2014-05-12 14:40:00,       0.825285
2014-05-12 14:50:00,       0.770606
2014-05-12 15:00:00,       0.728668
2014-05-12 15:10:00,       0.674712
2014-05-12 15:20:00,       0.614526
2014-05-12 15:30:00,       0.550431
2014-05-12 15:40:00,       0.477656
2014-05-12 15:50:00,       0.403215
2014-05-12 16:00:00,       0.328197
2014-05-12 16:10:00,       0.252218
2014-05-12 16:20:00,       0.174229
2014-05-12 16:30:00,       0.096393
2014-05-12 16:40:00,      0.0212493
2014-05-12 16:50:00,     -0.0683311
2014-05-12 17:00:00,      -0.153295
2014-05-12 17:10:00,      -0.238247
2014-05-12 17:20:00,      -0.319006
2014-05-12 17:30:00,      -0.398117
2014-05-12 17:40:00,      -0.473223
2014-05-12 17:50:00,      -0.533163
2014-05-12 18:00:00,      -0.588565
2014-05-12 18:10:00,        -0.6335
2014-05-12 18:20:00,      -0.664545
2014-05-12 18:30:00,      -0.681704
2014-05-12 18:40:00,      -0.685374
2014-05-12 18:50:00,      -0.688075
2014-05-12 19:00:00,      -0.686734
2014-05-12 19:10:00,      -0.686675
2014-05-12 19:20:00,      -0.692873
2014-05-12 19:30:00,      -0.702869
2014-05-12 19:40:00,      -0.711122
2014-05-12 19:50:00,      -0.714273
2014-05-12 20:00:00,      -0.714721
2014-05-12 20:10:00,      -0.721865
