date and time,angle of horizontal velocity (station) (radians) - Yangtzeknl Euromax - layer 4
2014-05-12 00:00:00,        4.91094
2014-05-12 00:10:00,        4.90087
2014-05-12 00:20:00,        4.90783
2014-05-12 00:30:00,         4.8384
2014-05-12 00:40:00,        4.98897
2014-05-12 00:50:00,        4.99401
2014-05-12 01:00:00,        5.08381
2014-05-12 01:10:00,        5.05834
2014-05-12 01:20:00,        5.03771
2014-05-12 01:30:00,        4.99717
2014-05-12 01:40:00,        2.05082
2014-05-12 01:50:00,        1.93292
2014-05-12 02:00:00,        1.98974
2014-05-12 02:10:00,        2.00594
2014-05-12 02:20:00,         2.0842
2014-05-12 02:30:00,        4.43864
2014-05-12 02:40:00,        4.87766
2014-05-12 02:50:00,        5.18757
2014-05-12 03:00:00,        5.31213
2014-05-12 03:10:00,        5.35211
2014-05-12 03:20:00,        1.49913
2014-05-12 03:30:00,        1.60487
2014-05-12 03:40:00,        1.83794
2014-05-12 03:50:00,        2.07592
2014-05-12 04:00:00,        2.18333
2014-05-12 04:10:00,        2.11201
2014-05-12 04:20:00,        2.07196
2014-05-12 04:30:00,         1.9544
2014-05-12 04:40:00,        6.23609
2014-05-12 04:50:00,        5.99717
2014-05-12 05:00:00,        6.10878
2014-05-12 05:10:00,      0.0569447
2014-05-12 05:20:00,        1.51035
2014-05-12 05:30:00,        1.95087
2014-05-12 05:40:00,         2.0357
2014-05-12 05:50:00,        2.06454
2014-05-12 06:00:00,        1.98968
2014-05-12 06:10:00,        5.19212
2014-05-12 06:20:00,        5.04613
2014-05-12 06:30:00,        5.01568
2014-05-12 06:40:00,        1.70811
2014-05-12 06:50:00,        1.83107
2014-05-12 07:00:00,        1.85092
2014-05-12 07:10:00,        1.58248
2014-05-12 07:20:00,        0.65398
2014-05-12 07:30:00,        5.39998
2014-05-12 07:40:00,        5.64673
2014-05-12 07:50:00,        1.42627
2014-05-12 08:00:00,        1.56718
2014-05-12 08:10:00,        1.53629
2014-05-12 08:20:00,       0.818349
2014-05-12 08:30:00,        5.42523
2014-05-12 08:40:00,        4.90554
2014-05-12 08:50:00,        4.52512
2014-05-12 09:00:00,        4.42954
2014-05-12 09:10:00,        3.86698
2014-05-12 09:20:00,        2.33371
2014-05-12 09:30:00,        3.98721
2014-05-12 09:40:00,        4.97325
2014-05-12 09:50:00,        4.98886
2014-05-12 10:00:00,        4.92824
2014-05-12 10:10:00,         4.8523
2014-05-12 10:20:00,        4.80844
2014-05-12 10:30:00,        4.84882
2014-05-12 10:40:00,        4.92083
2014-05-12 10:50:00,        5.00231
2014-05-12 11:00:00,         5.0856
2014-05-12 11:10:00,        5.14123
2014-05-12 11:20:00,        5.14634
2014-05-12 11:30:00,        5.14481
2014-05-12 11:40:00,        5.18238
2014-05-12 11:50:00,        5.23179
2014-05-12 12:00:00,          5.255
2014-05-12 12:10:00,        5.36517
2014-05-12 12:20:00,        5.44989
2014-05-12 12:30:00,        5.50451
2014-05-12 12:40:00,        5.79619
2014-05-12 12:50:00,         1.6766
2014-05-12 13:00:00,        1.89546
2014-05-12 13:10:00,        1.94292
2014-05-12 13:20:00,         1.9108
2014-05-12 13:30:00,        1.90538
2014-05-12 13:40:00,        1.89015
2014-05-12 13:50:00,        1.87727
2014-05-12 14:00:00,        1.88456
2014-05-12 14:10:00,        1.87743
2014-05-12 14:20:00,        1.88171
2014-05-12 14:30:00,        1.88756
2014-05-12 14:40:00,        1.85301
2014-05-12 14:50:00,        1.84056
2014-05-12 15:00:00,        1.88142
2014-05-12 15:10:00,        1.88879
2014-05-12 15:20:00,        1.88065
2014-05-12 15:30:00,         1.8825
2014-05-12 15:40:00,        1.86017
2014-05-12 15:50:00,        1.84043
2014-05-12 16:00:00,        1.84338
2014-05-12 16:10:00,        1.85192
2014-05-12 16:20:00,        1.86296
2014-05-12 16:30:00,        1.87782
2014-05-12 16:40:00,        1.90578
2014-05-12 16:50:00,        1.93246
2014-05-12 17:00:00,        1.94219
2014-05-12 17:10:00,        1.94504
2014-05-12 17:20:00,        1.95472
2014-05-12 17:30:00,        1.96895
2014-05-12 17:40:00,        1.98878
2014-05-12 17:50:00,        2.01554
2014-05-12 18:00:00,        2.03739
2014-05-12 18:10:00,        2.05625
2014-05-12 18:20:00,        2.07649
2014-05-12 18:30:00,        2.10788
2014-05-12 18:40:00,        2.13519
2014-05-12 18:50:00,        2.15132
2014-05-12 19:00:00,        2.13717
2014-05-12 19:10:00,        2.06848
2014-05-12 19:20:00,         2.0185
2014-05-12 19:30:00,        2.01738
2014-05-12 19:40:00,         2.0367
2014-05-12 19:50:00,        2.04483
2014-05-12 20:00:00,        2.05362
2014-05-12 20:10:00,         2.0608
2014-05-12 20:20:00,        2.04941
2014-05-12 20:30:00,         2.0241
2014-05-12 20:40:00,         1.9884
2014-05-12 20:50:00,        1.97306
2014-05-12 21:00:00,        1.99559
2014-05-12 21:10:00,        2.01096
2014-05-12 21:20:00,        2.01974
2014-05-12 21:30:00,        2.02114
2014-05-12 21:40:00,        2.02633
2014-05-12 21:50:00,        2.05055
2014-05-12 22:00:00,        2.07313
2014-05-12 22:10:00,        3.42726
2014-05-12 22:20:00,        4.99988
2014-05-12 22:30:00,        5.01884
2014-05-12 22:40:00,        5.12002
2014-05-12 22:50:00,        5.27632
2014-05-12 23:00:00,        5.34391
2014-05-12 23:10:00,        5.28578
2014-05-12 23:20:00,         5.2623
2014-05-12 23:30:00,        5.28449
2014-05-12 23:40:00,        5.25174
2014-05-12 23:50:00,        5.20014
2014-05-13 00:00:00,        5.15931
2014-05-13 00:10:00,        5.16226
2014-05-13 00:20:00,        5.23798
2014-05-13 00:30:00,        5.33963
2014-05-13 00:40:00,          5.507
2014-05-13 00:50:00,      0.0405476
2014-05-13 01:00:00,        1.48925
2014-05-13 01:10:00,        1.78102
2014-05-13 01:20:00,        1.84308
2014-05-13 01:30:00,        1.86123
2014-05-13 01:40:00,        1.90496
2014-05-13 01:50:00,        1.92255
2014-05-13 02:00:00,        1.93416
2014-05-13 02:10:00,        1.92018
2014-05-13 02:20:00,        1.89967
2014-05-13 02:30:00,        1.89888
2014-05-13 02:40:00,         1.8724
2014-05-13 02:50:00,        1.83016
2014-05-13 03:00:00,        1.82035
2014-05-13 03:10:00,        1.84092
2014-05-13 03:20:00,         1.8656
2014-05-13 03:30:00,        1.93415
2014-05-13 03:40:00,        1.95938
2014-05-13 03:50:00,        1.90841
2014-05-13 04:00:00,        1.86536
2014-05-13 04:10:00,        1.84491
2014-05-13 04:20:00,        1.84295
2014-05-13 04:30:00,        1.84662
2014-05-13 04:40:00,        1.85633
2014-05-13 04:50:00,        1.88037
2014-05-13 05:00:00,         1.8916
2014-05-13 05:10:00,        1.88878
2014-05-13 05:20:00,        1.89888
2014-05-13 05:30:00,        1.91614
2014-05-13 05:40:00,        1.91523
2014-05-13 05:50:00,        1.92234
2014-05-13 06:00:00,          1.926
2014-05-13 06:10:00,          1.917
2014-05-13 06:20:00,        1.89949
2014-05-13 06:30:00,        1.89985
2014-05-13 06:40:00,        1.90485
2014-05-13 06:50:00,        1.89813
2014-05-13 07:00:00,        1.89428
2014-05-13 07:10:00,        1.90227
2014-05-13 07:20:00,        1.88676
2014-05-13 07:30:00,        1.79857
2014-05-13 07:40:00,        1.77723
2014-05-13 07:50:00,        1.76797
2014-05-13 08:00:00,        1.71837
2014-05-13 08:10:00,        1.68745
2014-05-13 08:20:00,        1.68092
2014-05-13 08:30:00,        1.66698
2014-05-13 08:40:00,        1.63208
2014-05-13 08:50:00,        1.60877
2014-05-13 09:00:00,        1.61496
2014-05-13 09:10:00,        1.63043
2014-05-13 09:20:00,        1.69698
2014-05-13 09:30:00,        1.81252
2014-05-13 09:40:00,        1.88064
2014-05-13 09:50:00,        1.90949
2014-05-13 10:00:00,        1.95581
2014-05-13 10:10:00,         1.9559
2014-05-13 10:20:00,        1.86358
2014-05-13 10:30:00,         1.7039
2014-05-13 10:40:00,         1.3909
2014-05-13 10:50:00,       0.597203
2014-05-13 11:00:00,        6.14356
2014-05-13 11:10:00,        5.74791
2014-05-13 11:20:00,        5.57377
2014-05-13 11:30:00,        5.46831
2014-05-13 11:40:00,        5.35836
2014-05-13 11:50:00,        5.22856
2014-05-13 12:00:00,        5.14773
2014-05-13 12:10:00,        5.12156
2014-05-13 12:20:00,        5.11204
2014-05-13 12:30:00,        5.11486
2014-05-13 12:40:00,         5.1375
2014-05-13 12:50:00,        5.14477
2014-05-13 13:00:00,        5.14953
2014-05-13 13:10:00,        5.15336
2014-05-13 13:20:00,        5.19399
2014-05-13 13:30:00,        5.29742
2014-05-13 13:40:00,        1.54959
2014-05-13 13:50:00,        1.81059
2014-05-13 14:00:00,        1.85615
2014-05-13 14:10:00,        1.87272
2014-05-13 14:20:00,        1.90221
2014-05-13 14:30:00,        1.90522
2014-05-13 14:40:00,        1.89575
2014-05-13 14:50:00,        1.87134
2014-05-13 15:00:00,        1.79987
2014-05-13 15:10:00,        1.76782
2014-05-13 15:20:00,        1.80121
2014-05-13 15:30:00,        1.84033
2014-05-13 15:40:00,        1.89492
2014-05-13 15:50:00,        1.90434
2014-05-13 16:00:00,        1.86483
2014-05-13 16:10:00,        1.79451
2014-05-13 16:20:00,        1.75394
2014-05-13 16:30:00,        1.75515
2014-05-13 16:40:00,        1.78916
2014-05-13 16:50:00,        1.83888
2014-05-13 17:00:00,        1.89192
2014-05-13 17:10:00,         1.9268
2014-05-13 17:20:00,        1.93558
2014-05-13 17:30:00,        1.94463
2014-05-13 17:40:00,        1.95702
2014-05-13 17:50:00,        1.96768
2014-05-13 18:00:00,        1.98484
2014-05-13 18:10:00,        2.00261
2014-05-13 18:20:00,        2.01528
2014-05-13 18:30:00,        2.01013
2014-05-13 18:40:00,        2.01124
2014-05-13 18:50:00,        2.02734
2014-05-13 19:00:00,        2.03701
2014-05-13 19:10:00,         2.0345
2014-05-13 19:20:00,        2.05606
2014-05-13 19:30:00,        2.06264
2014-05-13 19:40:00,        2.04397
2014-05-13 19:50:00,         2.0117
2014-05-13 20:00:00,        1.96178
2014-05-13 20:10:00,        1.92004
2014-05-13 20:20:00,        1.85135
2014-05-13 20:30:00,        1.77993
2014-05-13 20:40:00,         1.7128
2014-05-13 20:50:00,        1.65586
2014-05-13 21:00:00,        1.61693
2014-05-13 21:10:00,        1.59696
2014-05-13 21:20:00,        1.58887
2014-05-13 21:30:00,        1.57678
2014-05-13 21:40:00,        1.61852
2014-05-13 21:50:00,        1.66768
2014-05-13 22:00:00,        1.70252
2014-05-13 22:10:00,        1.71944
2014-05-13 22:20:00,        1.71625
2014-05-13 22:30:00,        1.68145
2014-05-13 22:40:00,        1.60516
2014-05-13 22:50:00,        1.33567
2014-05-13 23:00:00,       0.396895
2014-05-13 23:10:00,        5.68987
2014-05-13 23:20:00,        5.38598
2014-05-13 23:30:00,        5.28087
2014-05-13 23:40:00,        5.32461
2014-05-13 23:50:00,        5.43707
2014-05-14 00:00:00,        5.28683
2014-05-14 00:10:00,        5.12947
2014-05-14 00:20:00,        5.10097
2014-05-14 00:30:00,        5.11953
2014-05-14 00:40:00,        5.14466
2014-05-14 00:50:00,        5.15087
2014-05-14 01:00:00,        5.12845
2014-05-14 01:10:00,        5.07473
2014-05-14 01:20:00,        4.99045
2014-05-14 01:30:00,        4.96183
2014-05-14 01:40:00,        4.91528
2014-05-14 01:50:00,        1.95284
2014-05-14 02:00:00,         1.8038
2014-05-14 02:10:00,        1.82106
2014-05-14 02:20:00,        1.86673
2014-05-14 02:30:00,        1.88974
2014-05-14 02:40:00,        1.89516
2014-05-14 02:50:00,        1.91139
2014-05-14 03:00:00,        1.90351
2014-05-14 03:10:00,        1.90853
2014-05-14 03:20:00,         1.8696
2014-05-14 03:30:00,        1.81635
2014-05-14 03:40:00,        1.78325
2014-05-14 03:50:00,        1.76309
2014-05-14 04:00:00,        1.75682
2014-05-14 04:10:00,        1.77004
2014-05-14 04:20:00,        1.78606
2014-05-14 04:30:00,        1.81302
2014-05-14 04:40:00,        1.83028
2014-05-14 04:50:00,        1.86227
2014-05-14 05:00:00,        1.88439
2014-05-14 05:10:00,        1.89743
2014-05-14 05:20:00,        1.91145
2014-05-14 05:30:00,        1.92946
2014-05-14 05:40:00,        1.92938
2014-05-14 05:50:00,        1.90634
2014-05-14 06:00:00,        1.88834
2014-05-14 06:10:00,        1.88421
2014-05-14 06:20:00,        1.87313
2014-05-14 06:30:00,        1.86335
2014-05-14 06:40:00,        1.84651
2014-05-14 06:50:00,         1.8365
2014-05-14 07:00:00,        1.83988
2014-05-14 07:10:00,        1.83224
2014-05-14 07:20:00,        1.80166
2014-05-14 07:30:00,        1.74763
2014-05-14 07:40:00,        1.70338
2014-05-14 07:50:00,        1.68209
2014-05-14 08:00:00,        1.66211
2014-05-14 08:10:00,        1.70606
2014-05-14 08:20:00,        1.73664
2014-05-14 08:30:00,         1.7433
2014-05-14 08:40:00,        1.72874
2014-05-14 08:50:00,        1.68857
2014-05-14 09:00:00,        1.66371
2014-05-14 09:10:00,        1.65754
2014-05-14 09:20:00,        1.64798
2014-05-14 09:30:00,         1.6216
2014-05-14 09:40:00,        1.61628
2014-05-14 09:50:00,        1.63558
2014-05-14 10:00:00,        1.64661
2014-05-14 10:10:00,        1.65183
2014-05-14 10:20:00,        1.67564
2014-05-14 10:30:00,         1.6894
2014-05-14 10:40:00,        1.67199
2014-05-14 10:50:00,        1.63931
2014-05-14 11:00:00,        1.59901
2014-05-14 11:10:00,        1.52421
2014-05-14 11:20:00,        1.43189
2014-05-14 11:30:00,        1.33962
2014-05-14 11:40:00,        1.20885
2014-05-14 11:50:00,        1.05123
2014-05-14 12:00:00,       0.269783
2014-05-14 12:10:00,        5.39007
2014-05-14 12:20:00,        5.25052
2014-05-14 12:30:00,        5.15335
2014-05-14 12:40:00,        5.10858
2014-05-14 12:50:00,        5.07966
2014-05-14 13:00:00,        5.10747
2014-05-14 13:10:00,        5.12166
2014-05-14 13:20:00,        5.11757
2014-05-14 13:30:00,        5.06037
2014-05-14 13:40:00,        5.02227
2014-05-14 13:50:00,        5.03946
2014-05-14 14:00:00,        5.01525
2014-05-14 14:10:00,        4.93403
2014-05-14 14:20:00,        1.92426
2014-05-14 14:30:00,        1.85404
2014-05-14 14:40:00,        1.85682
2014-05-14 14:50:00,        1.85956
2014-05-14 15:00:00,        1.87171
2014-05-14 15:10:00,        1.89733
2014-05-14 15:20:00,        1.89806
2014-05-14 15:30:00,        1.89459
2014-05-14 15:40:00,        1.88546
2014-05-14 15:50:00,        1.86554
2014-05-14 16:00:00,        1.83805
2014-05-14 16:10:00,        1.80107
2014-05-14 16:20:00,        1.77709
2014-05-14 16:30:00,        1.76773
2014-05-14 16:40:00,        1.74987
2014-05-14 16:50:00,        1.73689
2014-05-14 17:00:00,        1.77835
2014-05-14 17:10:00,        1.83454
2014-05-14 17:20:00,        1.88114
2014-05-14 17:30:00,        1.90802
2014-05-14 17:40:00,        1.93747
2014-05-14 17:50:00,        1.95163
2014-05-14 18:00:00,        1.96158
2014-05-14 18:10:00,        1.96643
2014-05-14 18:20:00,        1.97377
2014-05-14 18:30:00,        1.96495
2014-05-14 18:40:00,        1.95319
2014-05-14 18:50:00,        1.94931
2014-05-14 19:00:00,        1.93166
2014-05-14 19:10:00,        1.91855
2014-05-14 19:20:00,        1.91505
2014-05-14 19:30:00,        1.92277
2014-05-14 19:40:00,        1.90473
2014-05-14 19:50:00,        1.88997
2014-05-14 20:00:00,        1.89819
2014-05-14 20:10:00,        1.86578
2014-05-14 20:20:00,        1.76894
2014-05-14 20:30:00,        1.74573
2014-05-14 20:40:00,        1.77859
2014-05-14 20:50:00,         1.7797
2014-05-14 21:00:00,        1.78479
2014-05-14 21:10:00,        1.81365
2014-05-14 21:20:00,        1.82415
2014-05-14 21:30:00,        1.81225
2014-05-14 21:40:00,        1.80604
2014-05-14 21:50:00,        1.81596
2014-05-14 22:00:00,        1.80812
2014-05-14 22:10:00,         1.7769
2014-05-14 22:20:00,        1.78216
2014-05-14 22:30:00,         1.8086
2014-05-14 22:40:00,        1.82044
2014-05-14 22:50:00,        1.82852
2014-05-14 23:00:00,        1.86042
2014-05-14 23:10:00,        1.90187
2014-05-14 23:20:00,        1.92667
2014-05-14 23:30:00,        1.93926
2014-05-14 23:40:00,        1.95245
2014-05-14 23:50:00,        1.94848
2014-05-15 00:00:00,        1.92216
2014-05-15 00:10:00,        1.87598
2014-05-15 00:20:00,        1.80698
2014-05-15 00:30:00,        1.69595
2014-05-15 00:40:00,        1.60011
2014-05-15 00:50:00,        1.31936
2014-05-15 01:00:00,        5.95691
2014-05-15 01:10:00,        5.45964
2014-05-15 01:20:00,         5.2833
2014-05-15 01:30:00,        5.14766
2014-05-15 01:40:00,        5.11599
2014-05-15 01:50:00,        5.13714
2014-05-15 02:00:00,        5.16358
2014-05-15 02:10:00,        5.14566
2014-05-15 02:20:00,        5.00424
2014-05-15 02:30:00,        2.23625
2014-05-15 02:40:00,        2.04322
2014-05-15 02:50:00,        1.90401
2014-05-15 03:00:00,        1.83177
2014-05-15 03:10:00,        1.82092
2014-05-15 03:20:00,         1.8339
2014-05-15 03:30:00,        1.88465
2014-05-15 03:40:00,        1.89851
2014-05-15 03:50:00,        1.88315
2014-05-15 04:00:00,        1.84628
2014-05-15 04:10:00,        1.79649
2014-05-15 04:20:00,        1.73978
2014-05-15 04:30:00,        1.71615
2014-05-15 04:40:00,        1.74131
2014-05-15 04:50:00,        1.76902
2014-05-15 05:00:00,        1.81019
2014-05-15 05:10:00,         1.8549
2014-05-15 05:20:00,        1.88873
2014-05-15 05:30:00,        1.91029
2014-05-15 05:40:00,        1.91085
2014-05-15 05:50:00,         1.9123
2014-05-15 06:00:00,        1.91215
2014-05-15 06:10:00,        1.92263
2014-05-15 06:20:00,        1.94225
2014-05-15 06:30:00,        1.96432
2014-05-15 06:40:00,        1.97426
2014-05-15 06:50:00,        1.96892
2014-05-15 07:00:00,        1.95603
2014-05-15 07:10:00,        1.94499
2014-05-15 07:20:00,        1.93184
2014-05-15 07:30:00,        1.92794
2014-05-15 07:40:00,        1.93445
2014-05-15 07:50:00,        1.93895
2014-05-15 08:00:00,        1.94314
2014-05-15 08:10:00,        1.93801
2014-05-15 08:20:00,        1.91055
2014-05-15 08:30:00,        1.86415
2014-05-15 08:40:00,        1.81284
2014-05-15 08:50:00,        1.79011
2014-05-15 09:00:00,        1.80266
2014-05-15 09:10:00,        1.82976
2014-05-15 09:20:00,        1.84429
2014-05-15 09:30:00,        1.84731
2014-05-15 09:40:00,        1.84319
2014-05-15 09:50:00,        1.84327
2014-05-15 10:00:00,         1.8609
2014-05-15 10:10:00,        1.87949
2014-05-15 10:20:00,         1.8927
2014-05-15 10:30:00,        1.90656
2014-05-15 10:40:00,        1.92849
2014-05-15 10:50:00,        1.95184
2014-05-15 11:00:00,         1.9559
2014-05-15 11:10:00,        1.95936
2014-05-15 11:20:00,        1.97209
2014-05-15 11:30:00,        1.97556
2014-05-15 11:40:00,        1.97322
2014-05-15 11:50:00,         1.9747
2014-05-15 12:00:00,        1.97449
