date and time,magnitude of horizontal velocity (station) (m/s) - Yangtzeknl Euromax - layer 4
2014-05-12 00:00:00,      0.0791886
2014-05-12 00:10:00,       0.112627
2014-05-12 00:20:00,       0.113976
2014-05-12 00:30:00,       0.142956
2014-05-12 00:40:00,        0.19385
2014-05-12 00:50:00,       0.680822
2014-05-12 01:00:00,        1.18829
2014-05-12 01:10:00,        1.29626
2014-05-12 01:20:00,       0.591136
2014-05-12 01:30:00,      0.0433976
2014-05-12 01:40:00,       0.234715
2014-05-12 01:50:00,       0.526504
2014-05-12 02:00:00,       0.950196
2014-05-12 02:10:00,         1.0305
2014-05-12 02:20:00,        0.42826
2014-05-12 02:30:00,       0.220691
2014-05-12 02:40:00,       0.523514
2014-05-12 02:50:00,       0.436067
2014-05-12 03:00:00,       0.172131
2014-05-12 03:10:00,      0.0823109
2014-05-12 03:20:00,       0.100537
2014-05-12 03:30:00,       0.207141
2014-05-12 03:40:00,       0.260018
2014-05-12 03:50:00,       0.259527
2014-05-12 04:00:00,       0.267005
2014-05-12 04:10:00,       0.343627
2014-05-12 04:20:00,       0.272589
2014-05-12 04:30:00,       0.166836
2014-05-12 04:40:00,      0.0428407
2014-05-12 04:50:00,      0.0931295
2014-05-12 05:00:00,       0.110786
2014-05-12 05:10:00,      0.0813614
2014-05-12 05:20:00,      0.0842869
2014-05-12 05:30:00,       0.183277
2014-05-12 05:40:00,       0.279788
2014-05-12 05:50:00,       0.222462
2014-05-12 06:00:00,      0.0847736
2014-05-12 06:10:00,      0.0314424
2014-05-12 06:20:00,      0.0583904
2014-05-12 06:30:00,      0.0299454
2014-05-12 06:40:00,      0.0143535
2014-05-12 06:50:00,      0.0439583
2014-05-12 07:00:00,      0.0610294
2014-05-12 07:10:00,      0.0360454
2014-05-12 07:20:00,      0.0180365
2014-05-12 07:30:00,      0.0467549
2014-05-12 07:40:00,      0.0255545
2014-05-12 07:50:00,       0.049603
2014-05-12 08:00:00,       0.092877
2014-05-12 08:10:00,      0.0778551
2014-05-12 08:20:00,      0.0223683
2014-05-12 08:30:00,       0.022669
2014-05-12 08:40:00,      0.0516961
2014-05-12 08:50:00,      0.0485987
2014-05-12 09:00:00,      0.0498436
2014-05-12 09:10:00,       0.021847
2014-05-12 09:20:00,      0.0232677
2014-05-12 09:30:00,     0.00573938
2014-05-12 09:40:00,      0.0456169
2014-05-12 09:50:00,      0.0923411
2014-05-12 10:00:00,       0.126645
2014-05-12 10:10:00,        0.15029
2014-05-12 10:20:00,       0.159159
2014-05-12 10:30:00,       0.174232
2014-05-12 10:40:00,       0.199807
2014-05-12 10:50:00,       0.223514
2014-05-12 11:00:00,       0.250023
2014-05-12 11:10:00,       0.272879
2014-05-12 11:20:00,       0.288378
2014-05-12 11:30:00,       0.317704
2014-05-12 11:40:00,       0.321065
2014-05-12 11:50:00,       0.292738
2014-05-12 12:00:00,       0.236263
2014-05-12 12:10:00,       0.175253
2014-05-12 12:20:00,       0.135599
2014-05-12 12:30:00,      0.0919915
2014-05-12 12:40:00,       0.034547
2014-05-12 12:50:00,      0.0504024
2014-05-12 13:00:00,       0.108614
2014-05-12 13:10:00,       0.151874
2014-05-12 13:20:00,       0.177344
2014-05-12 13:30:00,       0.194482
2014-05-12 13:40:00,       0.219768
2014-05-12 13:50:00,       0.240691
2014-05-12 14:00:00,       0.247885
2014-05-12 14:10:00,       0.245698
2014-05-12 14:20:00,       0.235326
2014-05-12 14:30:00,        0.21693
2014-05-12 14:40:00,       0.202414
2014-05-12 14:50:00,       0.190709
2014-05-12 15:00:00,        0.18825
2014-05-12 15:10:00,       0.204163
2014-05-12 15:20:00,        0.22111
2014-05-12 15:30:00,       0.230497
2014-05-12 15:40:00,       0.231335
2014-05-12 15:50:00,       0.236691
2014-05-12 16:00:00,        0.23904
2014-05-12 16:10:00,       0.237186
2014-05-12 16:20:00,       0.238962
2014-05-12 16:30:00,       0.240789
2014-05-12 16:40:00,       0.246424
2014-05-12 16:50:00,       0.251214
2014-05-12 17:00:00,        0.25169
2014-05-12 17:10:00,       0.248858
2014-05-12 17:20:00,        0.24397
2014-05-12 17:30:00,       0.233841
2014-05-12 17:40:00,       0.216024
2014-05-12 17:50:00,       0.196088
2014-05-12 18:00:00,       0.172311
2014-05-12 18:10:00,       0.148777
2014-05-12 18:20:00,       0.129921
2014-05-12 18:30:00,       0.113792
2014-05-12 18:40:00,       0.101048
2014-05-12 18:50:00,      0.0876222
2014-05-12 19:00:00,      0.0803632
2014-05-12 19:10:00,      0.0785654
2014-05-12 19:20:00,      0.0824581
2014-05-12 19:30:00,      0.0837563
2014-05-12 19:40:00,      0.0810632
2014-05-12 19:50:00,      0.0778977
2014-05-12 20:00:00,      0.0718019
2014-05-12 20:10:00,      0.0614231
2014-05-12 20:20:00,      0.0512965
2014-05-12 20:30:00,      0.0438832
2014-05-12 20:40:00,      0.0408426
2014-05-12 20:50:00,      0.0399179
2014-05-12 21:00:00,      0.0417029
2014-05-12 21:10:00,      0.0449559
2014-05-12 21:20:00,      0.0471544
2014-05-12 21:30:00,      0.0450609
2014-05-12 21:40:00,      0.0415174
2014-05-12 21:50:00,      0.0321012
2014-05-12 22:00:00,      0.0178224
2014-05-12 22:10:00,     0.00132257
2014-05-12 22:20:00,        0.02233
2014-05-12 22:30:00,      0.0472704
2014-05-12 22:40:00,      0.0685024
2014-05-12 22:50:00,       0.083791
2014-05-12 23:00:00,      0.0915051
2014-05-12 23:10:00,      0.0983166
2014-05-12 23:20:00,       0.117233
2014-05-12 23:30:00,       0.132852
2014-05-12 23:40:00,       0.130741
2014-05-12 23:50:00,        0.12694
2014-05-13 00:00:00,       0.130243
2014-05-13 00:10:00,       0.129862
2014-05-13 00:20:00,       0.112017
2014-05-13 00:30:00,      0.0772971
2014-05-13 00:40:00,      0.0412235
2014-05-13 00:50:00,      0.0190011
2014-05-13 01:00:00,      0.0370355
2014-05-13 01:10:00,      0.0736632
2014-05-13 01:20:00,       0.118882
2014-05-13 01:30:00,       0.160544
2014-05-13 01:40:00,       0.204504
2014-05-13 01:50:00,       0.234828
2014-05-13 02:00:00,       0.254387
2014-05-13 02:10:00,       0.255436
2014-05-13 02:20:00,       0.237671
2014-05-13 02:30:00,       0.219746
2014-05-13 02:40:00,       0.192413
2014-05-13 02:50:00,       0.174469
2014-05-13 03:00:00,       0.170244
2014-05-13 03:10:00,        0.16679
2014-05-13 03:20:00,       0.170803
2014-05-13 03:30:00,       0.181744
2014-05-13 03:40:00,       0.197843
2014-05-13 03:50:00,       0.212027
2014-05-13 04:00:00,       0.234035
2014-05-13 04:10:00,       0.255343
2014-05-13 04:20:00,        0.27981
2014-05-13 04:30:00,       0.297074
2014-05-13 04:40:00,       0.298074
2014-05-13 04:50:00,        0.28636
2014-05-13 05:00:00,       0.277508
2014-05-13 05:10:00,       0.271979
2014-05-13 05:20:00,       0.266666
2014-05-13 05:30:00,       0.263732
2014-05-13 05:40:00,       0.258414
2014-05-13 05:50:00,       0.250295
2014-05-13 06:00:00,       0.236371
2014-05-13 06:10:00,       0.212995
2014-05-13 06:20:00,       0.185887
2014-05-13 06:30:00,       0.163198
2014-05-13 06:40:00,       0.141683
2014-05-13 06:50:00,       0.118467
2014-05-13 07:00:00,      0.0962704
2014-05-13 07:10:00,      0.0784284
2014-05-13 07:20:00,      0.0702973
2014-05-13 07:30:00,      0.0672906
2014-05-13 07:40:00,      0.0761005
2014-05-13 07:50:00,      0.0905793
2014-05-13 08:00:00,       0.103842
2014-05-13 08:10:00,       0.109191
2014-05-13 08:20:00,        0.11167
2014-05-13 08:30:00,        0.11105
2014-05-13 08:40:00,        0.10182
2014-05-13 08:50:00,      0.0932268
2014-05-13 09:00:00,      0.0897088
2014-05-13 09:10:00,      0.0867545
2014-05-13 09:20:00,      0.0837641
2014-05-13 09:30:00,      0.0783451
2014-05-13 09:40:00,      0.0689229
2014-05-13 09:50:00,      0.0628772
2014-05-13 10:00:00,      0.0583779
2014-05-13 10:10:00,      0.0575333
2014-05-13 10:20:00,      0.0542177
2014-05-13 10:30:00,      0.0475774
2014-05-13 10:40:00,      0.0346134
2014-05-13 10:50:00,      0.0283105
2014-05-13 11:00:00,      0.0414269
2014-05-13 11:10:00,      0.0691193
2014-05-13 11:20:00,      0.0997247
2014-05-13 11:30:00,       0.121711
2014-05-13 11:40:00,       0.137471
2014-05-13 11:50:00,       0.153811
2014-05-13 12:00:00,       0.172558
2014-05-13 12:10:00,       0.196429
2014-05-13 12:20:00,       0.215883
2014-05-13 12:30:00,       0.219574
2014-05-13 12:40:00,       0.221909
2014-05-13 12:50:00,       0.211983
2014-05-13 13:00:00,       0.183364
2014-05-13 13:10:00,       0.139511
2014-05-13 13:20:00,      0.0844648
2014-05-13 13:30:00,      0.0317704
2014-05-13 13:40:00,      0.0365344
2014-05-13 13:50:00,       0.105781
2014-05-13 14:00:00,       0.175218
2014-05-13 14:10:00,       0.236066
2014-05-13 14:20:00,       0.261024
2014-05-13 14:30:00,       0.246941
2014-05-13 14:40:00,       0.218173
2014-05-13 14:50:00,       0.187442
2014-05-13 15:00:00,       0.165767
2014-05-13 15:10:00,       0.146741
2014-05-13 15:20:00,        0.13156
2014-05-13 15:30:00,       0.128797
2014-05-13 15:40:00,       0.139257
2014-05-13 15:50:00,       0.166428
2014-05-13 16:00:00,       0.185246
2014-05-13 16:10:00,       0.199625
2014-05-13 16:20:00,        0.21508
2014-05-13 16:30:00,       0.232439
2014-05-13 16:40:00,       0.252373
2014-05-13 16:50:00,       0.266948
2014-05-13 17:00:00,       0.270265
2014-05-13 17:10:00,         0.2698
2014-05-13 17:20:00,       0.270954
2014-05-13 17:30:00,       0.274502
2014-05-13 17:40:00,        0.28048
2014-05-13 17:50:00,       0.287946
2014-05-13 18:00:00,       0.288634
2014-05-13 18:10:00,       0.279054
2014-05-13 18:20:00,       0.258502
2014-05-13 18:30:00,       0.233007
2014-05-13 18:40:00,       0.207582
2014-05-13 18:50:00,       0.182509
2014-05-13 19:00:00,       0.154017
2014-05-13 19:10:00,       0.127912
2014-05-13 19:20:00,       0.103526
2014-05-13 19:30:00,       0.085253
2014-05-13 19:40:00,      0.0752594
2014-05-13 19:50:00,      0.0732517
2014-05-13 20:00:00,      0.0803732
2014-05-13 20:10:00,      0.0947242
2014-05-13 20:20:00,       0.106262
2014-05-13 20:30:00,       0.113432
2014-05-13 20:40:00,       0.108511
2014-05-13 20:50:00,      0.0984242
2014-05-13 21:00:00,      0.0893396
2014-05-13 21:10:00,      0.0832235
2014-05-13 21:20:00,      0.0779439
2014-05-13 21:30:00,      0.0712362
2014-05-13 21:40:00,      0.0688062
2014-05-13 21:50:00,      0.0687149
2014-05-13 22:00:00,      0.0689159
2014-05-13 22:10:00,      0.0646168
2014-05-13 22:20:00,      0.0589968
2014-05-13 22:30:00,      0.0552019
2014-05-13 22:40:00,      0.0458849
2014-05-13 22:50:00,      0.0306168
2014-05-13 23:00:00,      0.0187264
2014-05-13 23:10:00,      0.0330233
2014-05-13 23:20:00,      0.0578452
2014-05-13 23:30:00,      0.0826961
2014-05-13 23:40:00,      0.0864438
2014-05-13 23:50:00,      0.0826493
2014-05-14 00:00:00,       0.111179
2014-05-14 00:10:00,       0.152424
2014-05-14 00:20:00,       0.171122
2014-05-14 00:30:00,       0.163444
2014-05-14 00:40:00,       0.161831
2014-05-14 00:50:00,       0.163267
2014-05-14 01:00:00,       0.154233
2014-05-14 01:10:00,       0.131257
2014-05-14 01:20:00,       0.110324
2014-05-14 01:30:00,      0.0647961
2014-05-14 01:40:00,      0.0230813
2014-05-14 01:50:00,      0.0403336
2014-05-14 02:00:00,       0.115112
2014-05-14 02:10:00,       0.176624
2014-05-14 02:20:00,       0.228432
2014-05-14 02:30:00,       0.266529
2014-05-14 02:40:00,       0.294835
2014-05-14 02:50:00,       0.304757
2014-05-14 03:00:00,       0.279272
2014-05-14 03:10:00,       0.240881
2014-05-14 03:20:00,       0.206819
2014-05-14 03:30:00,       0.174598
2014-05-14 03:40:00,       0.151725
2014-05-14 03:50:00,       0.136668
2014-05-14 04:00:00,       0.141688
2014-05-14 04:10:00,       0.160902
2014-05-14 04:20:00,       0.182441
2014-05-14 04:30:00,       0.203186
2014-05-14 04:40:00,        0.22775
2014-05-14 04:50:00,       0.259601
2014-05-14 05:00:00,       0.295412
2014-05-14 05:10:00,       0.325384
2014-05-14 05:20:00,       0.342966
2014-05-14 05:30:00,       0.343286
2014-05-14 05:40:00,       0.337463
2014-05-14 05:50:00,       0.324365
2014-05-14 06:00:00,       0.304016
2014-05-14 06:10:00,       0.282859
2014-05-14 06:20:00,       0.270282
2014-05-14 06:30:00,        0.25896
2014-05-14 06:40:00,       0.239689
2014-05-14 06:50:00,       0.222802
2014-05-14 07:00:00,       0.209536
2014-05-14 07:10:00,       0.182003
2014-05-14 07:20:00,       0.148397
2014-05-14 07:30:00,       0.120585
2014-05-14 07:40:00,      0.0933436
2014-05-14 07:50:00,      0.0704874
2014-05-14 08:00:00,      0.0665974
2014-05-14 08:10:00,      0.0707156
2014-05-14 08:20:00,      0.0830649
2014-05-14 08:30:00,       0.107305
2014-05-14 08:40:00,       0.123648
2014-05-14 08:50:00,       0.132982
2014-05-14 09:00:00,       0.142842
2014-05-14 09:10:00,       0.140912
2014-05-14 09:20:00,       0.130234
2014-05-14 09:30:00,       0.116976
2014-05-14 09:40:00,       0.105187
2014-05-14 09:50:00,      0.0962555
2014-05-14 10:00:00,      0.0933632
2014-05-14 10:10:00,      0.0963776
2014-05-14 10:20:00,      0.0978073
2014-05-14 10:30:00,      0.0990471
2014-05-14 10:40:00,       0.103358
2014-05-14 10:50:00,        0.10479
2014-05-14 11:00:00,      0.0973532
2014-05-14 11:10:00,      0.0821222
2014-05-14 11:20:00,      0.0679834
2014-05-14 11:30:00,      0.0548563
2014-05-14 11:40:00,      0.0361863
2014-05-14 11:50:00,      0.0200957
2014-05-14 12:00:00,     0.00893156
2014-05-14 12:10:00,      0.0218072
2014-05-14 12:20:00,      0.0442985
2014-05-14 12:30:00,      0.0725152
2014-05-14 12:40:00,       0.107453
2014-05-14 12:50:00,       0.139968
2014-05-14 13:00:00,       0.164297
2014-05-14 13:10:00,       0.177798
2014-05-14 13:20:00,       0.185835
2014-05-14 13:30:00,       0.180753
2014-05-14 13:40:00,       0.164808
2014-05-14 13:50:00,       0.137211
2014-05-14 14:00:00,      0.0867238
2014-05-14 14:10:00,      0.0352817
2014-05-14 14:20:00,      0.0481258
2014-05-14 14:30:00,       0.133471
2014-05-14 14:40:00,       0.199325
2014-05-14 14:50:00,       0.255373
2014-05-14 15:00:00,       0.285609
2014-05-14 15:10:00,       0.294798
2014-05-14 15:20:00,       0.285018
2014-05-14 15:30:00,       0.268584
2014-05-14 15:40:00,       0.261308
2014-05-14 15:50:00,        0.25033
2014-05-14 16:00:00,       0.230572
2014-05-14 16:10:00,       0.224641
2014-05-14 16:20:00,       0.229704
2014-05-14 16:30:00,       0.237772
2014-05-14 16:40:00,       0.240889
2014-05-14 16:50:00,       0.237183
2014-05-14 17:00:00,       0.246685
2014-05-14 17:10:00,       0.270494
2014-05-14 17:20:00,       0.303852
