date and time,water level (station) (m)
2014-05-12 00:00:00,      -0.511872
2014-05-12 00:10:00,       -0.39418
2014-05-12 00:20:00,      -0.398887
2014-05-12 00:30:00,      -0.282976
2014-05-12 00:40:00,      -0.139002
2014-05-12 00:50:00,       0.311221
2014-05-12 01:00:00,       0.759587
2014-05-12 01:10:00,        1.26348
2014-05-12 01:20:00,        1.63868
2014-05-12 01:30:00,        1.88483
2014-05-12 01:40:00,        1.73236
2014-05-12 01:50:00,         1.3611
2014-05-12 02:00:00,       0.762331
2014-05-12 02:10:00,       0.428814
2014-05-12 02:20:00,       0.134279
2014-05-12 02:30:00,      0.0961801
2014-05-12 02:40:00,       0.108315
2014-05-12 02:50:00,       0.347692
2014-05-12 03:00:00,       0.460026
2014-05-12 03:10:00,       0.599135
2014-05-12 03:20:00,       0.540189
2014-05-12 03:30:00,       0.487099
2014-05-12 03:40:00,       0.360488
2014-05-12 03:50:00,        0.24059
2014-05-12 04:00:00,      0.0367362
2014-05-12 04:10:00,      -0.112341
2014-05-12 04:20:00,      -0.310803
2014-05-12 04:30:00,      -0.452482
2014-05-12 04:40:00,      -0.543331
2014-05-12 04:50:00,      -0.593209
2014-05-12 05:00:00,      -0.541045
2014-05-12 05:10:00,      -0.529205
2014-05-12 05:20:00,       -0.49561
2014-05-12 05:30:00,       -0.56686
2014-05-12 05:40:00,      -0.636732
2014-05-12 05:50:00,        -0.7434
2014-05-12 06:00:00,      -0.793018
2014-05-12 06:10:00,      -0.822192
2014-05-12 06:20:00,      -0.794046
2014-05-12 06:30:00,      -0.756338
2014-05-12 06:40:00,      -0.735652
2014-05-12 06:50:00,      -0.736628
2014-05-12 07:00:00,      -0.742703
2014-05-12 07:10:00,      -0.750803
2014-05-12 07:20:00,      -0.755321
2014-05-12 07:30:00,      -0.724964
2014-05-12 07:40:00,      -0.734809
2014-05-12 07:50:00,      -0.719918
2014-05-12 08:00:00,      -0.761957
2014-05-12 08:10:00,      -0.772949
2014-05-12 08:20:00,      -0.807831
2014-05-12 08:30:00,      -0.805059
2014-05-12 08:40:00,      -0.798707
2014-05-12 08:50:00,      -0.775779
2014-05-12 09:00:00,      -0.751601
2014-05-12 09:10:00,      -0.755972
2014-05-12 09:20:00,      -0.749526
2014-05-12 09:30:00,      -0.758679
2014-05-12 09:40:00,      -0.734433
2014-05-12 09:50:00,      -0.707066
2014-05-12 10:00:00,      -0.651665
2014-05-12 10:10:00,      -0.590413
2014-05-12 10:20:00,      -0.520577
2014-05-12 10:30:00,      -0.446791
2014-05-12 10:40:00,      -0.373247
2014-05-12 10:50:00,      -0.277993
2014-05-12 11:00:00,       -0.16829
2014-05-12 11:10:00,      -0.043414
2014-05-12 11:20:00,      0.0907769
2014-05-12 11:30:00,       0.235268
2014-05-12 11:40:00,       0.376128
2014-05-12 11:50:00,       0.523494
2014-05-12 12:00:00,       0.668527
2014-05-12 12:10:00,       0.818606
2014-05-12 12:20:00,       0.949387
2014-05-12 12:30:00,        1.08369
2014-05-12 12:40:00,         1.1817
2014-05-12 12:50:00,        1.24726
2014-05-12 13:00:00,        1.28624
2014-05-12 13:10:00,        1.27251
2014-05-12 13:20:00,        1.25272
2014-05-12 13:30:00,        1.20487
2014-05-12 13:40:00,        1.14774
2014-05-12 13:50:00,        1.09034
2014-05-12 14:00:00,        1.02781
2014-05-12 14:10:00,       0.963656
2014-05-12 14:20:00,       0.911075
2014-05-12 14:30:00,        0.86196
2014-05-12 14:40:00,       0.815047
2014-05-12 14:50:00,       0.774151
2014-05-12 15:00:00,       0.732578
2014-05-12 15:10:00,       0.673749
2014-05-12 15:20:00,        0.61517
2014-05-12 15:30:00,       0.549545
2014-05-12 15:40:00,       0.473469
2014-05-12 15:50:00,       0.398346
2014-05-12 16:00:00,       0.324116
2014-05-12 16:10:00,       0.245812
2014-05-12 16:20:00,       0.170111
2014-05-12 16:30:00,      0.0937587
2014-05-12 16:40:00,       0.014757
2014-05-12 16:50:00,     -0.0671933
2014-05-12 17:00:00,      -0.154088
2014-05-12 17:10:00,      -0.239503
2014-05-12 17:20:00,      -0.326968
2014-05-12 17:30:00,      -0.406647
2014-05-12 17:40:00,       -0.47743
2014-05-12 17:50:00,      -0.543447
2014-05-12 18:00:00,      -0.593115
2014-05-12 18:10:00,       -0.63571
2014-05-12 18:20:00,      -0.666192
2014-05-12 18:30:00,      -0.684427
2014-05-12 18:40:00,        -0.6915
2014-05-12 18:50:00,      -0.694857
2014-05-12 19:00:00,       -0.69381
2014-05-12 19:10:00,       -0.69395
2014-05-12 19:20:00,       -0.69612
2014-05-12 19:30:00,      -0.699924
2014-05-12 19:40:00,      -0.710136
2014-05-12 19:50:00,      -0.720327
2014-05-12 20:00:00,      -0.729089
2014-05-12 20:10:00,       -0.73541
2014-05-12 20:20:00,      -0.739763
2014-05-12 20:30:00,      -0.743101
2014-05-12 20:40:00,      -0.744935
2014-05-12 20:50:00,       -0.74761
2014-05-12 21:00:00,      -0.749998
2014-05-12 21:10:00,      -0.757046
2014-05-12 21:20:00,      -0.765296
2014-05-12 21:30:00,      -0.773983
2014-05-12 21:40:00,      -0.782968
2014-05-12 21:50:00,      -0.785077
2014-05-12 22:00:00,      -0.784942
2014-05-12 22:10:00,      -0.773557
2014-05-12 22:20:00,      -0.752467
2014-05-12 22:30:00,      -0.719591
2014-05-12 22:40:00,      -0.672162
2014-05-12 22:50:00,       -0.61316
2014-05-12 23:00:00,      -0.532909
2014-05-12 23:10:00,      -0.444487
2014-05-12 23:20:00,      -0.342412
2014-05-12 23:30:00,      -0.225331
2014-05-12 23:40:00,      -0.098713
2014-05-12 23:50:00,      0.0419958
2014-05-13 00:00:00,       0.185837
2014-05-13 00:10:00,       0.336669
2014-05-13 00:20:00,       0.491321
2014-05-13 00:30:00,       0.641954
2014-05-13 00:40:00,       0.795046
2014-05-13 00:50:00,       0.923137
2014-05-13 01:00:00,        1.02023
2014-05-13 01:10:00,        1.10711
2014-05-13 01:20:00,        1.14451
2014-05-13 01:30:00,        1.16582
2014-05-13 01:40:00,        1.15033
2014-05-13 01:50:00,        1.11218
2014-05-13 02:00:00,        1.05246
2014-05-13 02:10:00,       0.984111
2014-05-13 02:20:00,       0.911238
2014-05-13 02:30:00,       0.850499
2014-05-13 02:40:00,       0.790551
2014-05-13 02:50:00,       0.754443
2014-05-13 03:00:00,       0.717209
2014-05-13 03:10:00,       0.678656
2014-05-13 03:20:00,       0.644747
2014-05-13 03:30:00,       0.593805
2014-05-13 03:40:00,       0.536997
2014-05-13 03:50:00,       0.474051
2014-05-13 04:00:00,       0.394065
2014-05-13 04:10:00,       0.312747
2014-05-13 04:20:00,       0.223183
2014-05-13 04:30:00,       0.130562
2014-05-13 04:40:00,      0.0356844
2014-05-13 04:50:00,     -0.0539041
2014-05-13 05:00:00,      -0.138407
2014-05-13 05:10:00,      -0.221144
2014-05-13 05:20:00,      -0.297683
2014-05-13 05:30:00,      -0.375024
2014-05-13 05:40:00,      -0.448833
2014-05-13 05:50:00,      -0.524548
2014-05-13 06:00:00,      -0.589489
2014-05-13 06:10:00,        -0.6442
2014-05-13 06:20:00,      -0.690698
2014-05-13 06:30:00,      -0.721638
2014-05-13 06:40:00,      -0.737703
2014-05-13 06:50:00,      -0.742732
2014-05-13 07:00:00,      -0.737692
2014-05-13 07:10:00,      -0.726259
2014-05-13 07:20:00,      -0.709562
2014-05-13 07:30:00,       -0.69398
2014-05-13 07:40:00,      -0.681153
2014-05-13 07:50:00,       -0.67583
2014-05-13 08:00:00,      -0.675527
2014-05-13 08:10:00,      -0.684169
2014-05-13 08:20:00,      -0.696644
2014-05-13 08:30:00,       -0.70857
2014-05-13 08:40:00,       -0.72498
2014-05-13 08:50:00,      -0.733835
2014-05-13 09:00:00,      -0.740289
2014-05-13 09:10:00,      -0.745159
2014-05-13 09:20:00,      -0.748929
2014-05-13 09:30:00,      -0.751593
2014-05-13 09:40:00,      -0.754891
2014-05-13 09:50:00,      -0.751354
2014-05-13 10:00:00,      -0.748136
2014-05-13 10:10:00,      -0.741936
2014-05-13 10:20:00,      -0.730638
2014-05-13 10:30:00,      -0.716756
2014-05-13 10:40:00,      -0.692708
2014-05-13 10:50:00,      -0.659127
2014-05-13 11:00:00,      -0.608431
2014-05-13 11:10:00,      -0.542045
2014-05-13 11:20:00,      -0.456165
2014-05-13 11:30:00,        -0.3591
2014-05-13 11:40:00,      -0.250016
2014-05-13 11:50:00,      -0.129656
2014-05-13 12:00:00,     0.00876215
2014-05-13 12:10:00,       0.152623
2014-05-13 12:20:00,       0.319083
2014-05-13 12:30:00,       0.489928
2014-05-13 12:40:00,       0.666238
2014-05-13 12:50:00,        0.83874
2014-05-13 13:00:00,        1.00426
2014-05-13 13:10:00,        1.15277
2014-05-13 13:20:00,        1.26775
2014-05-13 13:30:00,        1.35383
2014-05-13 13:40:00,        1.40386
2014-05-13 13:50:00,         1.4146
2014-05-13 14:00:00,        1.39266
2014-05-13 14:10:00,        1.33369
2014-05-13 14:20:00,        1.25469
2014-05-13 14:30:00,        1.16614
2014-05-13 14:40:00,        1.07206
2014-05-13 14:50:00,       0.998845
2014-05-13 15:00:00,       0.937518
2014-05-13 15:10:00,       0.889462
2014-05-13 15:20:00,       0.850831
2014-05-13 15:30:00,        0.81433
2014-05-13 15:40:00,       0.772787
2014-05-13 15:50:00,       0.722507
2014-05-13 16:00:00,       0.661889
2014-05-13 16:10:00,       0.593696
2014-05-13 16:20:00,       0.515573
2014-05-13 16:30:00,       0.429817
2014-05-13 16:40:00,        0.34307
2014-05-13 16:50:00,       0.251277
2014-05-13 17:00:00,       0.164123
2014-05-13 17:10:00,      0.0774503
2014-05-13 17:20:00,    -0.00369071
2014-05-13 17:30:00,     -0.0847394
2014-05-13 17:40:00,      -0.167117
2014-05-13 17:50:00,       -0.25015
2014-05-13 18:00:00,      -0.336148
2014-05-13 18:10:00,       -0.41948
2014-05-13 18:20:00,      -0.497657
2014-05-13 18:30:00,      -0.565997
2014-05-13 18:40:00,       -0.62307
2014-05-13 18:50:00,      -0.663466
2014-05-13 19:00:00,      -0.691692
2014-05-13 19:10:00,       -0.70105
2014-05-13 19:20:00,      -0.702493
2014-05-13 19:30:00,      -0.691816
2014-05-13 19:40:00,      -0.678524
2014-05-13 19:50:00,      -0.666839
2014-05-13 20:00:00,      -0.656532
2014-05-13 20:10:00,      -0.656659
2014-05-13 20:20:00,      -0.663392
2014-05-13 20:30:00,      -0.678546
2014-05-13 20:40:00,      -0.694595
2014-05-13 20:50:00,      -0.711401
2014-05-13 21:00:00,      -0.725923
2014-05-13 21:10:00,      -0.735395
2014-05-13 21:20:00,      -0.739661
2014-05-13 21:30:00,      -0.740965
2014-05-13 21:40:00,      -0.739704
2014-05-13 21:50:00,      -0.741224
2014-05-13 22:00:00,      -0.744419
2014-05-13 22:10:00,      -0.747849
2014-05-13 22:20:00,       -0.75526
2014-05-13 22:30:00,      -0.761098
2014-05-13 22:40:00,      -0.764855
2014-05-13 22:50:00,      -0.763956
2014-05-13 23:00:00,      -0.753504
2014-05-13 23:10:00,      -0.730419
2014-05-13 23:20:00,      -0.692479
2014-05-13 23:30:00,      -0.640997
2014-05-13 23:40:00,      -0.570496
2014-05-13 23:50:00,      -0.486713
2014-05-14 00:00:00,       -0.39144
2014-05-14 00:10:00,      -0.280996
2014-05-14 00:20:00,      -0.163299
2014-05-14 00:30:00,     -0.0104488
2014-05-14 00:40:00,        0.14947
2014-05-14 00:50:00,       0.319791
2014-05-14 01:00:00,         0.4984
2014-05-14 01:10:00,       0.684675
2014-05-14 01:20:00,        0.85986
2014-05-14 01:30:00,        1.01928
2014-05-14 01:40:00,         1.1545
2014-05-14 01:50:00,         1.2448
2014-05-14 02:00:00,        1.29403
2014-05-14 02:10:00,        1.31718
2014-05-14 02:20:00,        1.28921
2014-05-14 02:30:00,         1.2387
2014-05-14 02:40:00,        1.16796
2014-05-14 02:50:00,        1.07767
2014-05-14 03:00:00,        0.99911
2014-05-14 03:10:00,       0.920455
2014-05-14 03:20:00,       0.858221
2014-05-14 03:30:00,       0.814733
2014-05-14 03:40:00,       0.777978
2014-05-14 03:50:00,       0.749104
2014-05-14 04:00:00,       0.712922
2014-05-14 04:10:00,       0.670691
2014-05-14 04:20:00,       0.616217
2014-05-14 04:30:00,       0.542141
2014-05-14 04:40:00,       0.462253
2014-05-14 04:50:00,        0.36478
2014-05-14 05:00:00,       0.265113
2014-05-14 05:10:00,       0.160074
2014-05-14 05:20:00,      0.0557163
2014-05-14 05:30:00,     -0.0441393
2014-05-14 05:40:00,      -0.142774
2014-05-14 05:50:00,      -0.228649
2014-05-14 06:00:00,      -0.312466
2014-05-14 06:10:00,      -0.387644
2014-05-14 06:20:00,      -0.461275
2014-05-14 06:30:00,      -0.530541
2014-05-14 06:40:00,       -0.59174
2014-05-14 06:50:00,      -0.650521
2014-05-14 07:00:00,      -0.697152
2014-05-14 07:10:00,      -0.730404
2014-05-14 07:20:00,      -0.745782
2014-05-14 07:30:00,      -0.746585
2014-05-14 07:40:00,      -0.730343
2014-05-14 07:50:00,      -0.707192
2014-05-14 08:00:00,      -0.678039
2014-05-14 08:10:00,      -0.649876
2014-05-14 08:20:00,      -0.631243
2014-05-14 08:30:00,      -0.617551
2014-05-14 08:40:00,       -0.61685
2014-05-14 08:50:00,      -0.625981
2014-05-14 09:00:00,      -0.643619
2014-05-14 09:10:00,      -0.664283
2014-05-14 09:20:00,       -0.68199
2014-05-14 09:30:00,      -0.695397
2014-05-14 09:40:00,       -0.70448
2014-05-14 09:50:00,      -0.705083
2014-05-14 10:00:00,      -0.703982
2014-05-14 10:10:00,      -0.701709
2014-05-14 10:20:00,      -0.701858
2014-05-14 10:30:00,      -0.702683
2014-05-14 10:40:00,      -0.705063
2014-05-14 10:50:00,      -0.705863
2014-05-14 11:00:00,      -0.702684
2014-05-14 11:10:00,      -0.695465
2014-05-14 11:20:00,      -0.679734
2014-05-14 11:30:00,      -0.655871
2014-05-14 11:40:00,       -0.62034
2014-05-14 11:50:00,      -0.571829
2014-05-14 12:00:00,      -0.510692
2014-05-14 12:10:00,      -0.433891
2014-05-14 12:20:00,      -0.338652
2014-05-14 12:30:00,      -0.225483
2014-05-14 12:40:00,     -0.0972565
2014-05-14 12:50:00,      0.0520139
2014-05-14 13:00:00,       0.219246
2014-05-14 13:10:00,       0.403579
2014-05-14 13:20:00,       0.596724
2014-05-14 13:30:00,       0.796603
2014-05-14 13:40:00,       0.995208
2014-05-14 13:50:00,        1.17041
2014-05-14 14:00:00,        1.30917
2014-05-14 14:10:00,        1.41636
2014-05-14 14:20:00,        1.47503
2014-05-14 14:30:00,        1.49146
2014-05-14 14:40:00,        1.45757
2014-05-14 14:50:00,        1.38779
2014-05-14 15:00:00,        1.29845
2014-05-14 15:10:00,        1.19814
2014-05-14 15:20:00,        1.09588
2014-05-14 15:30:00,        1.00513
2014-05-14 15:40:00,       0.937266
2014-05-14 15:50:00,       0.878489
2014-05-14 16:00:00,       0.845415
2014-05-14 16:10:00,       0.807394
2014-05-14 16:20:00,       0.772171
2014-05-14 16:30:00,        0.72934
2014-05-14 16:40:00,       0.668633
2014-05-14 16:50:00,       0.598058
2014-05-14 17:00:00,       0.513111
2014-05-14 17:10:00,       0.416158
2014-05-14 17:20:00,       0.317548
2014-05-14 17:30:00,       0.209729
2014-05-14 17:40:00,       0.111116
2014-05-14 17:50:00,      0.0141597
2014-05-14 18:00:00,     -0.0790838
2014-05-14 18:10:00,      -0.162921
2014-05-14 18:20:00,      -0.244077
2014-05-14 18:30:00,      -0.325943
2014-05-14 18:40:00,      -0.406068
2014-05-14 18:50:00,      -0.482307
2014-05-14 19:00:00,      -0.557307
2014-05-14 19:10:00,      -0.623097
2014-05-14 19:20:00,      -0.679541
2014-05-14 19:30:00,      -0.721097
2014-05-14 19:40:00,      -0.744298
2014-05-14 19:50:00,      -0.751679
2014-05-14 20:00:00,      -0.742056
2014-05-14 20:10:00,      -0.718492
2014-05-14 20:20:00,      -0.692664
2014-05-14 20:30:00,      -0.669525
2014-05-14 20:40:00,       -0.65148
2014-05-14 20:50:00,      -0.646852
2014-05-14 21:00:00,      -0.653288
2014-05-14 21:10:00,      -0.667419
2014-05-14 21:20:00,      -0.688611
2014-05-14 21:30:00,      -0.707729
2014-05-14 21:40:00,      -0.724823
2014-05-14 21:50:00,      -0.736308
2014-05-14 22:00:00,      -0.739751
2014-05-14 22:10:00,      -0.738378
2014-05-14 22:20:00,      -0.734343
2014-05-14 22:30:00,      -0.729976
2014-05-14 22:40:00,      -0.725413
2014-05-14 22:50:00,      -0.726006
2014-05-14 23:00:00,      -0.725932
2014-05-14 23:10:00,      -0.726621
2014-05-14 23:20:00,      -0.727417
2014-05-14 23:30:00,      -0.725427
2014-05-14 23:40:00,       -0.71863
2014-05-14 23:50:00,      -0.704855
2014-05-15 00:00:00,      -0.678348
2014-05-15 00:10:00,      -0.639077
2014-05-15 00:20:00,      -0.584822
2014-05-15 00:30:00,      -0.515502
2014-05-15 00:40:00,      -0.428269
2014-05-15 00:50:00,      -0.328096
2014-05-15 01:00:00,      -0.206724
2014-05-15 01:10:00,     -0.0675619
2014-05-15 01:20:00,      0.0902305
2014-05-15 01:30:00,       0.276501
2014-05-15 01:40:00,       0.477362
2014-05-15 01:50:00,       0.686077
2014-05-15 02:00:00,       0.885709
2014-05-15 02:10:00,        1.05845
2014-05-15 02:20:00,        1.21425
2014-05-15 02:30:00,         1.3316
2014-05-15 02:40:00,         1.3963
2014-05-15 02:50:00,        1.41797
2014-05-15 03:00:00,        1.40227
2014-05-15 03:10:00,         1.3374
2014-05-15 03:20:00,        1.25041
2014-05-15 03:30:00,        1.14222
2014-05-15 03:40:00,        1.04675
2014-05-15 03:50:00,       0.955826
2014-05-15 04:00:00,       0.888878
2014-05-15 04:10:00,       0.840263
2014-05-15 04:20:00,       0.806864
2014-05-15 04:30:00,       0.785582
2014-05-15 04:40:00,       0.756798
2014-05-15 04:50:00,       0.723631
2014-05-15 05:00:00,       0.677306
2014-05-15 05:10:00,       0.610156
2014-05-15 05:20:00,       0.527884
2014-05-15 05:30:00,       0.423943
2014-05-15 05:40:00,         0.3051
2014-05-15 05:50:00,       0.181562
2014-05-15 06:00:00,      0.0532086
2014-05-15 06:10:00,      -0.067122
2014-05-15 06:20:00,      -0.170582
2014-05-15 06:30:00,      -0.257394
2014-05-15 06:40:00,      -0.340244
2014-05-15 06:50:00,      -0.411472
2014-05-15 07:00:00,      -0.481331
2014-05-15 07:10:00,      -0.549743
2014-05-15 07:20:00,      -0.611993
2014-05-15 07:30:00,      -0.667521
2014-05-15 07:40:00,      -0.711214
2014-05-15 07:50:00,      -0.739175
2014-05-15 08:00:00,      -0.755523
2014-05-15 08:10:00,      -0.752114
2014-05-15 08:20:00,      -0.734152
2014-05-15 08:30:00,      -0.702942
2014-05-15 08:40:00,       -0.66456
2014-05-15 08:50:00,      -0.625436
2014-05-15 09:00:00,      -0.593063
2014-05-15 09:10:00,      -0.573298
2014-05-15 09:20:00,      -0.571834
2014-05-15 09:30:00,      -0.587943
2014-05-15 09:40:00,      -0.613355
2014-05-15 09:50:00,      -0.640999
2014-05-15 10:00:00,      -0.667471
2014-05-15 10:10:00,      -0.688964
2014-05-15 10:20:00,      -0.698188
2014-05-15 10:30:00,      -0.703512
2014-05-15 10:40:00,      -0.699433
2014-05-15 10:50:00,      -0.692343
2014-05-15 11:00:00,      -0.682552
2014-05-15 11:10:00,      -0.669534
2014-05-15 11:20:00,       -0.66077
2014-05-15 11:30:00,      -0.657787
2014-05-15 11:40:00,      -0.655999
2014-05-15 11:50:00,      -0.655242
2014-05-15 12:00:00,      -0.648781
2014-05-15 12:10:00,      -0.635306
