date and time,angle of horizontal velocity (station) (radians) - Botlek Centrale Geul - layer 4
2014-05-12 00:00:00,        1.36543
2014-05-12 00:10:00,        4.45245
2014-05-12 00:20:00,        1.70781
2014-05-12 00:30:00,        5.13645
2014-05-12 00:40:00,        2.11662
2014-05-12 00:50:00,         4.6756
2014-05-12 01:00:00,         1.4276
2014-05-12 01:10:00,        4.37439
2014-05-12 01:20:00,        4.86562
2014-05-12 01:30:00,        3.80136
2014-05-12 01:40:00,        2.69806
2014-05-12 01:50:00,        4.90324
2014-05-12 02:00:00,        5.03959
2014-05-12 02:10:00,        5.83345
2014-05-12 02:20:00,        1.11195
2014-05-12 02:30:00,        5.19833
2014-05-12 02:40:00,        5.75252
2014-05-12 02:50:00,        1.18026
2014-05-12 03:00:00,        1.29659
2014-05-12 03:10:00,        1.27023
2014-05-12 03:20:00,        1.19158
2014-05-12 03:30:00,        4.51863
2014-05-12 03:40:00,       0.836288
2014-05-12 03:50:00,        0.88957
2014-05-12 04:00:00,        1.08669
2014-05-12 04:10:00,        4.99155
2014-05-12 04:20:00,        1.13688
2014-05-12 04:30:00,        1.27263
2014-05-12 04:40:00,        1.09075
2014-05-12 04:50:00,        1.00083
2014-05-12 05:00:00,        1.18578
2014-05-12 05:10:00,        1.19684
2014-05-12 05:20:00,        1.20057
2014-05-12 05:30:00,         1.1493
2014-05-12 05:40:00,       0.986464
2014-05-12 05:50:00,        1.22762
2014-05-12 06:00:00,        1.22902
2014-05-12 06:10:00,        1.34761
2014-05-12 06:20:00,         1.3214
2014-05-12 06:30:00,        1.26713
2014-05-12 06:40:00,        1.13196
2014-05-12 06:50:00,         1.1929
2014-05-12 07:00:00,         1.1418
2014-05-12 07:10:00,        1.17209
2014-05-12 07:20:00,        1.38305
2014-05-12 07:30:00,        1.64846
2014-05-12 07:40:00,          1.358
2014-05-12 07:50:00,        1.19657
2014-05-12 08:00:00,        1.77776
2014-05-12 08:10:00,        3.97208
2014-05-12 08:20:00,        2.90635
2014-05-12 08:30:00,        3.62041
2014-05-12 08:40:00,        3.07019
2014-05-12 08:50:00,        2.81153
2014-05-12 09:00:00,        2.56112
2014-05-12 09:10:00,        2.78475
2014-05-12 09:20:00,        2.68963
2014-05-12 09:30:00,        2.88539
2014-05-12 09:40:00,        3.16819
2014-05-12 09:50:00,        2.40187
2014-05-12 10:00:00,        3.07978
2014-05-12 10:10:00,        3.01796
2014-05-12 10:20:00,        3.20969
2014-05-12 10:30:00,        2.85939
2014-05-12 10:40:00,        3.67645
2014-05-12 10:50:00,        3.20435
2014-05-12 11:00:00,        3.58145
2014-05-12 11:10:00,        3.57014
2014-05-12 11:20:00,        3.47804
2014-05-12 11:30:00,        3.46436
2014-05-12 11:40:00,        3.44444
2014-05-12 11:50:00,        3.62467
2014-05-12 12:00:00,        3.92651
2014-05-12 12:10:00,        3.99594
2014-05-12 12:20:00,        4.64702
2014-05-12 12:30:00,        5.45609
2014-05-12 12:40:00,        5.46291
2014-05-12 12:50:00,         5.7726
2014-05-12 13:00:00,        5.68423
2014-05-12 13:10:00,        5.66695
2014-05-12 13:20:00,        5.35217
2014-05-12 13:30:00,        4.92356
2014-05-12 13:40:00,         4.0611
2014-05-12 13:50:00,        4.66095
2014-05-12 14:00:00,      0.0493905
2014-05-12 14:10:00,       0.564634
2014-05-12 14:20:00,       0.703257
2014-05-12 14:30:00,       0.804706
2014-05-12 14:40:00,       0.764995
2014-05-12 14:50:00,        0.55793
2014-05-12 15:00:00,       0.819156
2014-05-12 15:10:00,        1.39722
2014-05-12 15:20:00,         1.4305
2014-05-12 15:30:00,        1.40701
2014-05-12 15:40:00,        1.36864
2014-05-12 15:50:00,        1.29861
2014-05-12 16:00:00,        1.24171
2014-05-12 16:10:00,        1.24265
2014-05-12 16:20:00,        1.29598
2014-05-12 16:30:00,        1.35039
2014-05-12 16:40:00,        1.41208
2014-05-12 16:50:00,         1.4083
2014-05-12 17:00:00,        1.38631
2014-05-12 17:10:00,        1.36026
2014-05-12 17:20:00,        1.39073
2014-05-12 17:30:00,        1.40353
2014-05-12 17:40:00,        1.35628
2014-05-12 17:50:00,        1.29093
2014-05-12 18:00:00,        1.23396
2014-05-12 18:10:00,        1.18296
2014-05-12 18:20:00,         1.1854
2014-05-12 18:30:00,        1.25081
2014-05-12 18:40:00,        1.33367
2014-05-12 18:50:00,        1.41273
2014-05-12 19:00:00,        1.38587
2014-05-12 19:10:00,        1.31355
2014-05-12 19:20:00,        1.25706
2014-05-12 19:30:00,        1.22238
2014-05-12 19:40:00,        1.19727
2014-05-12 19:50:00,        1.18075
2014-05-12 20:00:00,        1.18499
2014-05-12 20:10:00,        1.21701
2014-05-12 20:20:00,        1.21959
2014-05-12 20:30:00,        1.21911
2014-05-12 20:40:00,        1.20811
2014-05-12 20:50:00,        1.20557
2014-05-12 21:00:00,        1.20659
2014-05-12 21:10:00,        1.21255
2014-05-12 21:20:00,        1.20339
2014-05-12 21:30:00,        1.21087
2014-05-12 21:40:00,        1.35468
2014-05-12 21:50:00,        1.63725
2014-05-12 22:00:00,        2.40497
2014-05-12 22:10:00,        2.91262
2014-05-12 22:20:00,        2.93318
2014-05-12 22:30:00,        3.15876
2014-05-12 22:40:00,        3.32666
2014-05-12 22:50:00,        3.52143
2014-05-12 23:00:00,         3.5182
2014-05-12 23:10:00,        3.42172
2014-05-12 23:20:00,        3.48044
2014-05-12 23:30:00,        3.63085
2014-05-12 23:40:00,        3.95123
2014-05-12 23:50:00,        4.09004
2014-05-13 00:00:00,        4.11937
2014-05-13 00:10:00,        3.99055
2014-05-13 00:20:00,        3.84877
2014-05-13 00:30:00,        3.81051
2014-05-13 00:40:00,        3.86072
2014-05-13 00:50:00,        4.08291
2014-05-13 01:00:00,         4.4196
2014-05-13 01:10:00,        4.91841
2014-05-13 01:20:00,        5.27271
2014-05-13 01:30:00,        5.42689
2014-05-13 01:40:00,        5.43286
2014-05-13 01:50:00,        5.24428
2014-05-13 02:00:00,        5.38195
2014-05-13 02:10:00,        5.56026
2014-05-13 02:20:00,         5.6185
2014-05-13 02:30:00,        5.48961
2014-05-13 02:40:00,         5.4327
2014-05-13 02:50:00,        5.65099
2014-05-13 03:00:00,       0.256989
2014-05-13 03:10:00,       0.573982
2014-05-13 03:20:00,        1.04156
2014-05-13 03:30:00,        1.16353
2014-05-13 03:40:00,        1.30504
2014-05-13 03:50:00,         1.3243
2014-05-13 04:00:00,         1.2434
2014-05-13 04:10:00,        1.19259
2014-05-13 04:20:00,        1.24876
2014-05-13 04:30:00,        1.27528
2014-05-13 04:40:00,        1.29625
2014-05-13 04:50:00,        1.32168
2014-05-13 05:00:00,        1.28847
2014-05-13 05:10:00,        1.24728
2014-05-13 05:20:00,        1.25404
2014-05-13 05:30:00,        1.29842
2014-05-13 05:40:00,        1.32229
2014-05-13 05:50:00,        1.33613
2014-05-13 06:00:00,        1.36429
2014-05-13 06:10:00,        1.44649
2014-05-13 06:20:00,        1.57635
2014-05-13 06:30:00,        1.71445
2014-05-13 06:40:00,        1.74051
2014-05-13 06:50:00,        1.58067
2014-05-13 07:00:00,        1.35056
2014-05-13 07:10:00,        1.11164
2014-05-13 07:20:00,       0.899808
2014-05-13 07:30:00,       0.801906
2014-05-13 07:40:00,        2.05992
2014-05-13 07:50:00,        2.41409
2014-05-13 08:00:00,        3.81371
2014-05-13 08:10:00,         4.1617
2014-05-13 08:20:00,        4.25281
2014-05-13 08:30:00,        4.41354
2014-05-13 08:40:00,        4.69194
2014-05-13 08:50:00,         4.8104
2014-05-13 09:00:00,        4.61956
2014-05-13 09:10:00,        4.51229
2014-05-13 09:20:00,        4.45904
2014-05-13 09:30:00,        4.45152
2014-05-13 09:40:00,        4.44626
2014-05-13 09:50:00,        4.43277
2014-05-13 10:00:00,        4.43151
2014-05-13 10:10:00,        4.46704
2014-05-13 10:20:00,        4.50199
2014-05-13 10:30:00,        4.51156
2014-05-13 10:40:00,        4.49991
2014-05-13 10:50:00,        4.33147
2014-05-13 11:00:00,        3.83336
2014-05-13 11:10:00,        3.71476
2014-05-13 11:20:00,        3.94155
2014-05-13 11:30:00,        3.96413
2014-05-13 11:40:00,        3.88079
2014-05-13 11:50:00,        3.80495
2014-05-13 12:00:00,        3.90019
2014-05-13 12:10:00,        3.96631
2014-05-13 12:20:00,        3.99674
2014-05-13 12:30:00,        3.94397
2014-05-13 12:40:00,        3.93418
2014-05-13 12:50:00,         3.8399
2014-05-13 13:00:00,        3.88081
2014-05-13 13:10:00,        4.00843
2014-05-13 13:20:00,         4.4054
2014-05-13 13:30:00,        4.95965
2014-05-13 13:40:00,        5.07271
2014-05-13 13:50:00,        5.23817
2014-05-13 14:00:00,        5.10812
2014-05-13 14:10:00,        5.14188
2014-05-13 14:20:00,        4.80589
2014-05-13 14:30:00,        4.73128
2014-05-13 14:40:00,        4.83375
2014-05-13 14:50:00,         5.0842
2014-05-13 15:00:00,       0.167336
2014-05-13 15:10:00,       0.704448
2014-05-13 15:20:00,       0.888119
2014-05-13 15:30:00,        1.12621
2014-05-13 15:40:00,        1.22311
2014-05-13 15:50:00,        1.29308
2014-05-13 16:00:00,        1.29576
2014-05-13 16:10:00,        1.26937
2014-05-13 16:20:00,        1.32965
2014-05-13 16:30:00,        1.39986
2014-05-13 16:40:00,        1.45016
2014-05-13 16:50:00,        1.45083
2014-05-13 17:00:00,        1.39216
2014-05-13 17:10:00,        1.32747
2014-05-13 17:20:00,        1.29265
2014-05-13 17:30:00,        1.24668
2014-05-13 17:40:00,        1.21656
2014-05-13 17:50:00,        1.20901
2014-05-13 18:00:00,        1.20747
2014-05-13 18:10:00,        1.25167
2014-05-13 18:20:00,        1.27378
2014-05-13 18:30:00,        1.25498
2014-05-13 18:40:00,        1.22158
2014-05-13 18:50:00,        1.20318
2014-05-13 19:00:00,        1.18297
2014-05-13 19:10:00,        1.19884
2014-05-13 19:20:00,        1.26804
2014-05-13 19:30:00,        1.31414
2014-05-13 19:40:00,        1.35062
2014-05-13 19:50:00,        1.38843
2014-05-13 20:00:00,        1.40753
2014-05-13 20:10:00,        1.44488
2014-05-13 20:20:00,        1.45899
2014-05-13 20:30:00,        1.44853
2014-05-13 20:40:00,        1.47112
2014-05-13 20:50:00,        1.48583
2014-05-13 21:00:00,        1.46529
