date and time,magnitude of horizontal velocity (station) (m/s) - Botlek Centrale Geul - layer 4
2014-05-12 00:00:00,       0.133047
2014-05-12 00:10:00,       0.197437
2014-05-12 00:20:00,      0.0487344
2014-05-12 00:30:00,      0.0201113
2014-05-12 00:40:00,      0.0147226
2014-05-12 00:50:00,       0.123253
2014-05-12 01:00:00,       0.109337
2014-05-12 01:10:00,       0.768888
2014-05-12 01:20:00,       0.253771
2014-05-12 01:30:00,       0.089733
2014-05-12 01:40:00,      0.0697121
2014-05-12 01:50:00,      0.0515936
2014-05-12 02:00:00,       0.105158
2014-05-12 02:10:00,      0.0292562
2014-05-12 02:20:00,       0.297024
2014-05-12 02:30:00,      0.0836113
2014-05-12 02:40:00,      0.0325369
2014-05-12 02:50:00,       0.183002
2014-05-12 03:00:00,       0.255513
2014-05-12 03:10:00,       0.170784
2014-05-12 03:20:00,       0.190511
2014-05-12 03:30:00,       0.222916
2014-05-12 03:40:00,       0.119106
2014-05-12 03:50:00,      0.0917281
2014-05-12 04:00:00,       0.168697
2014-05-12 04:10:00,      0.0648034
2014-05-12 04:20:00,       0.194233
2014-05-12 04:30:00,       0.104614
2014-05-12 04:40:00,        0.12953
2014-05-12 04:50:00,      0.0799136
2014-05-12 05:00:00,       0.139794
2014-05-12 05:10:00,      0.0863887
2014-05-12 05:20:00,       0.196077
2014-05-12 05:30:00,       0.136475
2014-05-12 05:40:00,      0.0652838
2014-05-12 05:50:00,       0.174056
2014-05-12 06:00:00,       0.039765
2014-05-12 06:10:00,      0.0847632
2014-05-12 06:20:00,       0.148006
2014-05-12 06:30:00,        0.13206
2014-05-12 06:40:00,      0.0747072
2014-05-12 06:50:00,       0.176949
2014-05-12 07:00:00,      0.0879822
2014-05-12 07:10:00,      0.0956848
2014-05-12 07:20:00,       0.104563
2014-05-12 07:30:00,      0.0276827
2014-05-12 07:40:00,      0.0488971
2014-05-12 07:50:00,      0.0377014
2014-05-12 08:00:00,      0.0101794
2014-05-12 08:10:00,      0.0375485
2014-05-12 08:20:00,      0.0295407
2014-05-12 08:30:00,       0.054732
2014-05-12 08:40:00,      0.0423715
2014-05-12 08:50:00,       0.051478
2014-05-12 09:00:00,      0.0526419
2014-05-12 09:10:00,      0.0451189
2014-05-12 09:20:00,      0.0441034
2014-05-12 09:30:00,      0.0399942
2014-05-12 09:40:00,       0.044914
