date and time,water level (station) (m)
2014-05-12 00:00:00,      -0.321497
2014-05-12 00:10:00,      -0.208996
2014-05-12 00:20:00,      -0.200729
2014-05-12 00:30:00,      -0.109381
2014-05-12 00:40:00,      -0.176606
2014-05-12 00:50:00,      -0.115639
2014-05-12 01:00:00,     -0.0436504
2014-05-12 01:10:00,       0.365418
2014-05-12 01:20:00,       0.869011
2014-05-12 01:30:00,       0.968157
2014-05-12 01:40:00,       0.965624
2014-05-12 01:50:00,        1.07335
2014-05-12 02:00:00,        1.26531
2014-05-12 02:10:00,        1.38874
2014-05-12 02:20:00,        1.22119
2014-05-12 02:30:00,        1.11173
2014-05-12 02:40:00,        1.14953
2014-05-12 02:50:00,        1.10455
2014-05-12 03:00:00,       0.864384
2014-05-12 03:10:00,       0.638142
2014-05-12 03:20:00,        0.48799
2014-05-12 03:30:00,       0.518625
2014-05-12 03:40:00,       0.606865
2014-05-12 03:50:00,       0.511533
2014-05-12 04:00:00,       0.369279
2014-05-12 04:10:00,       0.345909
2014-05-12 04:20:00,       0.270302
2014-05-12 04:30:00,       0.155547
2014-05-12 04:40:00,      0.0319271
2014-05-12 04:50:00,     -0.0663512
2014-05-12 05:00:00,      -0.152967
2014-05-12 05:10:00,       -0.22323
2014-05-12 05:20:00,      -0.325593
2014-05-12 05:30:00,      -0.430677
2014-05-12 05:40:00,      -0.483602
2014-05-12 05:50:00,      -0.536297
2014-05-12 06:00:00,      -0.555269
2014-05-12 06:10:00,      -0.536251
2014-05-12 06:20:00,      -0.557072
2014-05-12 06:30:00,      -0.592719
2014-05-12 06:40:00,      -0.585724
2014-05-12 06:50:00,      -0.606671
2014-05-12 07:00:00,      -0.619511
2014-05-12 07:10:00,      -0.607874
2014-05-12 07:20:00,      -0.596559
2014-05-12 07:30:00,      -0.579503
2014-05-12 07:40:00,      -0.549281
2014-05-12 07:50:00,       -0.54957
2014-05-12 08:00:00,      -0.569822
2014-05-12 08:10:00,      -0.562258
2014-05-12 08:20:00,      -0.562285
2014-05-12 08:30:00,      -0.546277
2014-05-12 08:40:00,      -0.540803
2014-05-12 08:50:00,      -0.526742
2014-05-12 09:00:00,      -0.538433
2014-05-12 09:10:00,      -0.536545
2014-05-12 09:20:00,      -0.546213
2014-05-12 09:30:00,      -0.540124
2014-05-12 09:40:00,      -0.534688
2014-05-12 09:50:00,      -0.521863
2014-05-12 10:00:00,      -0.509357
2014-05-12 10:10:00,       -0.49077
2014-05-12 10:20:00,      -0.473818
2014-05-12 10:30:00,      -0.456161
2014-05-12 10:40:00,      -0.415189
2014-05-12 10:50:00,      -0.367855
2014-05-12 11:00:00,      -0.299845
2014-05-12 11:10:00,      -0.220778
2014-05-12 11:20:00,      -0.134356
2014-05-12 11:30:00,     -0.0465048
2014-05-12 11:40:00,      0.0583431
2014-05-12 11:50:00,        0.16998
2014-05-12 12:00:00,       0.314503
2014-05-12 12:10:00,       0.467123
2014-05-12 12:20:00,       0.602637
2014-05-12 12:30:00,       0.722687
2014-05-12 12:40:00,       0.845679
2014-05-12 12:50:00,       0.946824
2014-05-12 13:00:00,        1.03496
