,LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME,vessel_type,terminal_type,name,length,width,ID,draught_empty,draught_full,height_empty,height_full,v,installed_power,terminal
0,52.19487,3.585885,1.0,281.0,215.0,2.0,FOR ORDER,BS,228.0,2.0,ALFA BALTICA,8,994899,42.0,198.0,16.0,106373.0,17,nan,nan,nan,Crude Oil Tanker,Liquid,ALFA BALTICA,228.0,42.0,994899,5,5,5,5,5.1,1000,Liquid
1,52.06665,3.809318,116.0,304.0,312.0,1.0,EEMUU,MT,248.0,6.0,DAYTONA,8,149950,43.0,208.0,27.0,115896.0,17,nan,nan,nan,Crude Oil Tanker,Liquid,DAYTONA,248.0,43.0,149950,5,5,5,5,5.1,1000,Liquid
2,52.05602,3.585517,121.0,267.0,269.0,1.0,DAMIETTA,MH,189.0,0.0,ST PAUL,7,201740,32.0,170.0,20.0,57982.0,6,nan,nan,nan,Bulk Carrier,Bulk,ST PAUL,189.0,32.0,201740,5,5,5,5,5.1,1000,Bulk
3,52.1756,3.562725,0.0,254.0,174.0,3.0,RUMMK >> NLRTM,LR,249.0,-1.0,GEORGY MASLOV,8,755598,46.0,202.0,25.0,122018.0,17,nan,nan,nan,Crude Oil Tanker,Liquid,GEORGY MASLOV,249.0,46.0,755598,5,5,5,5,5.1,1000,Liquid
4,52.20705,3.682493,1.0,113.0,183.0,6.0,OFF RTM,BS,274.0,2.0,SYDNEY SPIRIT,8,713693,48.0,228.0,22.0,158542.0,17,nan,nan,nan,Crude Oil Tanker,Liquid,SYDNEY SPIRIT,274.0,48.0,713693,5,5,5,5,5.1,1000,Liquid
5,52.19629,3.621987,1.0,80.0,204.0,4.0,NLRTM,LR,335.0,0.0,LOTUS A,7,6186200,43.0,244.0,24.0,102518.0,11,nan,nan,nan,Container,Container,LOTUS A,335.0,43.0,6186200,5,5,5,5,5.1,1000,Container1
6,52.13476,3.686642,0.0,119.0,196.0,2.0,ROTTERDAM ANCH 5,GI,129.0,0.0,ASTER ALVAR,8,121738,19.0,101.0,5.0,11596.0,88,nan,nan,nan,Oil/Chemical Tanker,Liquid,ASTER ALVAR,129.0,19.0,121738,5,5,5,5,5.1,1000,Liquid
7,52.19441,3.710833,2.0,208.0,128.0,2.0,NL RTM,MH,184.0,0.0,NAVIG8 ANDESINE,8,2868713,27.0,150.0,22.0,37596.0,88,nan,nan,nan,Oil/Chemical Tanker,Liquid,NAVIG8 ANDESINE,184.0,27.0,2868713,5,5,5,5,5.1,1000,Liquid
8,52.17705,3.593533,2.0,118.0,211.0,6.0,NLRTM FOR ORDERS,MT,274.0,2.0,SEAVOYAGER,8,301748,48.0,239.0,24.0,159233.0,17,nan,nan,nan,Crude Oil Tanker,Liquid,SEAVOYAGER,274.0,48.0,301748,5,5,5,5,5.1,1000,Liquid
9,52.12477,3.703472,1.0,276.0,205.0,3.0,NLRTM,LR,108.0,2.0,CORAL LACERA,8,756074,16.0,87.0,9.0,4999.0,19,nan,nan,nan,LPG Tanker,Liquid,CORAL LACERA,108.0,16.0,756074,5,5,5,5,5.1,1000,Liquid
10,52.09624,3.770938,149.0,179.0,179.0,2.0,NL RTM,AG,134.0,0.0,CALYPSO,7,365687,23.0,16.0,17.0,9917.0,9,nan,nan,nan,General Cargo,Cargo,CALYPSO,134.0,23.0,365687,5,5,5,5,5.1,1000,Other
11,52.15103,3.7321,0.0,0.0,160.0,4.0,NLRTM,GI,90.0,-3.0,KEY WEST,8,300239,14.0,74.0,10.0,3741.0,88,nan,nan,nan,Oil/Chemical Tanker,Liquid,KEY WEST,90.0,14.0,300239,5,5,5,5,5.1,1000,Liquid
12,52.1787,3.7349,0.0,113.0,209.0,2.0,NLRTM,HK,399.0,0.0,CSCL PACIFIC OCEAN,7,994036,58.0,159.0,41.0,184320.0,11,nan,nan,nan,Container,Container,CSCL PACIFIC OCEAN,399.0,58.0,994036,5,5,5,5,5.1,1000,Container1
13,52.16278,3.577317,1.0,151.0,214.0,4.0,ROTTERDAM,MH,141.0,0.0,BOCHEM ANTWERP,8,713629,24.0,114.0,8.0,19806.0,88,nan,nan,nan,Oil/Chemical Tanker,Liquid,BOCHEM ANTWERP,141.0,24.0,713629,5,5,5,5,5.1,1000,Liquid
14,52.14616,3.58133,2.0,155.0,231.0,1.0,FOR ORDERS,KY,146.0,0.0,SPRING PLOEG,8,4649301,24.0,124.0,18.0,19999.0,88,nan,nan,nan,Oil/Chemical Tanker,Liquid,SPRING PLOEG,146.0,24.0,4649301,5,5,5,5,5.1,1000,Other
15,52.128,3.667617,0.0,332.0,181.0,1.0,ROTTERDAM,SG,147.0,0.0,GINGA HAWK,8,408945,24.0,120.0,14.0,19998.0,16,nan,nan,nan,Chemical Tanker,Liquid,GINGA HAWK,147.0,24.0,408945,5,5,5,5,5.1,1000,Other
16,52.1767,3.619295,2.0,237.0,149.0,2.0,NLRTM>FOR ORDERS,LR,250.0,-1.0,GHIBLI,8,754461,44.0,208.0,17.0,112961.0,17,nan,nan,nan,Crude Oil Tanker,Liquid,GHIBLI,250.0,44.0,754461,5,5,5,5,5.1,1000,Other
17,52.13643,3.652005,0.0,9.0,217.0,2.0,GBTYN,NL,145.0,0.0,JUMBO JUBILEE,7,267465,26.0,20.0,14.0,13017.0,27,nan,nan,nan,Heavy Load Carrier,Cargo,JUMBO JUBILEE,145.0,26.0,267465,5,5,5,5,5.1,1000,Other
18,52.17505,3.663585,1.0,146.0,207.0,1.0,ROTTERDAM,PA,365.0,1.0,TAMPA TRIUMPH,7,4811787,51.0,142.0,33.0,147500.0,11,nan,nan,nan,Container,Container,TAMPA TRIUMPH,365.0,51.0,4811787,5,5,5,5,5.1,1000,Container1
19,52.14361,3.599398,1.0,162.0,175.0,3.0,FOR ORDERS,MH,248.0,0.0,ADVANTAGE AVENUE,8,285025,43.0,208.0,16.0,115785.0,17,nan,nan,nan,Crude Oil Tanker,Liquid,ADVANTAGE AVENUE,248.0,43.0,285025,5,5,5,5,5.1,1000,Other
20,52.17487,3.699345,0.0,356.0,176.0,3.0,NLRTM,HK,259.0,0.0,SEASPAN DALIAN,7,684996,32.0,193.0,21.0,50789.0,11,nan,nan,nan,Container,Container,SEASPAN DALIAN,259.0,32.0,684996,5,5,5,5,5.1,1000,Container2
21,52.2194,3.66069,2.0,253.0,162.0,1.0,ROTTERDAM,PT,229.0,0.0,GISELA OLDENDORFF,7,3515389,32.0,197.0,11.0,80839.0,6,nan,nan,nan,Bulk Carrier,Bulk,GISELA OLDENDORFF,229.0,32.0,3515389,5,5,5,5,5.1,1000,Bulk
22,52.14415,3.633357,1.0,276.0,188.0,2.0,NL RTM,LR,228.0,0.0,FULHAM ROAD,8,756026,32.0,189.0,8.0,74986.0,71,nan,nan,nan,Oil Products Tanker,Liquid,FULHAM ROAD,228.0,32.0,756026,5,5,5,5,5.1,1000,Other
23,52.12714,3.726997,0.0,271.0,165.0,2.0,ROTTERDAM,MT,243.0,0.0,CARMEL,8,213331,42.0,205.0,21.0,104955.0,17,nan,nan,nan,Crude Oil Tanker,Liquid,CARMEL,243.0,42.0,213331,5,5,5,5,5.1,1000,Other
24,52.05843,3.64146,100.0,267.0,268.0,1.0,GBLGP-LONDON,PA,299.0,0.0,MSC MAUREEN,7,416228,40.0,227.0,19.0,85810.0,11,nan,nan,nan,Container,Container,MSC MAUREEN,299.0,40.0,416228,5,5,5,5,5.1,1000,Container2
25,52.17477,4.128083,,,,2.0,,NL,4.0,0.0,OFFSHORE TEST SIT,1,6503610,4.0,2.0,2.0,,-999,nan,nan,nan,,,OFFSHORE TEST SIT,4.0,4.0,6503610,5,5,5,5,5.1,1000,Other
26,52.18839,4.216533,0.0,203.0,268.0,2.0,SCHEVENINGEN,FR,122.0,0.0,ST SARA,8,307357,17.0,103.0,16.0,8019.0,88,nan,nan,nan,Oil/Chemical Tanker,Liquid,ST SARA,122.0,17.0,307357,5,5,5,5,5.1,1000,Other
27,52.08138,4.227835,18.0,218.0,218.0,5.0,CLASS B,NL,7.0,,HELENA,9,5629357,2.0,4.0,1.0,,-999,nan,nan,nan,,,HELENA,7.0,2.0,5629357,5,5,5,5,5.1,1000,Other
28,52.16503,4.07805,,,,2.0,,NL,4.0,0.0,OFFSHORE TEST SIT,1,6503618,4.0,2.0,2.0,,-999,nan,nan,nan,,,OFFSHORE TEST SIT,4.0,4.0,6503618,5,5,5,5,5.1,1000,Other
29,52.1919,4.137405,,,,2.0,nan,NL,0.0,,VTS 244770939,0,250482,0.0,,,,-999,nan,nan,nan,,,VTS 244770939,0.0,0.0,250482,5,5,5,5,5.1,1000,Other
30,52.14214,4.11369,82.0,92.0,86.0,1.0,SURVEY OPERAT,NL,19.0,0.0,DEEP SEAPAL,4,6295470,6.0,5.0,2.0,,-999,nan,nan,nan,,,DEEP SEAPAL,19.0,6.0,6295470,5,5,5,5,5.1,1000,Other
31,52.17761,4.224845,1.0,220.0,277.0,7.0,SCHEVENINGEN ANHOR,DK,96.0,0.0,ELSE MARIE THERESA,8,158215,14.0,87.0,13.0,4307.0,88,nan,nan,nan,Oil/Chemical Tanker,Liquid,ELSE MARIE THERESA,96.0,14.0,158215,5,5,5,5,5.1,1000,Other
